dataset,prefix_horizon,target_h720_prefix_mse,target_h720_prefix_mae,fixed_h720_prefix_mse,fixed_h720_prefix_mae,relative_mse_pct,relative_mae_pct,target_wins_mse,target_wins_mae
ETTh2,96,0.24975198095974824,0.3200547892289857,0.2543378472328186,0.3262273371219635,-1.8030608983147123,-1.8921001371108637,True,True
ETTh2,192,0.29393559504145134,0.35311618517152965,0.29775410890579224,0.35817569494247437,-1.2824386801490117,-1.4125776378425936,True,True
ETTh2,336,0.32639347706433564,0.3815695444299352,0.3223787248134613,0.3821985721588135,1.24535273014601,-0.16458139163767482,False,True
ETTh2,720,0.41047340199972193,0.4392986789966623,0.4074031412601471,0.4438471794128418,0.7536173457274087,-1.024789753580646,False,True
ETTm1,96,0.28417393770844984,0.3501632702536881,0.29211053252220154,0.35281580686569214,-2.7169834463769194,-0.7518190966465998,True,True
ETTm1,192,0.31811136948332813,0.37169996625743806,0.3252318203449249,0.3729446828365326,-2.1893463112081735,-0.33375367350125806,True,True
ETTm1,336,0.355628301045813,0.3926661289962275,0.3618141710758209,0.3932553827762604,-1.7096815228698214,-0.149839978253552,True,True
ETTm1,720,0.417292797136017,0.4242475759031044,0.412788063287735,0.42070141434669495,1.0912946010122493,0.8429164807815637,False,False
Weather,96,0.14746256669362387,0.1975940802367404,0.15367551147937775,0.20635920763015747,-4.042898394118966,-4.247509715740994,True,True
Weather,192,0.19007494168666503,0.24021281882111603,0.19544166326522827,0.2459518164396286,-2.745945510748249,-2.333382896532199,True,True
Weather,336,0.24279689136892557,0.2809130010483343,0.24744020402431488,0.2844696044921875,-1.876539293078272,-1.2502578088095517,True,True
Weather,720,0.320846995856199,0.33375589745636614,0.32312721014022827,0.33546921610832214,-0.7056707737611134,-0.5107230618152436,True,True
