dataset,arm,epoch,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,pred_loss_mode,prefix_samples,val_mean_mse,lr,epoch_seconds,warm_start_checkpoint
ETTh2,target_conditioned_nested_warm,1,0.50650388266133,0.39583077868529126,0.485523212272509,0.02043425720761967,0.9023884569121673,multi-prefix,1,0.4602280929684639,0.0005,14.528457164764404,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt
ETTh2,target_conditioned_nested_warm,2,0.4926367412626216,0.38535089935876626,0.47525529761229995,0.017403944943561754,0.8988189433528259,multi-prefix,1,0.45169954746961594,0.0004877641290737884,13.1976318359375,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt
ETTh2,target_conditioned_nested_warm,3,0.48665494992669706,0.3820187167256279,0.4702364775986798,0.014995781886102878,0.8964045037210515,multi-prefix,1,0.46861841529607773,0.0004522542485937369,13.025699138641357,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt
ETTh2,target_conditioned_nested_warm,4,0.4766550501890942,0.3747338078322664,0.4601996937947991,0.012440375627257524,0.8948086526541583,multi-prefix,1,0.48885318636894226,0.0003969463130731183,14.316261053085327,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt
ETTh2,target_conditioned_nested_warm,5,0.46975494723404404,0.371501170560322,0.45615002816229794,0.008924451456776103,0.8932932269784202,multi-prefix,1,0.4810583367943764,0.00032725424859373687,14.061468601226807,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt
ETTh2,target_conditioned_nested_warm,6,0.46534780881046195,0.3686829755923389,0.4528559110069697,0.007448543691430736,0.8921628686706576,multi-prefix,1,0.4896153137087822,0.00025,14.50947618484497,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt
ETTh2,target_conditioned_nested_warm,7,0.46204577597369134,0.3665982371410437,0.4507103216859092,0.006315076571221636,0.8913246052982533,multi-prefix,1,0.4770875424146652,0.00017274575140626317,13.126587390899658,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt
ETTh2,target_conditioned_nested_warm,8,0.459954620990078,0.3654195887852559,0.4508325114714361,0.0054582436342385755,0.8907678433224163,multi-prefix,1,0.4819198101758957,0.00010305368692688174,13.91746973991394,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt
ETTh2,target_conditioned_nested_warm,9,0.45767075772834037,0.3635056415754082,0.44660760950198214,0.005118466633479152,0.8904664669416648,multi-prefix,1,0.48468780517578125,4.7745751406263163e-05,13.509607076644897,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt
ETTh2,target_conditioned_nested_warm,10,0.45717611144074294,0.36348087742792823,0.4462041612220021,0.004666936952637229,0.8902829579547443,multi-prefix,1,0.48660825192928314,1.2235870926211617e-05,13.547530889511108,/home/yingch/exp_outputs/r-2026-fatst/phase5_timealign_hss_h1_readout_gate/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt
ETTh2,target_conditioned_nested_scratch,1,0.751861228088362,0.4410519651343337,0.5370743001720547,0.2167544499435256,0.9405481097972499,multi-prefix,1,0.40690163150429726,0.0005,14.28671407699585,
ETTh2,target_conditioned_nested_scratch,2,0.6419606680891156,0.41471272008081456,0.5131204343211334,0.13504759855238738,0.9220034822953486,multi-prefix,1,0.40368958190083504,0.0004877641290737884,13.147345304489136,
ETTh2,target_conditioned_nested_scratch,3,0.6029382013114153,0.4069097590657462,0.5015873663720831,0.10438584984667533,0.9164259225393818,multi-prefix,1,0.41461917012929916,0.0004522542485937369,13.04073691368103,
ETTh2,target_conditioned_nested_scratch,4,0.5708088824706795,0.3969128712088661,0.48794561730021924,0.08258092799017915,0.913150832188868,multi-prefix,1,0.42684758454561234,0.0003969463130731183,12.864459037780762,
ETTh2,target_conditioned_nested_scratch,5,0.5437196643479103,0.39192342639496897,0.48148404101354886,0.06078007162870031,0.9101616756050988,multi-prefix,1,0.43415824323892593,0.00032725424859373687,13.424134731292725,
ETTh2,target_conditioned_nested_scratch,6,0.5227617729554134,0.3875182303970894,0.47580163009398807,0.044386036974270786,0.9085750603570347,multi-prefix,1,0.4431227818131447,0.00025,13.237521409988403,
ETTh2,target_conditioned_nested_scratch,7,0.5081347662263211,0.3846070534360092,0.4725309322893092,0.03281069710949617,0.907170130088266,multi-prefix,1,0.4328429736196995,0.00017274575140626317,15.363686084747314,
ETTh2,target_conditioned_nested_scratch,8,0.49978177882401287,0.3829102243206142,0.4719971889151936,0.026274556903976256,0.9059699697304616,multi-prefix,1,0.4394291900098324,0.00010305368692688174,17.741312265396118,
ETTh2,target_conditioned_nested_scratch,9,0.49438565652982325,0.3807299549864457,0.46738210412780795,0.023147125950956766,0.9050857324515824,multi-prefix,1,0.440343402326107,4.7745751406263163e-05,16.913775205612183,
ETTh2,target_conditioned_nested_scratch,10,0.4924312419859709,0.3805201757798153,0.46663385365916565,0.021447983183032645,0.9046308116047783,multi-prefix,1,0.4439438506960869,1.2235870926211617e-05,15.97030782699585,
