dataset,arm,settings,wins_vs_a2_nested,mean_relative_mse_vs_a2_nested_pct,wins_vs_a3c_warm,mean_relative_mse_vs_a3c_warm_pct,wins_vs_a3d_teacher_w03,mean_relative_mse_vs_a3d_teacher_w03_pct,wins_vs_h1_target_set,mean_relative_mse_vs_h1_target_set_pct,wins_vs_h1c_row_gated,mean_relative_mse_vs_h1c_row_gated_pct,wins_vs_fixed,mean_relative_mse_vs_fixed_pct
ETTh2,target_conditioned_nested_warm,4,3,-0.7710929659567961,4,-0.8005226879686328,0,1.3195465454104438,1,1.1464310453650843,2,-0.2881849236622186,4,-11.68695261216792
ETTh2,target_conditioned_nested_scratch,4,4,-1.2369371158628684,3,-1.2507799279117853,1,0.8514080453255801,1,0.6719631601349835,4,-0.7604818787513234,4,-12.074091920474839
ETTm1,target_conditioned_nested_warm,4,3,-0.46613116059293913,0,0.17548184523965005,4,-0.6999003999031167,4,-0.6206923575805573,3,-0.5261586885485003,3,-1.8180748391719266
ETTm1,target_conditioned_nested_scratch,4,0,0.081507580284651,0,0.729612929412915,4,-0.15308811254696186,4,-0.07372276832538216,1,0.020930278314704176,3,-1.280950887197152
Weather,target_conditioned_nested_warm,4,0,0.1530294708554536,3,-0.1333599185924711,0,0.1440572508441207,1,0.07004033644598395,1,0.06247709704270965,2,-0.04605856489347526
Weather,target_conditioned_nested_scratch,4,1,0.026949957666747015,3,-0.258920804415258,2,0.01802019870440763,3,-0.0559589156031326,4,-0.06347412154894261,2,-0.17136866735889267
ALL,target_conditioned_nested_warm,12,6,-0.36139821856476056,7,-0.25280025377381793,4,0.2545677987838159,6,0.198593008076837,6,-0.25062217172266976,9,-4.517028672077774
ALL,target_conditioned_nested_scratch,12,5,-0.3761598593038235,6,-0.26002926763804274,7,0.2387800438276753,8,0.18076049206882291,9,-0.26767524066185394,9,-4.508803825010295
