dataset,target_horizon,fixed_mse,fixed_mae,source_path
ETTh2,96,0.2697129249572754,0.33105576038360596,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH96_official-last/ETTh2/mixed_h96/seed2021/metrics_by_target_horizon.csv
ETTh2,192,0.33459872007369995,0.3746242821216583,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH192_official-last/ETTh2/mixed_h192/seed2021/metrics_by_target_horizon.csv
ETTh2,336,0.37489190697669983,0.40398865938186646,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH336_official-last/ETTh2/mixed_h336/seed2021/metrics_by_target_horizon.csv
ETTh2,720,0.40325209498405457,0.43513625860214233,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH720_official-last/ETTh2/mixed_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,96,0.27859950065612793,0.32999563217163086,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH96_official-last/ETTm1/mixed_h96/seed2021/metrics_by_target_horizon.csv
ETTm1,192,0.32211652398109436,0.3559790849685669,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH192_official-last/ETTm1/mixed_h192/seed2021/metrics_by_target_horizon.csv
ETTm1,336,0.34985053539276123,0.374874472618103,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH336_official-last/ETTm1/mixed_h336/seed2021/metrics_by_target_horizon.csv
ETTm1,720,0.4067089557647705,0.4056112468242645,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH720_official-last/ETTm1/mixed_h720/seed2021/metrics_by_target_horizon.csv
Weather,96,0.14042679965496063,0.1782880425453186,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH96_official-last/Weather/mixed_h96/seed2021/metrics_by_target_horizon.csv
Weather,192,0.1822342574596405,0.22007882595062256,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH192_official-last/Weather/mixed_h192/seed2021/metrics_by_target_horizon.csv
Weather,336,0.2326551377773285,0.2622069716453552,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH336_official-last/Weather/mixed_h336/seed2021/metrics_by_target_horizon.csv
Weather,720,0.3067764937877655,0.31663402915000916,analysis/phase5_timealign_hss_a3e_ettm1_replacement_gate_20260701/raw/official/official-last/TimeAlignOfficialFixedH720_official-last/Weather/mixed_h720/seed2021/metrics_by_target_horizon.csv
