short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,4.52310782686656e-14,1.222881138573939e-07,0.0
192,720,4.3306863357992637e-14,1.1977786584793648e-07,0.0
336,720,3.274985466736151e-14,9.864705674544894e-08,0.0
