epoch,train_loss,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.34090036609576957,0.609969012439251,273,257,272,254,0.3757273852825165,0.41066303849220276,0.49648505449295044,0.47168198227882385,0.636911153793335,0.5334672927856445,0.9307524561882019,0.6380590796470642
2,0.2832948548408846,0.6893078237771988,265,233,261,297,0.4284140467643738,0.4390515387058258,0.5716150999069214,0.5053727030754089,0.732352614402771,0.5720441937446594,1.024849534034729,0.6750220656394958
3,0.24626108122086435,0.7173361033201218,245,286,251,274,0.4503149390220642,0.4491654634475708,0.5946928262710571,0.5157503485679626,0.7654821872711182,0.5843981504440308,1.0588544607162476,0.687803328037262
4,0.21508358277832018,0.7789996713399887,245,296,270,245,0.5083193778991699,0.47500261664390564,0.6604539155960083,0.5430224537849426,0.8285369277000427,0.609551191329956,1.1186884641647339,0.7086119055747986
5,0.1942389247811992,0.7995478808879852,267,257,267,265,0.5217729806900024,0.48033151030540466,0.6890149116516113,0.5526122450828552,0.8474516868591309,0.6175424456596375,1.1399519443511963,0.7163585424423218
6,0.17707446738936458,0.7945651859045029,234,303,268,251,0.5082631707191467,0.47756990790367126,0.6873917579650879,0.5526548027992249,0.8500089645385742,0.6173706650733948,1.1325968503952026,0.7132191061973572
7,0.16576343981520922,0.8071684539318085,265,256,263,272,0.5191011428833008,0.48119643330574036,0.7022870182991028,0.5597857236862183,0.8602320551872253,0.6248340606689453,1.147053599357605,0.7226179838180542
8,0.15516406359771887,0.8063626885414124,263,268,257,268,0.524912416934967,0.4844619631767273,0.7014248967170715,0.5604415535926819,0.8521651029586792,0.6223323345184326,1.1469483375549316,0.7222042083740234
9,0.14615562102390509,0.811547726392746,264,273,257,262,0.5189753770828247,0.48184648156166077,0.7149471044540405,0.5632231831550598,0.8633295297622681,0.6233267784118652,1.1489388942718506,0.7202054858207703
10,0.13768798944004107,0.7963814735412598,267,276,268,245,0.5119099020957947,0.4812695384025574,0.6886062622070312,0.5577908754348755,0.8405382037162781,0.6193556785583496,1.144471526145935,0.7205466032028198
11,0.13112393077321802,0.8086886405944824,286,267,254,249,0.5180463790893555,0.4841545820236206,0.6935883164405823,0.56069415807724,0.8554063439369202,0.6229119300842285,1.1677135229110718,0.7259201407432556
