dataset,horizon,alignment_loss,reconstruction_loss,teacher_student_cosine,prediction_leakage_max_abs
ETTh2,96,0.7938893030990254,0.6156556017019532,0.20611067556522109,0.0
ETTh2,192,0.8125988841056824,0.8853831887245178,0.18740109616721218,0.0
ETTh2,336,0.8299728572368622,1.1349862053990365,0.17002713354304433,0.0
ETTh2,720,0.7842521141557133,1.5545584612032946,0.2157478768597631,0.0
ETTm1,96,0.3351140002409617,0.18193690393947892,0.6648859752549066,0.0
ETTm1,192,0.3135043168335818,0.23419162687542064,0.6864956433183691,0.0
ETTm1,336,0.579127042808316,0.47718171563676814,0.42087293382395397,0.0
ETTm1,720,0.517782791221843,0.6879733029533835,0.48221719072145575,0.0
Weather,96,0.37868781496838827,381.32380467880427,0.6213121519583028,0.0
Weather,192,0.44891226659586403,488.7482058989965,0.5510877070971477,0.0
Weather,336,0.46936174631118777,583.9157923636027,0.5306382201611995,0.0
Weather,720,0.5918545916483,1126.3302093315629,0.408145384742068,0.0
