baseline,dataset,horizon,baseline_mse,future_mse,delta_mse,relative_mse_change,baseline_mae,future_mae,delta_mae,relative_mae_change,baseline_epochs,future_epochs,baseline_parameter_count,future_parameter_count,parameter_ratio,future_passes_mse
PatchEncoderFixedHeadAdapter,ETTh2,96,0.30123046040534973,0.31024670600891113,0.009016245603561401,0.029931387388342872,0.36003977060317993,0.36451756954193115,0.004477798938751221,0.012436956426367838,12,13,1066816,1228784,1.1518237446757453,False
PatchEncoderFixedHeadAdapter,ETTh2,192,0.3914529085159302,0.36860227584838867,-0.022850632667541504,-0.058373899313131805,0.4186992049217224,0.40462327003479004,-0.014075934886932373,-0.03361825081460073,14,12,1583264,1745232,1.1023000586130929,True
PatchEncoderFixedHeadAdapter,ETTh2,336,0.3844643831253052,0.3875487744808197,0.0030843913555145264,0.00802256721530758,0.4182983636856079,0.4177549481391907,-0.0005434155464172363,-0.0012991099023893535,11,12,2357936,2519904,1.068690583629072,False
PatchEncoderFixedHeadAdapter,ETTh2,720,0.40226325392723083,0.4039090871810913,0.0016458332538604736,0.004091433253702571,0.4394509792327881,0.4411015510559082,0.0016505718231201172,0.003755986221720918,11,13,4423728,4585696,1.0366134626722077,False
PatchEncoderFixedHeadAdapter,ETTm1,96,0.2897811233997345,0.2974781095981598,0.007696986198425293,0.026561378836977567,0.3464817702770233,0.3507522642612457,0.004270493984222412,0.012325306410227629,15,12,1066816,1228784,1.1518237446757453,False
PatchEncoderFixedHeadAdapter,ETTm1,192,0.3337422311306,0.3308938443660736,-0.002848386764526367,-0.008534690844718829,0.37124085426330566,0.37154725193977356,0.0003063976764678955,0.0008253339387334251,11,12,1583264,1745232,1.1023000586130929,True
PatchEncoderFixedHeadAdapter,ETTm1,336,0.36799493432044983,0.3661620616912842,-0.0018328726291656494,-0.004980700705976525,0.39499378204345703,0.392225056886673,-0.0027687251567840576,-0.007009541118496503,12,11,2357936,2519904,1.068690583629072,True
PatchEncoderFixedHeadAdapter,ETTm1,720,0.4106070399284363,0.4123307168483734,0.0017236769199371338,0.004197874737455912,0.42123308777809143,0.4190883934497833,-0.0021446943283081055,-0.005091466911160468,11,11,4423728,4585696,1.0366134626722077,False
PatchEncoderFixedHeadAdapter,Weather,96,0.1495135873556137,0.1486791968345642,-0.0008343905210494995,-0.005580700294916515,0.20226888358592987,0.19885769486427307,-0.0034111887216567993,-0.01686462426242455,12,14,1066816,1228784,1.1518237446757453,True
PatchEncoderFixedHeadAdapter,Weather,192,0.19495533406734467,0.19596648216247559,0.0010111480951309204,0.005186562860504412,0.24255649745464325,0.24344195425510406,0.0008854568004608154,0.003650517754637313,15,11,1583264,1745232,1.1023000586130929,False
PatchEncoderFixedHeadAdapter,Weather,336,0.24921225011348724,0.2513621747493744,0.002149924635887146,0.008626881844323885,0.28483790159225464,0.2879811227321625,0.003143221139907837,0.011035122511214666,14,14,2357936,2519904,1.068690583629072,False
PatchEncoderFixedHeadAdapter,Weather,720,0.32664790749549866,0.323334664106369,-0.0033132433891296387,-0.010143164285157089,0.34054994583129883,0.3398343324661255,-0.0007156133651733398,-0.0021013462898268657,12,11,4423728,4585696,1.0366134626722077,True
