baseline,dataset,horizon,baseline_mse,future_mse,delta_mse,relative_mse_change,baseline_mae,future_mae,delta_mae,relative_mae_change,baseline_epochs,future_epochs,baseline_parameter_count,future_parameter_count,parameter_ratio,future_passes_mse
PatchEncoderFixedHead,ETTh2,96,0.3074484169483185,0.31024670600891113,0.0027982890605926514,0.009101653826576829,0.36609065532684326,0.36451756954193115,-0.0015730857849121094,-0.004296984263385989,13,13,921184,1228784,1.333918088025845,False
PatchEncoderFixedHead,ETTh2,192,0.37734004855155945,0.36860227584838867,-0.008737772703170776,-0.023156229339321915,0.4069473147392273,0.40462327003479004,-0.002324044704437256,-0.005710922815466933,12,12,1437376,1745232,1.2141791709337013,True
PatchEncoderFixedHead,ETTh2,336,0.3841150403022766,0.3875487744808197,0.003433734178543091,0.008939338006241406,0.4212876260280609,0.4177549481391907,-0.0035326778888702393,-0.008385429978508167,13,12,2211664,2519904,1.139370175578207,False
PatchEncoderFixedHead,ETTh2,720,0.4074031412601471,0.4039090871810913,-0.003494054079055786,-0.008576404365092166,0.4438471794128418,0.4411015510559082,-0.0027456283569335938,-0.006185976805272798,11,13,4276432,4585696,1.0723182316473172,True
PatchEncoderFixedHead,ETTm1,96,0.29047533869743347,0.2974781095981598,0.007002770900726318,0.024107970515254595,0.3442326486110687,0.3507522642612457,0.006519615650177002,0.018939562172509646,14,12,921184,1228784,1.333918088025845,False
PatchEncoderFixedHead,ETTm1,192,0.3377011716365814,0.3308938443660736,-0.0068073272705078125,-0.02015784321244093,0.3733891248703003,0.37154725193977356,-0.0018418729305267334,-0.004932851033533778,14,12,1437376,1745232,1.2141791709337013,True
PatchEncoderFixedHead,ETTm1,336,0.361540287733078,0.3661620616912842,0.004621773958206177,0.012783565525118992,0.3907651901245117,0.392225056886673,0.0014598667621612549,0.0037359181397301263,11,11,2211664,2519904,1.139370175578207,False
PatchEncoderFixedHead,ETTm1,720,0.412788063287735,0.4123307168483734,-0.00045734643936157227,-0.001107944923888891,0.42070141434669495,0.4190883934497833,-0.001613020896911621,-0.0038341228289343237,11,11,4276432,4585696,1.0723182316473172,True
PatchEncoderFixedHead,Weather,96,0.14708691835403442,0.1486791968345642,0.0015922784805297852,0.01082542552626748,0.1950538456439972,0.19885769486427307,0.003803849220275879,0.019501534090327448,16,14,921184,1228784,1.333918088025845,False
PatchEncoderFixedHead,Weather,192,0.19520847499370575,0.19596648216247559,0.0007580071687698364,0.0038830648556333297,0.24188493192195892,0.24344195425510406,0.0015570223331451416,0.006437037316766366,15,11,1437376,1745232,1.2141791709337013,False
PatchEncoderFixedHead,Weather,336,0.25078684091567993,0.2513621747493744,0.000575333833694458,0.0022941149208378837,0.28711846470832825,0.2879811227321625,0.0008626580238342285,0.003004536906780158,16,14,2211664,2519904,1.139370175578207,False
PatchEncoderFixedHead,Weather,720,0.32312721014022827,0.323334664106369,0.00020745396614074707,0.0006420194883950436,0.33546921610832214,0.3398343324661255,0.004365116357803345,0.013011972926880598,12,11,4276432,4585696,1.0723182316473172,False
