scale,region,start_step,end_step,mse,is_region_winner
1,1,1,60,0.09947105017490684,False
1,2,61,120,0.2304280319561561,False
1,3,121,180,0.21204048339277506,False
1,4,181,240,0.30429550210634865,False
1,5,241,300,0.2584475453943014,False
1,6,301,360,0.2619056140383085,True
1,7,361,420,0.36236983525256317,False
1,8,421,480,0.2905506563683351,True
1,9,481,540,0.2814107574522495,False
1,10,541,600,0.3550858149925868,False
1,11,601,660,0.31008785516023635,False
1,12,661,720,0.3100323170423508,False
8,1,1,60,0.11337125247033934,False
8,2,61,120,0.1935096846582989,False
8,3,121,180,0.1540964452084154,False
8,4,181,240,0.2082420326769352,True
8,5,241,300,0.20759277033309143,True
8,6,301,360,0.267001807068785,False
8,7,361,420,0.34713080351551373,False
8,8,421,480,0.3079345521827539,False
8,9,481,540,0.33672891892492773,False
8,10,541,600,0.38499364753564197,False
8,11,601,660,0.3777439914643764,False
8,12,661,720,0.24972909304002922,False
32,1,1,60,0.09755199358332903,False
32,2,61,120,0.21975571606308222,False
32,3,121,180,0.21988640688359737,False
32,4,181,240,0.30122284839550656,False
32,5,241,300,0.24990453819433847,False
32,6,301,360,0.26603590821226436,False
32,7,361,420,0.3140048362935583,True
32,8,421,480,0.2918326068669558,False
32,9,481,540,0.27844215941925843,True
32,10,541,600,0.33781679744521775,False
32,11,601,660,0.31572665746013323,False
32,12,661,720,0.345979867875576,False
128,1,1,60,0.08864786174769203,True
128,2,61,120,0.14916699236879746,True
128,3,121,180,0.12698765094392,True
128,4,181,240,0.27985088105003036,False
128,5,241,300,0.25563467865188916,False
128,6,301,360,0.3773942676683267,False
128,7,361,420,0.3298837814480066,False
128,8,421,480,0.3122874832401673,False
128,9,481,540,0.35886432640254495,False
128,10,541,600,0.3401680129269759,False
128,11,601,660,0.3792422689497471,False
128,12,661,720,0.3255152404308319,False
720,1,1,60,0.10379746796873708,False
720,2,61,120,0.21516786056260268,False
720,3,121,180,0.15478008872208496,False
720,4,181,240,0.24874632383386294,False
720,5,241,300,0.22211153122286,False
720,6,301,360,0.2934683086971442,False
720,7,361,420,0.3238830784335732,False
720,8,421,480,0.3036927178502083,False
720,9,481,540,0.29663528824845947,False
720,10,541,600,0.2601871773600578,True
720,11,601,660,0.25898723118007183,True
720,12,661,720,0.2367889312406381,True
