scale,future_step,mse
1,1,0.015996010974049568
1,2,0.015928104519844055
1,3,0.010811960324645042
1,4,0.011995098553597927
1,5,0.12492502480745316
1,6,0.1140240877866745
1,7,0.26125720143318176
1,8,0.30807000398635864
1,9,0.13391153514385223
1,10,0.08828623592853546
1,11,0.052525170147418976
1,12,0.14741098880767822
1,13,0.07670851051807404
1,14,0.2000381499528885
1,15,0.15069563686847687
1,16,0.053159501403570175
1,17,0.014563292264938354
1,18,0.03390808403491974
1,19,0.08254047483205795
1,20,0.111278235912323
1,21,0.13385608792304993
1,22,0.14180679619312286
1,23,0.18393322825431824
1,24,0.19036413729190826
1,25,0.06242889165878296
1,26,0.07607167959213257
1,27,0.015810761600732803
1,28,0.04425409808754921
1,29,0.09526095539331436
1,30,0.10127358883619308
1,31,0.510341227054596
1,32,0.04278751462697983
1,33,0.058871183544397354
1,34,0.027276601642370224
1,35,0.047418881207704544
1,36,0.02450561337172985
1,37,0.049588244408369064
1,38,0.060861412435770035
1,39,0.04135263338685036
1,40,0.025632431730628014
1,41,0.05462447181344032
1,42,0.03047168254852295
1,43,0.09987694770097733
1,44,0.06212019920349121
1,45,0.050851356238126755
1,46,0.0739121288061142
1,47,0.12335655838251114
1,48,0.15104839205741882
1,49,0.08023964613676071
1,50,0.08793823421001434
1,51,0.06821437925100327
1,52,0.08158735930919647
1,53,0.05735202506184578
1,54,0.08583389222621918
1,55,0.10957925766706467
1,56,0.23261605203151703
1,57,0.12142247706651688
1,58,0.12438603490591049
1,59,0.17250171303749084
1,60,0.15860092639923096
1,61,0.1147410199046135
1,62,0.08746441453695297
1,63,0.110933817923069
1,64,0.11138852685689926
1,65,0.13365359604358673
1,66,0.05356735736131668
1,67,0.13912104070186615
1,68,0.11862970888614655
1,69,0.11062617599964142
1,70,0.09597235172986984
1,71,0.10400228202342987
1,72,0.10562915354967117
1,73,0.1263696402311325
1,74,0.15512537956237793
1,75,0.1261802464723587
1,76,0.12904758751392365
1,77,0.20672295987606049
1,78,0.22829170525074005
1,79,0.2494393289089203
1,80,0.28048989176750183
1,81,0.1886139214038849
1,82,0.24879176914691925
1,83,0.09025182574987411
1,84,0.06876621395349503
1,85,0.09381432831287384
1,86,0.273747980594635
1,87,0.36095955967903137
1,88,0.362394779920578
1,89,0.4949740767478943
1,90,0.24089424312114716
1,91,0.2621287703514099
1,92,0.2556418776512146
1,93,0.3699125647544861
1,94,0.5604214072227478
1,95,0.5677608251571655
1,96,0.6635316610336304
1,97,0.6717758178710938
1,98,0.6907896399497986
1,99,0.6600117087364197
1,100,0.4214310944080353
1,101,0.18165060877799988
1,102,0.28119096159935
1,103,0.09269732981920242
1,104,0.10602563619613647
1,105,0.1058623418211937
1,106,0.15190991759300232
1,107,0.2120417207479477
1,108,0.15024486184120178
1,109,0.14956460893154144
1,110,0.1322995275259018
1,111,0.10701136291027069
1,112,0.07900325208902359
1,113,0.17585834860801697
1,114,0.15801163017749786
1,115,0.09975113719701767
1,116,0.13597260415554047
1,117,0.21712492406368256
1,118,0.32024964690208435
1,119,0.3101363182067871
1,120,0.32506492733955383
1,121,0.23194286227226257
1,122,0.3028838336467743
1,123,0.2589316666126251
1,124,0.2637220323085785
1,125,0.23572354018688202
1,126,0.18974344432353973
1,127,0.27548688650131226
1,128,0.09665912389755249
1,129,0.09470033645629883
1,130,0.03980781510472298
1,131,0.07644928991794586
1,132,0.13656927645206451
1,133,0.18166613578796387
1,134,0.14054475724697113
1,135,0.18551062047481537
1,136,0.12449885904788971
1,137,0.05434143543243408
1,138,0.08131539821624756
1,139,0.1504310816526413
1,140,0.1825132519006729
1,141,0.1127147227525711
1,142,0.11734730750322342
1,143,0.08681951463222504
1,144,0.14257930219173431
1,145,0.2051669806241989
1,146,0.2831263542175293
1,147,0.2974872887134552
1,148,0.3936227858066559
1,149,0.33631792664527893
1,150,0.35502633452415466
1,151,0.15130558609962463
1,152,0.17885544896125793
1,153,0.14207294583320618
1,154,0.13003453612327576
1,155,0.2123907059431076
1,156,0.30874815583229065
1,157,0.21908600628376007
1,158,0.17704126238822937
1,159,0.21535973250865936
1,160,0.33176448941230774
1,161,0.21450695395469666
1,162,0.2375800907611847
1,163,0.24009433388710022
1,164,0.20599059760570526
1,165,0.1936296671628952
1,166,0.1715729981660843
1,167,0.24440480768680573
1,168,0.2036357820034027
1,169,0.1652328222990036
1,170,0.18463203310966492
1,171,0.19491863250732422
1,172,0.22855201363563538
1,173,0.23461246490478516
1,174,0.2374328374862671
1,175,0.3005262315273285
1,176,0.39449429512023926
1,177,0.4014306664466858
1,178,0.3958444893360138
1,179,0.3379741311073303
1,180,0.2350541204214096
1,181,0.25462642312049866
1,182,0.20978224277496338
1,183,0.20240581035614014
1,184,0.21445730328559875
1,185,0.23473455011844635
1,186,0.35212263464927673
1,187,0.4178560674190521
1,188,0.536171555519104
1,189,0.46445655822753906
1,190,0.40853556990623474
1,191,0.29027464985847473
1,192,0.29454439878463745
1,193,0.30206891894340515
1,194,0.2761906087398529
1,195,0.28748390078544617
1,196,0.2364092618227005
1,197,0.319454163312912
1,198,0.4636367857456207
1,199,0.33690017461776733
1,200,0.33799320459365845
1,201,0.39781782031059265
1,202,0.36496061086654663
1,203,0.3581666648387909
1,204,0.3830600380897522
1,205,0.41963353753089905
1,206,0.360042542219162
1,207,0.3997695744037628
1,208,0.48314669728279114
1,209,0.3912908136844635
1,210,0.3589286804199219
