width,exponent,macro_gain_over_exponent_1_pct,positive_datasets,macro_true_over_shuffled_gain_pct
1,0.5,-0.3793906913913525,1,0.7024975146372114
1,1.0,0.0,0,0.9463686868706989
1,2.0,-1.2340991510469346,1,-0.1456069035323171
1,4.0,-4.367374051595065,1,-1.8587541095223248
1,8.0,-6.993899217129067,1,-1.599564417326862
1,hard,-9.833772091978908,1,0.6915592901734269
48,0.5,-0.6915357294912572,0,0.8084818768258661
48,1.0,0.0,0,0.8886401947148259
48,2.0,-0.018638831301568404,1,0.6334793165699093
48,4.0,-0.45371889551537703,1,0.4545907036312524
48,8.0,-0.8380731272458686,1,0.4601952248422281
48,hard,-1.3385453762719024,1,0.5608403079999547
144,0.5,-0.2820729042129011,1,1.1094075741977127
144,1.0,0.0,0,0.9674288325284242
144,2.0,-0.23187013971887382,1,0.8073926755809557
144,4.0,-0.5543218210385981,1,0.8704723414347182
144,8.0,-0.7716283127013168,1,1.0120053342247393
144,hard,-0.983088362132436,1,1.2195780207114193
360,0.5,-0.07093357452411464,2,1.1958832230807037
360,1.0,0.0,0,1.233869506151487
360,2.0,-0.22025982618786855,1,1.3081357922175418
360,4.0,-0.42578900864804314,1,1.4525185248554118
360,8.0,-0.5713054736573553,1,1.5274713999175227
360,hard,-0.7863464923266028,1,1.5916429544650579
720,0.5,0.2232610514302691,4,0.884745930211589
720,1.0,0.0,0,0.9641046107835716
720,2.0,-0.3470676141327478,1,1.0133178076796112
720,4.0,-0.5729777359647392,1,1.0664437428552043
720,8.0,-0.6963409857709246,1,1.0951591492191437
720,hard,-0.812340468190268,1,1.1339212069808513
