dataset,width,fold,exponent,true_contrast_mixture_mse,shuffled_contrast_mixture_mse,true_over_shuffled_gain_pct,gain_over_exponent_1_pct
Weather,1,0,0.5,0.41596158708020053,0.419916137932471,0.9417477670044749,-1.1434788941086405
Weather,1,0,1.0,0.41125892803794917,0.4183800954837508,1.7020808405256105,0.0
Weather,1,0,2.0,0.4086913766280369,0.41714385192349035,2.026273492100694,0.6243150567360689
Weather,1,0,4.0,0.4091546400267862,0.41758578769454313,2.0190216995421673,0.5116698672542386
Weather,1,0,8.0,0.4100510259479086,0.4186779611473457,2.0605181069946465,0.29370841766360734
Weather,1,0,hard,0.4112430479539932,0.4198308665350347,2.0455424471094386,0.003861334763410884
Weather,1,1,0.5,0.40282183502654206,0.4064090315355607,0.882656690838024,-1.1604519662424817
Weather,1,1,1.0,0.39820090479722725,0.40428654147701126,1.5052780776601882,0.0
Weather,1,1,2.0,0.395288914139428,0.4024158837146513,1.7710457920882994,0.7312868008881312
Weather,1,1,4.0,0.39514096391645553,0.4029636924102834,1.941298593686458,0.768441468592318
Weather,1,1,8.0,0.3956346108997431,0.4039799845563127,2.065788894401588,0.6444721412149912
Weather,1,1,hard,0.3965396728805877,0.4049860075059496,2.0855867780167126,0.41718436513484836
Weather,48,0,0.5,0.4090857336172547,0.4175278201687494,2.0219219280005585,-1.6259295634716509
Weather,48,0,1.0,0.4025407052850183,0.41424252004478107,2.8248705030323285,0.0
Weather,48,0,2.0,0.3991212571261501,0.41093700121712295,2.8753176413846226,0.8494664300960686
Weather,48,0,4.0,0.39835554267559087,0.40939128538049024,2.6956467074385038,1.0396868079376231
Weather,48,0,8.0,0.3983827861725261,0.40931644258128064,2.6711989236990807,1.032918921714554
Weather,48,0,hard,0.39862229845660135,0.41015800068251507,2.8125020618195773,0.9734187814975148
Weather,48,1,0.5,0.3967572075195556,0.4044098138345696,1.892289962613125,-1.5601794862607044
Weather,48,1,1.0,0.39066217638304773,0.4008395554955173,2.539015666726885,0.0
Weather,48,1,2.0,0.38729871224569334,0.397096218786824,2.467287795150308,0.8609648798087122
Weather,48,1,4.0,0.3863972568602168,0.3955653617684614,2.317721872121614,1.0917154975989107
Weather,48,1,8.0,0.38624949620298604,0.3957371802603766,2.3974709809040595,1.1295386261645723
Weather,48,1,hard,0.38607441329965386,0.39632944315515695,2.5875013912323386,1.1743555841186804
Weather,144,0,0.5,0.40186847552793054,0.41566785179425275,3.319808401529356,-1.059164183999206
Weather,144,0,1.0,0.3976566388341046,0.4110602593444277,3.260743456859483,0.0
Weather,144,0,2.0,0.3962538901826266,0.4073382775508655,2.7211749985501354,0.35275373638694596
Weather,144,0,4.0,0.3960030934052636,0.4060938863519142,2.48484236916241,0.41582241244333407
Weather,144,0,8.0,0.3959798392324697,0.40634029705173924,2.5496998192011344,0.4216702144219542
Weather,144,0,hard,0.3958908404851219,0.40641188061737565,2.588762935835276,0.4440510170180656
Weather,144,1,0.5,0.3912057620132414,0.403702497473201,3.095530876865382,-1.2072151175613666
Weather,144,1,1.0,0.38653939994181286,0.4000234523720566,3.370815473514388,0.0
Weather,144,1,2.0,0.38511606194820824,0.3971632047637467,3.0332978158701174,0.368225850668491
Weather,144,1,4.0,0.38485700465757594,0.39631246207274307,2.8905115310415064,0.4352454845457321
Weather,144,1,8.0,0.38493638709505484,0.396419490035641,2.8967049373767484,0.41470878440834635
Weather,144,1,hard,0.3850071629965487,0.3961771540472506,2.81944350818617,0.3963986453890178
Weather,360,0,0.5,0.4015970161967396,0.41496042145461876,3.220404782469266,-0.9859468557075202
Weather,360,0,1.0,0.3976761407907145,0.41151647610637077,3.3632518062481576,0.0
Weather,360,0,2.0,0.39678058022041784,0.40974858686696547,3.164869156890582,0.2251984663993123
Weather,360,0,4.0,0.3966310230098089,0.4093973683790816,3.118326192427223,0.2628062570783185
Weather,360,0,8.0,0.39659073392693756,0.4093015926399914,3.1054994511672707,0.2729373860897999
Weather,360,0,hard,0.3966411430552702,0.4097973665508517,3.210421678966291,0.2602614613455012
Weather,360,1,0.5,0.3909838571513029,0.4010234709409596,2.5034978042805744,-0.8194237052212561
Weather,360,1,1.0,0.3878060821836007,0.3974551894905356,2.4277220582534786,0.0
Weather,360,1,2.0,0.3868201018969134,0.39560316372580073,2.220169764611646,0.25424569958665266
Weather,360,1,4.0,0.3866453049955819,0.39525046075829706,2.1771399699840877,0.2993189744428082
Weather,360,1,8.0,0.3867419365173582,0.3952766484167781,2.15917432350341,0.2744014895925906
Weather,360,1,hard,0.38743402699255935,0.396019249315687,2.167880055821203,0.09593846206495948
Weather,720,0,0.5,0.4023777585138365,0.4123003158828635,2.4066334627417585,-0.6417245466602273
Weather,720,0,1.0,0.39981206634360017,0.4100151029547697,2.4884538490512753,0.0
Weather,720,0,2.0,0.39972229768903195,0.4093295620734216,2.3470731837018866,0.02245271269303295
Weather,720,0,4.0,0.3998622324757288,0.4093455547111912,2.3167033637761847,-0.012547428242326575
Weather,720,0,8.0,0.3999210646998278,0.4093050656737857,2.2926667077795004,-0.02726239786219331
Weather,720,0,hard,0.3999315454836523,0.4093540886986925,2.3018075243840364,-0.029883825454479762
Weather,720,1,0.5,0.3906033901037297,0.40038761982023346,2.443689373037239,-0.9244382912283022
Weather,720,1,1.0,0.387025577468761,0.3980990859237636,2.781596051472268,0.0
Weather,720,1,2.0,0.3864892973753408,0.39762189500011097,2.799794921948917,0.13856450959328637
Weather,720,1,4.0,0.386526086405684,0.39775330428343586,2.822658606941819,0.12905892844183864
