dataset,arm,run_dir,best_epoch,best_validation_mean_mse,artifact_validation_mean_mse,checkpoint_sha256,encoder_initialization_hash,missing_files,effective_config_ok,four_h_metrics_ok,validation_selector_ok,diagnostics_ok,pass
ETTm1,itransformer_original,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_v1_20260815/itransformer_original/ETTm1/seed2021,8,0.6389888664335197,0.6389888180373606,c2eeda8dd7ef9020f95125fd62e3d40525f1f4a7b301f4844a933a68b55e2c5e,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True,True,True
ETTm1,itransformer_iscf,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_v1_20260815/itransformer_iscf/ETTm1/seed2021,10,0.6387018614482792,0.6387017777512527,b0a9f9cd4917a6e258c6978148543efca5adf451f7735b12150703c8ac76f412,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True,True,True
ETTm1,itransformer_iscf_bsca,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_v1_20260815/itransformer_iscf_bsca/ETTm1/seed2021,10,0.6432662982561086,0.6432664327577979,5e4685ddd2ceaeaa98017f01be685d61fcf1b151d2e748ee32288ad9cd9a39bb,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True,True,True
ETTm2,itransformer_original,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_v1_20260815/itransformer_original/ETTm2/seed2021,9,0.1936615267949593,0.19366149892776444,5348110340bc9afde9280cbf8389a2d2e1e6948ace2e704d0c52c5258e4e49ed,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True,True,True
ETTm2,itransformer_iscf,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_v1_20260815/itransformer_iscf/ETTm2/seed2021,9,0.19495177598252508,0.19495178772046948,c27ac49c307e2d7237856abab8656d9c1d9fd1481942d204c52e9a5df4e06469,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True,True,True
ETTm2,itransformer_iscf_bsca,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_v1_20260815/itransformer_iscf_bsca/ETTm2/seed2021,2,0.19780904040907488,0.19780904069304509,943fc3d2bf5f6f3ba860fb15b2620b9ab6dc7422ae55ed9a673a3d0212c8555d,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True,True,True
ETTh1,itransformer_original,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_v1_20260815/itransformer_original/ETTh1/seed2021,2,1.1691281035315202,1.1691281978652577,62fd68a2d51fc0ef8dc35203b9a6386c3399466dcf9db11f14327fd9ba9493bf,384d57e712bb5f017d4c0bc7b9207c8c92931e8352c1d8c0af525b8634ff5f2d,,True,True,True,True,True
ETTh1,itransformer_iscf,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_v1_20260815/itransformer_iscf/ETTh1/seed2021,3,1.21347088412463,1.2134708250257453,a1d6cdc7898e0039fa5ddc81965eadff49bf2a66a497d257e40799b8c1f822c4,384d57e712bb5f017d4c0bc7b9207c8c92931e8352c1d8c0af525b8634ff5f2d,,True,True,True,True,True
ETTh1,itransformer_iscf_bsca,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_v1_20260815/itransformer_iscf_bsca/ETTh1/seed2021,4,1.2091489313168466,1.2091488801670955,fa72a9db7e7f7703d5722a4be08df81a36170e1793edfb208b240af1851891f2,384d57e712bb5f017d4c0bc7b9207c8c92931e8352c1d8c0af525b8634ff5f2d,,True,True,True,True,True
ETTh2,itransformer_original,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_v1_20260815/itransformer_original/ETTh2/seed2021,3,0.38900900757030793,0.38900899236933106,d76ab455325480f5e49810f6712d762ca2ff84af5b0c9682d3f3b6c0244f4d34,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True,True,True
