dataset,arm,patience,max_epochs,stop_epoch,selected_epoch,full_trajectory_best_epoch,selected_val_mse,full_trajectory_best_val_mse,retains_full_trajectory_best,stopped_early,epochs_saved
ETTh2,sc0_p12_d128,3,20,4,1,1,0.6534243822097778,0.6534243822097778,1,1,16
ETTh2,sc0_p12_d128,5,20,6,1,1,0.6534243822097778,0.6534243822097778,1,1,14
ETTh2,sc0_p12_d128,7,20,8,1,1,0.6534243822097778,0.6534243822097778,1,1,12
ETTm1,sc0_p12_d128,3,20,4,1,6,0.9882227182388306,0.9750548005104065,0,1,16
ETTm1,sc0_p12_d128,5,20,11,6,6,0.9750548005104065,0.9750548005104065,1,1,9
ETTm1,sc0_p12_d128,7,20,13,6,6,0.9750548005104065,0.9750548005104065,1,1,7
Weather,sc0_p12_d128,3,20,6,3,11,0.5902230143547058,0.5864202380180359,0,1,14
Weather,sc0_p12_d128,5,20,16,11,11,0.5864202380180359,0.5864202380180359,1,1,4
Weather,sc0_p12_d128,7,20,18,11,11,0.5864202380180359,0.5864202380180359,1,1,2
ETTh2,sc0_p24_d64,3,20,4,1,1,0.6379945874214172,0.6379945874214172,1,1,16
ETTh2,sc0_p24_d64,5,20,6,1,1,0.6379945874214172,0.6379945874214172,1,1,14
ETTh2,sc0_p24_d64,7,20,8,1,1,0.6379945874214172,0.6379945874214172,1,1,12
ETTm1,sc0_p24_d64,3,20,4,1,1,0.9603685736656189,0.9603685736656189,1,1,16
ETTm1,sc0_p24_d64,5,20,6,1,1,0.9603685736656189,0.9603685736656189,1,1,14
ETTm1,sc0_p24_d64,7,20,8,1,1,0.9603685736656189,0.9603685736656189,1,1,12
Weather,sc0_p24_d64,3,20,5,2,2,0.5935472846031189,0.5935472846031189,1,1,15
Weather,sc0_p24_d64,5,20,7,2,2,0.5935472846031189,0.5935472846031189,1,1,13
Weather,sc0_p24_d64,7,20,9,2,2,0.5935472846031189,0.5935472846031189,1,1,11
ETTh2,sc0_p48_d32,3,20,5,2,2,0.6736726760864258,0.6736726760864258,1,1,15
ETTh2,sc0_p48_d32,5,20,7,2,2,0.6736726760864258,0.6736726760864258,1,1,13
ETTh2,sc0_p48_d32,7,20,9,2,2,0.6736726760864258,0.6736726760864258,1,1,11
ETTm1,sc0_p48_d32,3,20,5,2,2,0.9627097845077515,0.9627097845077515,1,1,15
ETTm1,sc0_p48_d32,5,20,7,2,2,0.9627097845077515,0.9627097845077515,1,1,13
ETTm1,sc0_p48_d32,7,20,9,2,2,0.9627097845077515,0.9627097845077515,1,1,11
Weather,sc0_p48_d32,3,20,7,4,4,0.5959303379058838,0.5959303379058838,1,1,13
Weather,sc0_p48_d32,5,20,9,4,4,0.5959303379058838,0.5959303379058838,1,1,11
Weather,sc0_p48_d32,7,20,11,4,4,0.5959303379058838,0.5959303379058838,1,1,9
