short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,5.2042527595328944e-14,1.3069806925614103e-07,0.0
192,720,4.9947452586667634e-14,1.2771553770107857e-07,0.0
336,720,3.200823327632711e-14,9.481291840529593e-08,0.0
