model,horizon,mse_raw,mae_raw,mse_scaled,mae_scaled
UVHF,96,1.4090215546530065,0.9012456734975179,0.04141139730721458,0.15450563270802323
TimeMixer,96,2.6085589175364645,1.1810266255051376,0.07666601648260998,0.20247006047812716
UVHF,192,2.122016383119312,1.0758440426240365,0.062366443752106454,0.18443801661283876
TimeMixer,192,3.1332172847005837,1.331337341800941,0.09208582040359285,0.2282386749713908
UVHF,336,2.9837691808231495,1.322860306483649,0.08769351370960306,0.22678540896002272
TimeMixer,336,4.309466895147205,1.6096142129353201,0.1266560083398995,0.2759452496679124
UVHF,720,14.270793551706195,2.1628509112944205,0.41942119317293025,0.37078973950113436
TimeMixer,720,18.14146403890628,2.596728856731228,0.5331808960400921,0.4451718846243594
