dataset,comparison,feature,positive_count,negative_count,positive_mean,negative_mean,standardized_mean_diff,rank_auc_abs,horizon,segment,is_known_h720_segment_gap,positive_group_mse,aligned_mse,positive_group,negative_group
ETTh2,h720_1-96_top_quartile_error,history_mean,541,1620,-1.1402480644690272,-1.3174135250764496,0.9582904370496993,0.7179571438351475,720,1-96,False,0.5872231882507628,0.1370532556410013,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_1-96_top_quartile_error,history_std,541,1620,1.1879937496167094,1.2002305489735057,-0.2704796583289257,0.5410157230551562,720,1-96,False,0.5872231882507628,0.1370532556410013,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_1-96_top_quartile_error,history_abs_mean,541,1620,1.263953754977085,1.373972187353949,-1.0399103164248498,0.7402501083955182,720,1-96,False,0.5872231882507628,0.1370532556410013,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_1-96_top_quartile_error,history_last_abs_mean,541,1620,1.334560806573324,1.3282821015238937,0.022626728071959576,0.5077748111635974,720,1-96,False,0.5872231882507628,0.1370532556410013,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_1-96_top_quartile_error,history_recent_mean,541,1620,-1.2325956387292434,-1.2500280517143774,0.05754710331580923,0.5210264485064239,720,1-96,False,0.5872231882507628,0.1370532556410013,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_1-96_top_quartile_error,history_recent_std,541,1620,1.1952647167030812,1.1757634769887635,0.16783838688930022,0.5235902877615755,720,1-96,False,0.5872231882507628,0.1370532556410013,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_1-96_top_quartile_error,history_recent_minus_previous_mean,541,1620,-0.035077663408953026,0.015452748556921272,-0.184423857756353,0.5709625522009996,720,1-96,False,0.5872231882507628,0.1370532556410013,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_1-96_top_quartile_error,history_second_minus_first_mean,541,1620,-0.034391068453876225,0.06885766024015615,-0.4935421114012469,0.6253565642043769,720,1-96,False,0.5872231882507628,0.1370532556410013,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_1-96_top_quartile_error,history_slope_abs_mean,541,1620,0.2608953185916127,0.18100438271602368,0.6714175653356074,0.7006207069669793,720,1-96,False,0.5872231882507628,0.1370532556410013,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_1-96_top_quartile_error,window_index_norm,541,1620,0.7191047100705142,0.4268298468221308,1.183484480532695,0.7921396134273522,720,1-96,False,0.5872231882507628,0.1370532556410013,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_97-192_top_quartile_error,history_mean,541,1620,-1.118740883045354,-1.3245958615889228,1.2523468854773971,0.8582392003833779,720,97-192,False,0.7633548955759892,0.19611142127588257,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_97-192_top_quartile_error,history_std,541,1620,1.196892554837547,1.1972587874769174,-0.007956003915373358,0.5314267132196892,720,97-192,False,0.7633548955759892,0.19611142127588257,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_97-192_top_quartile_error,history_abs_mean,541,1620,1.2489947901075213,1.3789677429060692,-1.4309808440628298,0.8780287989776592,720,97-192,False,0.7633548955759892,0.19611142127588257,top_quartile_segment_error,lower_three_quartiles_segment_error
ETTh2,h720_97-192_top_quartile_error,history_last_abs_mean,541,1620,1.261051132106729,1.3528307026883557,-0.34155102139840143,0.6124301134159421,720,97-192,False,0.7633548955759892,0.19611142127588257,top_quartile_segment_error,lower_three_quartiles_segment_error
