dataset,block_size,residual_label,proxy,num_units,spearman_proxy_residual,pearson_proxy_residual,top_quartile_overlap,proxy_mean,residual_mean
ETTh2,48,prefix_normalized_residual,local_variation,15,0.267857,0.278287,0.500000,0.0844764923,-0.0096229243
ETTh2,48,prefix_normalized_residual,step_index,15,0.214286,0.283812,0.500000,336.0000000000,-0.0096229243
ETTh2,48,prefix_normalized_residual,shuffled_seasonal,15,-0.328571,-0.335871,0.000000,0.3739726080,-0.0096229243
ETTh2,96,linear_step_residual,seasonal_residual,8,0.309524,0.402405,0.500000,0.3734920118,0.0000000000
ETTh2,96,linear_step_residual,label_novelty,8,0.023810,0.010300,0.500000,1.1330571980,0.0000000000
ETTh2,96,linear_step_residual,local_variation,8,-0.238095,-0.066269,0.000000,0.0844670443,0.0000000000
ETTh2,96,linear_step_residual,step_index,8,0.023810,-0.000000,0.500000,336.0000000000,0.0000000000
ETTh2,96,linear_step_residual,shuffled_seasonal,8,-0.142857,-0.390968,0.000000,0.3734920118,0.0000000000
ETTh2,96,rank_step_residual,seasonal_residual,8,nan,nan,0.500000,0.3734920118,0.0000000000
ETTh2,96,rank_step_residual,label_novelty,8,nan,nan,0.000000,1.1330571980,0.0000000000
ETTh2,96,rank_step_residual,local_variation,8,nan,nan,0.500000,0.0844670443,0.0000000000
ETTh2,96,rank_step_residual,step_index,8,nan,nan,0.000000,336.0000000000,0.0000000000
ETTh2,96,rank_step_residual,shuffled_seasonal,8,nan,nan,0.000000,0.3734920118,0.0000000000
ETTh2,96,prefix_normalized_residual,seasonal_residual,8,0.047619,-0.140669,0.500000,0.3734920118,-0.0147986117
ETTh2,96,prefix_normalized_residual,label_novelty,8,0.333333,0.641800,0.500000,1.1330571980,-0.0147986117
ETTh2,96,prefix_normalized_residual,local_variation,8,-0.404762,-0.353685,0.000000,0.0844670443,-0.0147986117
ETTh2,96,prefix_normalized_residual,step_index,8,0.333333,0.491197,0.500000,336.0000000000,-0.0147986117
ETTh2,96,prefix_normalized_residual,shuffled_seasonal,8,-0.095238,-0.100415,0.000000,0.3734920118,-0.0147986117
ETTm1,24,linear_step_residual,seasonal_residual,30,0.615128,0.306379,0.625000,0.4698313534,-0.0000000000
ETTm1,24,linear_step_residual,label_novelty,30,0.178643,0.479407,0.250000,0.9392068462,-0.0000000000
ETTm1,24,linear_step_residual,local_variation,30,-0.230701,-0.107261,0.125000,0.0465413271,-0.0000000000
ETTm1,24,linear_step_residual,step_index,30,-0.244939,0.000000,0.000000,348.0000000000,-0.0000000000
ETTm1,24,linear_step_residual,shuffled_seasonal,30,-0.021580,0.145708,0.250000,0.4698313534,-0.0000000000
ETTm1,24,rank_step_residual,seasonal_residual,30,0.045161,0.165972,0.375000,0.4698313534,-0.0000000000
ETTm1,24,rank_step_residual,label_novelty,30,0.656507,0.545841,0.500000,0.9392068462,-0.0000000000
ETTm1,24,rank_step_residual,local_variation,30,0.426474,0.159341,0.375000,0.0465413271,-0.0000000000
ETTm1,24,rank_step_residual,step_index,30,0.226696,0.000000,0.250000,348.0000000000,-0.0000000000
ETTm1,24,rank_step_residual,shuffled_seasonal,30,0.108788,0.146652,0.500000,0.4698313534,-0.0000000000
ETTm1,24,prefix_normalized_residual,seasonal_residual,30,0.350389,0.002340,0.500000,0.4698313534,-0.0043637861
ETTm1,24,prefix_normalized_residual,label_novelty,30,0.482981,0.528253,0.500000,0.9392068462,-0.0043637861
ETTm1,24,prefix_normalized_residual,local_variation,30,0.186207,0.170969,0.250000,0.0465413271,-0.0043637861
ETTm1,24,prefix_normalized_residual,step_index,30,-0.044271,0.131560,0.125000,348.0000000000,-0.0043637861
ETTm1,24,prefix_normalized_residual,shuffled_seasonal,30,0.154616,0.311279,0.375000,0.4698313534,-0.0043637861
ETTm1,48,linear_step_residual,seasonal_residual,15,0.589286,0.343749,0.500000,0.4698313534,-0.0000000000
