dataset,block_size,residual_label,proxy,num_units,valid_bootstrap_iterations,bootstrap_mean_spearman,bootstrap_p05_spearman,bootstrap_p50_spearman,bootstrap_p95_spearman,bootstrap_positive_fraction
ETTh2,24,linear_step_residual,seasonal_residual,30,1000,0.366919,0.065474,0.371844,0.642153,0.976000
ETTh2,24,rank_step_residual,seasonal_residual,30,1000,-0.251890,-0.617501,-0.249916,0.119826,0.150000
ETTh2,24,prefix_normalized_residual,seasonal_residual,30,1000,0.338939,0.029745,0.343087,0.632995,0.963000
ETTh2,48,linear_step_residual,seasonal_residual,15,1000,0.322110,-0.245252,0.349590,0.815415,0.842000
ETTh2,48,rank_step_residual,seasonal_residual,15,1000,-0.367121,-0.801471,-0.377939,0.109159,0.101000
ETTh2,48,prefix_normalized_residual,seasonal_residual,15,1000,0.191058,-0.305630,0.217152,0.617397,0.750000
ETTh2,96,linear_step_residual,seasonal_residual,8,1000,0.304210,-0.324775,0.333333,0.924051,0.786000
ETTh2,96,rank_step_residual,seasonal_residual,8,0,nan,nan,nan,nan,nan
ETTh2,96,prefix_normalized_residual,seasonal_residual,8,1000,0.029378,-0.753103,0.048780,0.736842,0.533000
ETTm1,24,linear_step_residual,seasonal_residual,30,1000,0.599161,0.365311,0.613263,0.785492,1.000000
ETTm1,24,rank_step_residual,seasonal_residual,30,1000,0.041912,-0.309730,0.059665,0.359617,0.605000
ETTm1,24,prefix_normalized_residual,seasonal_residual,30,1000,0.348518,0.032992,0.364570,0.619634,0.960000
ETTm1,48,linear_step_residual,seasonal_residual,15,1000,0.567663,0.205791,0.586640,0.855869,0.993000
ETTm1,48,rank_step_residual,seasonal_residual,15,1000,-0.246421,-0.688981,-0.253621,0.232911,0.213000
ETTm1,48,prefix_normalized_residual,seasonal_residual,15,1000,0.205365,-0.363686,0.229656,0.669123,0.748000
ETTm1,96,linear_step_residual,seasonal_residual,8,1000,0.375677,-0.230769,0.414634,0.918072,0.863000
ETTm1,96,rank_step_residual,seasonal_residual,8,0,nan,nan,nan,nan,nan
ETTm1,96,prefix_normalized_residual,seasonal_residual,8,1000,0.240674,-0.500000,0.268293,0.851852,0.722000
Weather,24,linear_step_residual,seasonal_residual,30,1000,0.810702,0.694542,0.823017,0.888348,1.000000
Weather,24,rank_step_residual,seasonal_residual,30,0,nan,nan,nan,nan,nan
Weather,24,prefix_normalized_residual,seasonal_residual,30,1000,-0.087510,-0.369675,-0.092676,0.213071,0.292000
Weather,48,linear_step_residual,seasonal_residual,15,1000,0.784285,0.582396,0.803815,0.913521,1.000000
Weather,48,rank_step_residual,seasonal_residual,15,0,nan,nan,nan,nan,nan
Weather,48,prefix_normalized_residual,seasonal_residual,15,1000,0.059542,-0.388039,0.063177,0.486371,0.604000
Weather,96,linear_step_residual,seasonal_residual,8,1000,0.764663,0.399620,0.794872,1.000000,0.989000
Weather,96,rank_step_residual,seasonal_residual,8,0,nan,nan,nan,nan,nan
Weather,96,prefix_normalized_residual,seasonal_residual,8,1000,-0.102763,-0.802469,-0.102564,0.544304,0.414000
