dataset,block_size,unit_start,unit_end,unit_len,mse,mae,sample_error_std,linear_step_residual,rank_step_residual,prefix_normalized_residual,seasonal_residual,label_novelty,local_variation,step_index,shuffled_seasonal
Weather,24,384,408,24,0.3427171118,0.3446599419,0.3148729709,0.0258193277,0.0000000000,0.0014347400,0.8084210110,1.3334730228,0.2241502839,384.0000000000,0.8066425897
Weather,24,408,432,24,0.3458331496,0.3467934344,0.3122855336,0.0199365657,0.0000000000,-0.0050143150,0.8090166039,1.0592761127,0.2241473769,408.0000000000,0.8065331239
Weather,24,432,456,24,0.3524348986,0.3509174071,0.3134564697,0.0175395149,0.0000000000,-0.0021213567,0.8086715761,1.0731294627,0.2240722111,432.0000000000,0.8065598094
Weather,24,456,480,24,0.3605351066,0.3561202078,0.3154977559,0.0166409231,0.0000000000,0.0042094636,0.8079535980,1.3682500224,0.2239182870,456.0000000000,0.8081084396
Weather,24,480,504,24,0.3656127193,0.3593479506,0.3159314675,0.0127197360,0.0000000000,0.0031597890,0.8075255099,1.6041868086,0.2238463910,480.0000000000,0.8064043391
Weather,24,504,528,24,0.3683870917,0.3612554414,0.3137716562,0.0064953086,0.0000000000,0.0015051762,0.8073742087,1.5985769271,0.2239299047,504.0000000000,0.8067559400
Weather,24,528,552,24,0.3700541557,0.3622091746,0.3114284255,-0.0008364272,0.0000000000,0.0000103931,0.8072916641,1.3647131094,0.2240102899,528.0000000000,0.8090166039
Weather,24,552,576,24,0.3717135278,0.3628783718,0.3101074273,-0.0081758549,0.0000000000,-0.0030946055,0.8067559400,1.0818227888,0.2239749135,552.0000000000,0.8047898615
Weather,24,576,600,24,0.3756806550,0.3649602981,0.3113496943,-0.0132075276,0.0000000000,-0.0020916548,0.8060202906,1.0916439733,0.2238840828,576.0000000000,0.8069268343
Weather,24,600,624,24,0.3812226647,0.3683095272,0.3138520701,-0.0166643176,0.0000000000,0.0021463168,0.8053014832,1.3839662921,0.2238286438,600.0000000000,0.8062964253
Weather,24,624,648,24,0.3851317300,0.3705367227,0.3151841643,-0.0217540521,0.0000000000,0.0012999792,0.8047333017,1.6105917113,0.2238278559,624.0000000000,0.8053014832
Weather,24,648,672,24,0.3880407689,0.3722171901,0.3143777247,-0.0278438131,0.0000000000,0.0031355281,0.8047898615,1.6076819965,0.2238301787,648.0000000000,0.8077721023
Weather,24,672,696,24,0.3885239884,0.3720621552,0.3125537628,-0.0363593933,0.0000000000,-0.0007554973,0.8048456453,1.3735318487,0.2238792935,672.0000000000,0.8072916641
Weather,24,696,720,24,0.3895947095,0.3718352849,0.3107972721,-0.0442874721,0.0000000000,0.0027558686,0.8043104881,1.0945235299,0.2239404935,696.0000000000,0.8060202906
Weather,48,0,48,48,0.1116440726,0.1439644984,0.1422768220,-0.0658734858,0.0000000000,-0.3473911620,0.8062815496,0.7546407856,0.2240430826,0.0000000000,0.8079100971
Weather,48,48,96,48,0.1710734916,0.2185896506,0.1778207315,-0.0244272134,0.0000000000,0.0802840705,0.8064418175,1.3277608343,0.2240503210,48.0000000000,0.8045780667
Weather,48,96,144,48,0.2050753835,0.2489976685,0.1933983993,-0.0084084680,0.0000000000,-0.0069694244,0.8065278240,0.9926756455,0.2240621104,96.0000000000,0.8065278240
Weather,48,144,192,48,0.2419558522,0.2800486473,0.2117616550,0.0104888541,0.0000000000,0.0078396129,0.8065244589,1.0611620817,0.2240909679,144.0000000000,0.8062815496
Weather,48,192,240,48,0.2750721501,0.3041634605,0.2323297409,0.0256220054,0.0000000000,0.0192365719,0.8066845141,1.4780980573,0.2241109967,192.0000000000,0.8065244589
Weather,48,240,288,48,0.2978052938,0.3172319405,0.2577214309,0.0303720026,0.0000000000,0.0013867869,0.8071783347,1.1350680972,0.2241406177,240.0000000000,0.8083125871
Weather,48,288,336,48,0.3197135966,0.3303476642,0.2816660146,0.0342971587,0.0000000000,0.0090089154,0.8079100971,1.1765422923,0.2242746047,288.0000000000,0.8074498593
Weather,48,336,384,48,0.3359127867,0.3404365711,0.2948799914,0.0325132023,0.0000000000,0.0118026795,0.8080923387,1.5560233996,0.2241381271,336.0000000000,0.8080923387
Weather,48,384,432,48,0.3442751307,0.3457266881,0.2918353645,0.0228923997,0.0000000000,-0.0055568172,0.8087188075,1.1963745678,0.2241488304,384.0000000000,0.8071783347
Weather,48,432,480,48,0.3564850026,0.3535188074,0.2925343007,0.0171191251,0.0000000000,0.0023830009,0.8083125871,1.2206897426,0.2239952491,432.0000000000,0.8064418175
Weather,48,480,528,48,0.3669999055,0.3603016960,0.2925044472,0.0096508814,0.0000000000,0.0091163743,0.8074498593,1.6013818679,0.2238881479,480.0000000000,0.8056608869
Weather,48,528,576,48,0.3708838418,0.3625437732,0.2879650362,-0.0044483289,0.0000000000,-0.0049418124,0.8070238020,1.2232679491,0.2239926017,528.0000000000,0.8087188075
Weather,48,576,624,48,0.3784516598,0.3666349127,0.2898930375,-0.0148636574,0.0000000000,-0.0007482428,0.8056608869,1.2378051327,0.2238563633,576.0000000000,0.8070238020
Weather,48,624,672,48,0.3865862494,0.3713769564,0.2917949900,-0.0247122144,0.0000000000,0.0073764285,0.8047615816,1.6091368539,0.2238290173,624.0000000000,0.8047615816
