dataset,fold,correction_skill_centered_alignment,correction_rms,policy_shift_l1
Weather,0,0.025534847684808126,0.7264024459987869,0.3612641761758116
Weather,1,0.007899638431263838,0.7167296646760049,0.3556238742549289
ETTm1,0,-0.21848198250006481,1.5584071574609888,0.28080434641192875
ETTm1,1,-0.2051616227972106,1.3802654576566828,0.27910368551699016
ETTm2,0,-0.5731027166768625,0.366939027276425,0.1391507688312332
ETTm2,1,-0.5695133581284175,0.349274289584332,0.13850530715321333
ETTh1,0,-0.535653508498503,0.21001507332412578,0.13294975268007775
ETTh1,1,-0.4987582421610621,0.2124158779332932,0.13220125493405957
ETTh2,0,-0.40304901666820225,0.09213731644484686,0.041296729763982715
ETTh2,1,-0.44532049299765386,0.09429881167222445,0.04074286499962909
