dataset,fold,feature_set,best_arm_accuracy,expected_arm_mse,allocation_gain_over_uniform_percent,mixture_mse,normalized_entropy
Weather,0,coordinate_only,0.427734375,0.34297744744038805,0.8081033444185759,0.3379149636245129,
Weather,0,base_logits_plus_coordinate,0.4384765625,0.33859063594121835,2.076805284212413,0.33423052498935074,
Weather,0,contrast_plus_coordinate,0.6201171875,0.32499952408821364,6.007466534445216,0.32242422588333214,
Weather,0,base_logits_plus_contrast_plus_coordinate,0.6494140625,0.3238410782589996,6.342498589264089,0.32139071071469094,
Weather,0,shuffled_contrast_plus_base,0.41015625,0.33844476091468745,2.1189935407997407,0.3343004725592309,
Weather,0,base_policy,0.3193359375,0.345322572224528,0.12987398278312412,0.341056702145748,0.9742033671332324
Weather,0,final_policy,0.4287109375,0.3443850880580462,0.40100210870478437,0.3402371350352543,0.868370853195824
Weather,1,coordinate_only,0.3740234375,0.3284163795941289,0.9195592884357451,0.32312481237031415,
Weather,1,base_logits_plus_coordinate,0.447265625,0.3235296629142462,2.3938403303061295,0.318916140240601,
Weather,1,contrast_plus_coordinate,0.6298828125,0.3114508752487281,6.037908286477977,0.30847303379561364,
Weather,1,base_logits_plus_contrast_plus_coordinate,0.65234375,0.3107560997167182,6.24751618116407,0.30795534068212443,
Weather,1,shuffled_contrast_plus_base,0.4189453125,0.3226262623046836,2.666388644264084,0.31825553363609355,
Weather,1,base_policy,0.30859375,0.33109963628502825,0.1100434664626726,0.3267607337776121,0.9720077699660455
Weather,1,final_policy,0.4033203125,0.32932831308291133,0.6444366770731125,0.3245468509241514,0.868743917525416
ETTm1,0,coordinate_only,0.3056640625,0.34300917698217437,1.3469314574313551,0.33611117439200955,
ETTm1,0,base_logits_plus_coordinate,0.4111328125,0.333970852877591,3.9464491007909497,0.3289770692727422,
ETTm1,0,contrast_plus_coordinate,0.4716796875,0.32972481465494347,5.167654619251405,0.32600578999398666,
ETTm1,0,base_logits_plus_contrast_plus_coordinate,0.41015625,0.3273743190131206,5.843682035491094,0.3244654380156319,
ETTm1,0,shuffled_contrast_plus_base,0.3681640625,0.33165315206219914,4.613044377960163,0.3270186655006293,
ETTm1,0,base_policy,0.25390625,0.34715004065056976,0.15597525358357345,0.3398211655849331,0.9942577119311042
ETTm1,0,final_policy,0.26953125,0.3472049103928585,0.1401941351465985,0.33883787109264,0.9498327389692656
