dataset,fold,feature_set,best_arm_accuracy,expected_arm_mse,allocation_gain_over_uniform_percent,mixture_mse,normalized_entropy
ETTm1,1,coordinate_only,0.3330078125,0.32430678197256513,0.9925071748140502,0.31722433462798644,
ETTm1,1,base_logits_plus_coordinate,0.3828125,0.3225487639430591,1.5292118233699137,0.31726106103984253,
ETTm1,1,contrast_plus_coordinate,0.361328125,0.3238530016957568,1.1310415811161434,0.31963527117857726,
ETTm1,1,base_logits_plus_contrast_plus_coordinate,0.337890625,0.32572095830675535,0.5607738252699446,0.3218284424672316,
ETTm1,1,shuffled_contrast_plus_base,0.3330078125,0.32398957590937605,1.089346891930898,0.3189095643051281,
ETTm1,1,base_policy,0.232421875,0.3271262503345709,0.1317527622043957,0.3203216800470456,0.9958107328011405
ETTm1,1,final_policy,0.2548828125,0.32746115581663227,0.02950959630256822,0.3190069026065587,0.9537660810236213
ETTm2,0,coordinate_only,0.3603515625,0.0932552564846578,5.716513631577602,0.0882622669440078,
ETTm2,0,base_logits_plus_coordinate,0.3984375,0.09305035551899232,5.92367382963438,0.08796466877297804,
ETTm2,0,contrast_plus_coordinate,0.4189453125,0.09127559427076384,7.718003546394991,0.08828396981062821,
ETTm2,0,base_logits_plus_contrast_plus_coordinate,0.47265625,0.09105680131819066,7.939208904023642,0.08818620100866623,
ETTm2,0,shuffled_contrast_plus_base,0.373046875,0.09241873991078328,6.562253614104296,0.08808568907651733,
ETTm2,0,base_policy,0.2373046875,0.09837700127537757,0.538296624176926,0.08961727565797642,0.9957641812465526
ETTm2,0,final_policy,0.19140625,0.09931461318019805,-0.4096533636240851,0.09001767616522412,0.98500188864803
ETTm2,1,coordinate_only,0.3349609375,0.0846009055787828,6.24943672807905,0.07994557645921135,
ETTm2,1,base_logits_plus_coordinate,0.4345703125,0.08361519138308962,7.341756726773485,0.0797108265853096,
ETTm2,1,contrast_plus_coordinate,0.4345703125,0.08329505672351142,7.696514213741191,0.07955238074425688,
ETTm2,1,base_logits_plus_contrast_plus_coordinate,0.4716796875,0.08285282882402518,8.186569425180801,0.07932865068787483,
ETTm2,1,shuffled_contrast_plus_base,0.376953125,0.08346806960326447,7.504789848390969,0.07991487077940546,
ETTm2,1,base_policy,0.28515625,0.08962698967692687,0.6797774906343923,0.08088122603928649,0.9961125418433375
ETTm2,1,final_policy,0.271484375,0.09043962508444336,-0.22074510623584231,0.08117871120211798,0.9854155749349652
ETTh1,0,coordinate_only,0.287109375,0.35496919528042337,2.689888799591189,0.3341761241952398,
ETTh1,0,base_logits_plus_coordinate,0.427734375,0.34787854606768887,4.633696523045039,0.3305084213102968,
ETTh1,0,contrast_plus_coordinate,0.3681640625,0.34601385807057977,5.144876081061067,0.3322899561030712,
ETTh1,0,base_logits_plus_contrast_plus_coordinate,0.38671875,0.344561392860942,5.543050212630196,0.33140164002930594,
ETTh1,0,shuffled_contrast_plus_base,0.3974609375,0.34789785219679603,4.6284040030313385,0.33171607816269666,
ETTh1,0,base_policy,0.283203125,0.36404909244025996,0.20075505486168987,0.33640252639563495,0.996588469597
ETTh1,0,final_policy,0.248046875,0.3660726019883652,-0.3539633312947599,0.3377455411291407,0.9869876216848639
ETTh1,1,coordinate_only,0.30078125,0.37636979229111744,2.577399535932634,0.3578764765771809,
ETTh1,1,base_logits_plus_coordinate,0.40234375,0.36869743915359837,4.563373462760434,0.3551582458973208,
ETTh1,1,contrast_plus_coordinate,0.37890625,0.36730638466362836,4.9234452553852615,0.35534614184348357,
ETTh1,1,base_logits_plus_contrast_plus_coordinate,0.384765625,0.36635465390568844,5.169798940721481,0.35559429605481385,
ETTh1,1,shuffled_contrast_plus_base,0.3388671875,0.3687694806762669,4.54472565248577,0.35612700999720526,
ETTh1,1,base_policy,0.294921875,0.38551707893974263,0.20964189238080744,0.3588860859977482,0.9966475417734162
ETTh1,1,final_policy,0.2841796875,0.38742380157148126,-0.283909611890798,0.3602130918637709,0.9873361676721348
ETTh2,0,coordinate_only,0.4208984375,0.11860992026480091,5.387215054606031,0.11368054654735027,
ETTh2,0,base_logits_plus_coordinate,0.470703125,0.11750124601766017,6.271582550048594,0.11278362639806355,
ETTh2,0,contrast_plus_coordinate,0.4794921875,0.11711432131925102,6.580224720947259,0.11265331582374914,
ETTh2,0,base_logits_plus_contrast_plus_coordinate,0.498046875,0.11671772393995439,6.896582597872969,0.11245757664955108,
ETTh2,0,shuffled_contrast_plus_base,0.4228515625,0.11788963827629313,5.961769735416755,0.11323196370721347,
ETTh2,0,base_policy,0.2587890625,0.12593043175525492,-0.4522120168423349,0.11560563209228841,0.9959120549856515
ETTh2,0,final_policy,0.2529296875,0.12608204382624186,-0.573149963983588,0.11566249656284641,0.9937457837630221
ETTh2,1,coordinate_only,0.412109375,0.11352931473999806,5.257296182751581,0.10823778220387889,
ETTh2,1,base_logits_plus_coordinate,0.462890625,0.11201123654641887,6.524165739703324,0.10740922931442913,
ETTh2,1,contrast_plus_coordinate,0.4609375,0.11194979638155139,6.575438905192366,0.107872257709478,
ETTh2,1,base_logits_plus_contrast_plus_coordinate,0.4794921875,0.11105233274204868,7.324392001393864,0.1072181758704204,
ETTh2,1,shuffled_contrast_plus_base,0.4736328125,0.11203156551687213,6.507200767872268,0.10755815783700423,
ETTh2,1,base_policy,0.2412109375,0.12040937718203534,-0.4842668636116487,0.1102337411376884,0.9958320242396405
ETTh2,1,final_policy,0.2080078125,0.12060744342587347,-0.6495574893775835,0.11032135785659809,0.993973908764831
