split,dataset,horizon,candidate_mse,reference_mse,mse_gain_percent,candidate_mae,reference_mae,mae_gain_percent
val,Weather,96,0.39365945756435394,0.3963439625998338,0.6773169995755023,0.24967528933969638,0.2508964849015077,0.4867328301911821
val,Weather,192,0.4466536344649891,0.4484884347766638,0.40910760889259973,0.29033936106134206,0.2908098398086925,0.16178226557256703
val,Weather,336,0.5073346372338987,0.5102254888486295,0.5665831437104926,0.3353673907750774,0.33742304802650497,0.6092225363532711
val,Weather,720,0.5892506884617938,0.5919227002395524,0.4514122835088408,0.38739869605956806,0.3887668860455354,0.3519306903641671
test,Weather,96,0.14148944141101383,0.14248069210844252,0.6957087888611975,0.18258081640473603,0.183581695827977,0.545195651846926
test,Weather,192,0.18428533562057492,0.18541769931965432,0.6107096049807215,0.22609648471333335,0.22733255737000138,0.5437288309989959
test,Weather,336,0.23544898982358126,0.23774543095401202,0.9659244012453677,0.26765105762038316,0.26985287894826376,0.8159339772331048
test,Weather,720,0.3076290182325402,0.31143443416416394,1.221899544228895,0.3182764320718581,0.3205581974598603,0.7118100257872678
val,ETTm1,96,0.36654460631931823,0.3829467575221012,4.28314142386657,0.39549759092430276,0.40524715759480995,2.405832215671056
val,ETTm1,192,0.4907582733624925,0.5068081244438266,3.1668496038707517,0.45742661443849403,0.4651590226373325,1.662314998212374
val,ETTm1,336,0.6476812523656658,0.6607657060514958,1.980195637576004,0.5235437172509375,0.5292197929340459,1.0725365450977629
val,ETTm1,720,0.9533151072553463,0.951679669889725,-0.17184746268782156,0.632443389793237,0.6340783126859202,0.2578424241885433
test,ETTm1,96,0.27575233497248164,0.2890729628886925,4.6080504323539815,0.3296445504371809,0.3389112567160534,2.7342574480010047
test,ETTm1,192,0.3195475489918606,0.32630321943829477,2.0703658572733397,0.35486172560994733,0.360293793986626,1.5076774752551751
test,ETTm1,336,0.36125376183857927,0.3670505633338473,1.5792923576024012,0.3769543350253046,0.38156209790573137,1.2076049758917982
test,ETTm1,720,0.42131830841427304,0.4244134471424136,0.729274425440615,0.4086682180577925,0.41136901955912913,0.656539839638655
val,ETTh1,96,0.7892584266761938,0.7900539766997099,0.1006956545980953,0.6069070495044192,0.6074814728150765,0.09455816125475955
val,ETTh1,192,1.0377961099147797,1.0392014648144443,0.13523411458196707,0.6919590826146305,0.6927823517471552,0.1188351767980945
val,ETTh1,336,1.2531143359485126,1.2555938737378234,0.19747928380132443,0.7664460446685553,0.7677548320165702,0.17046943808576856
val,ETTh1,720,1.4077641639444562,1.4094799532658524,0.12173208405132438,0.8261943483104308,0.827192162639565,0.12062666623316774
test,ETTh1,96,0.36598459999999616,0.3667158650255675,0.19940915987378274,0.4034015337787092,0.403861791872813,0.1139642579134534
test,ETTh1,192,0.3921120819997885,0.3927389009858774,0.1596019606194921,0.41870207218255784,0.41905723578709114,0.08475300608190682
test,ETTh1,336,0.41358167716531435,0.4142320880631338,0.1570160585242469,0.43542753212719487,0.43575390671579567,0.07489883247648382
test,ETTh1,720,0.4719652058814105,0.4728214199156875,0.18108613489415734,0.4813734921559826,0.48183364246920224,0.09549983078424765
val,ETTh2,96,0.23212763806805015,0.2315120849913607,-0.26588377739003205,0.3356980006210506,0.33545199083164334,-0.0733368100744767
val,ETTh2,192,0.3154004426517834,0.3154315770370886,0.009870408536017967,0.38721676302763325,0.3873500438251843,0.034408360002971844
val,ETTh2,336,0.4183094238507606,0.41925755899310824,0.22614622491832895,0.4456962537286537,0.4465432483259411,0.1896780660020623
val,ETTh2,720,0.6368326546210382,0.6391220960041715,0.35821659076520296,0.5541510680690408,0.5556088126574953,0.2623688745111961
test,ETTh2,96,0.24134659551501705,0.24190227156499527,0.2297109681456297,0.314470023435801,0.31503178995283565,0.17832058063688117
test,ETTh2,192,0.2861610374936818,0.2863235650227535,0.05676358809613978,0.348199642662125,0.3486396470100423,0.12620605593506293
test,ETTh2,336,0.3209328017534581,0.32056128833743447,-0.11589466025373014,0.37770130240592925,0.3777894454119078,0.023331251587093104
test,ETTh2,720,0.40300364907616465,0.4022397743441969,-0.1899053203311798,0.43555111805075064,0.43528379449890103,-0.06141362376179214
val,ETTm2,96,0.11483767518075183,0.11255172760381053,-2.031019537068309,0.23034024067843953,0.23064050590619445,0.13018755165107174
val,ETTm2,192,0.15192993333524404,0.15232707387379682,0.260715661670103,0.2649061266177644,0.266599954959626,0.6353445716516032
val,ETTm2,336,0.19337839632672035,0.1968963770528457,1.7867168399859155,0.29913789144761505,0.3010709736762302,0.642068614257707
val,ETTm2,720,0.2739981808156396,0.2759780432149354,0.7173985206329889,0.35354641632487377,0.35231309593137766,-0.3500637381178498
test,ETTm2,96,0.16636964095104073,0.16727055754825756,0.5385984302449154,0.24970423397161148,0.2545152175506291,1.8902538030208789
test,ETTm2,192,0.2272728610295153,0.22141283806084433,-2.646650040708404,0.29030314145977704,0.2908483609123911,0.18745832051578012
test,ETTm2,336,0.2821336011215845,0.2720307646648996,-3.7138580517280877,0.32721611412752055,0.3244481447006915,-0.8531315318145981
test,ETTm2,720,0.3533952209069123,0.34945295964852435,-1.1281235856044842,0.37877733921124324,0.3758464733042053,-0.7798040197827649
