arm,dataset,all_finite,policy_normalized_entropy,policy_usage_max,policy_usage_min,pairwise_arm_l1,oracle_headroom_percent
iscf_bsca_v1,Weather,True,0.9987932730887311,0.20385571519081275,0.1944994536680862,0.04484664587870156,10.172645793095727
iscf_equal,Weather,True,0.2947628531133108,0.2567370601010361,0.09168058362911814,0.05772408383768986,12.159775560827685
iscf_bsca_v1,ETTm1,True,0.9992947064695921,0.20183579497277696,0.19798008896664362,0.08593878384158919,21.70092863644403
iscf_equal,ETTm1,True,0.8117576711829548,0.23070303421696817,0.16352927080357538,0.10223281741706565,25.050951121715006
iscf_bsca_v1,ETTh1,True,0.9993935688585655,0.20699435104158237,0.1923055933090127,0.24022299645303874,46.231754406088115
iscf_equal,ETTh1,True,0.9863042138276471,0.25014351468370494,0.13846714710766256,0.2411628173227594,46.157159895782826
iscf_bsca_v1,ETTh2,True,0.9995120600748514,0.2061469765156414,0.1962310766752354,0.10626385948446744,41.318087067799475
iscf_equal,ETTh2,True,0.9271239151253191,0.22402428078825393,0.17550803848289911,0.10821843822505203,42.03911738614716
iscf_bsca_v1,ETTm2,True,0.9946942190216425,0.20200778001818062,0.19507456690997524,0.10544382028706833,43.35520021919076
iscf_equal,ETTm2,True,0.9365990194389596,0.30241848190216414,0.14193453850631327,0.10005475419205052,39.66482825867802
