dataset,missing_count,checkpoint_sha256,checkpoint_hash_matches_test_invariant,objective,initialization_paired_all_hashes,test_split,uses_test_split,test_invariant_pass,checkpoint_retrained_for_candidate
Weather,0,fb700182522d778b97cb1f082e309986022a507c61c25106be47e6cbc4df7ed6,True,equal_uniform_scope_anchor,True,test,True,True,True
ETTm1,0,9b99248d53cbbe66796a1fa66cd7bb6d8f03ffc7ad54ff5420f143f5812b3a26,True,equal_uniform_scope_anchor,True,test,True,True,True
ETTh1,0,ebcd73b95f2bfb7c9b5e5dc16920aafbb63964668f7b4670f1327ab7276368ff,True,equal_uniform_scope_anchor,True,test,True,True,True
ETTh2,0,dff40f86680125244fa0ed1a3eb28d9afa00f23f60304277d97b9d6f60db8d0f,True,equal_uniform_scope_anchor,True,test,True,True,True
ETTm2,0,4eba8291d320e23bf26988c7aa0ebbe864e64fde38ddde14c11696801cbba354,True,equal_uniform_scope_anchor,True,test,True,True,True
