dataset,variant,horizon,output_shape,expected_shape,full_prefix_max_abs,pass
ETTh1,learned-basis-forecast-operator,1,"[1, 1, 7]","[1, 1, 7]",2.682209014892578e-07,True
ETTh1,learned-basis-forecast-operator,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,learned-basis-forecast-operator,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,learned-basis-forecast-operator,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,learned-basis-forecast-operator,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,learned-basis-forecast-operator,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh1,plgo-paf-geo-c256,1,"[1, 1, 7]","[1, 1, 7]",9.5367431640625e-07,True
ETTh1,plgo-paf-geo-c256,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,plgo-paf-geo-c256,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,plgo-paf-geo-c256,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,plgo-paf-geo-c256,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,plgo-paf-geo-c256,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh1,plgo-paf-perm-c256,1,"[1, 1, 7]","[1, 1, 7]",4.76837158203125e-07,True
ETTh1,plgo-paf-perm-c256,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,plgo-paf-perm-c256,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,plgo-paf-perm-c256,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,plgo-paf-perm-c256,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,plgo-paf-perm-c256,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh1,plgo-paf-random-c256,1,"[1, 1, 7]","[1, 1, 7]",1.9073486328125e-06,True
ETTh1,plgo-paf-random-c256,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,plgo-paf-random-c256,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,plgo-paf-random-c256,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,plgo-paf-random-c256,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,plgo-paf-random-c256,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh1,plgo-paf-geo-m694,1,"[1, 1, 7]","[1, 1, 7]",4.76837158203125e-07,True
ETTh1,plgo-paf-geo-m694,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,plgo-paf-geo-m694,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,plgo-paf-geo-m694,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,plgo-paf-geo-m694,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,plgo-paf-geo-m694,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh1,plgo-paf-perm-m694,1,"[1, 1, 7]","[1, 1, 7]",9.5367431640625e-07,True
ETTh1,plgo-paf-perm-m694,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,plgo-paf-perm-m694,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,plgo-paf-perm-m694,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,plgo-paf-perm-m694,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,plgo-paf-perm-m694,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh1,plgo-paf-random-m694,1,"[1, 1, 7]","[1, 1, 7]",1.9073486328125e-06,True
ETTh1,plgo-paf-random-m694,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,plgo-paf-random-m694,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,plgo-paf-random-m694,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,plgo-paf-random-m694,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,plgo-paf-random-m694,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,learned-basis-forecast-operator,1,"[1, 1, 7]","[1, 1, 7]",3.5762786865234375e-07,True
ETTh2,learned-basis-forecast-operator,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh2,learned-basis-forecast-operator,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,learned-basis-forecast-operator,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,learned-basis-forecast-operator,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,learned-basis-forecast-operator,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,plgo-paf-geo-c256,1,"[1, 1, 7]","[1, 1, 7]",9.5367431640625e-07,True
ETTh2,plgo-paf-geo-c256,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
