dataset,variant,active_parameter_tensors,missing_gradient_tensors,nonfinite_gradient_tensors,zero_gradient_tensors,patch_gradient_min_l2,flatten_block_sum_max_abs,pass
ETTh1,learned-basis-forecast-operator,18,0,0,0,,,True
ETTh1,plgo-paf-geo-c256,21,0,0,0,29.1690616607666,2.4437904357910156e-06,True
ETTh1,plgo-paf-perm-c256,21,0,0,0,29.16021156311035,2.4437904357910156e-06,True
ETTh1,plgo-paf-random-c256,21,0,0,0,28.68935775756836,2.4437904357910156e-06,True
ETTh1,plgo-paf-geo-m694,21,0,0,0,17.1757755279541,2.4437904357910156e-06,True
ETTh1,plgo-paf-perm-m694,21,0,0,0,17.31014060974121,2.4437904357910156e-06,True
ETTh1,plgo-paf-random-m694,21,0,0,0,17.07478904724121,2.4437904357910156e-06,True
ETTh2,learned-basis-forecast-operator,18,0,0,0,,,True
ETTh2,plgo-paf-geo-c256,21,0,0,0,21.072509765625,1.9073486328125e-06,True
ETTh2,plgo-paf-perm-c256,21,0,0,0,21.051803588867188,1.9073486328125e-06,True
ETTh2,plgo-paf-random-c256,21,0,0,0,21.16206169128418,1.9073486328125e-06,True
ETTh2,plgo-paf-geo-m694,21,0,0,0,19.01464080810547,1.9073486328125e-06,True
ETTh2,plgo-paf-perm-m694,21,0,0,0,18.985820770263672,1.9073486328125e-06,True
ETTh2,plgo-paf-random-m694,21,0,0,0,18.75535011291504,1.9073486328125e-06,True
ETTm1,learned-basis-forecast-operator,18,0,0,0,,,True
ETTm1,plgo-paf-geo-c256,21,0,0,0,44.69975280761719,2.1457672119140625e-06,True
ETTm1,plgo-paf-perm-c256,21,0,0,0,44.6912727355957,2.1457672119140625e-06,True
ETTm1,plgo-paf-random-c256,21,0,0,0,44.38294219970703,2.1457672119140625e-06,True
ETTm1,plgo-paf-geo-m694,21,0,0,0,17.041107177734375,2.1457672119140625e-06,True
ETTm1,plgo-paf-perm-m694,21,0,0,0,17.020526885986328,2.1457672119140625e-06,True
ETTm1,plgo-paf-random-m694,21,0,0,0,17.16104507446289,2.1457672119140625e-06,True
ETTm2,learned-basis-forecast-operator,18,0,0,0,,,True
ETTm2,plgo-paf-geo-c256,21,0,0,0,21.78701400756836,5.7220458984375e-06,True
ETTm2,plgo-paf-perm-c256,21,0,0,0,21.801876068115234,5.7220458984375e-06,True
ETTm2,plgo-paf-random-c256,21,0,0,0,21.578182220458984,5.7220458984375e-06,True
ETTm2,plgo-paf-geo-m694,21,0,0,0,13.494793891906738,5.7220458984375e-06,True
ETTm2,plgo-paf-perm-m694,21,0,0,0,13.48835277557373,5.7220458984375e-06,True
ETTm2,plgo-paf-random-m694,21,0,0,0,13.097321510314941,5.7220458984375e-06,True
Weather,learned-basis-forecast-operator,18,0,0,0,,,True
Weather,plgo-paf-geo-c256,21,0,0,0,20.993051528930664,2.6226043701171875e-06,True
Weather,plgo-paf-perm-c256,21,0,0,0,20.967981338500977,2.6226043701171875e-06,True
Weather,plgo-paf-random-c256,21,0,0,0,20.846200942993164,2.6226043701171875e-06,True
Weather,plgo-paf-geo-m694,21,0,0,0,21.41702651977539,2.6226043701171875e-06,True
Weather,plgo-paf-perm-m694,21,0,0,0,21.431421279907227,2.6226043701171875e-06,True
Weather,plgo-paf-random-m694,21,0,0,0,21.108484268188477,2.6226043701171875e-06,True
