dataset,basis,rank,samples,channels,residual_rows,base_mse,global_oracle_mse,segment_oracle_mse,global_reduction_pct,segment_reduction_pct,segment_minus_global_reduction_pct
ETTh2,learned_a6,8,2161,7,15127,0.39502806510792565,0.1915137307061768,0.14472645948211948,51.518955835744656,63.36299309706546,11.844037261320803
ETTh2,learned_a6,16,2161,7,15127,0.39502806510792565,0.18215742173857588,0.13401032027096302,53.8874733650105,66.0757469891791,12.188273624168602
ETTh2,learned_a6,32,2161,7,15127,0.39502806510792565,0.1705933337080274,0.11307796403671858,56.81488259285588,71.37470118589562,14.559818593039722
ETTh2,learned_a6,64,2161,7,15127,0.39502806510792565,0.1493147487686919,0.08275616486744954,62.20148339893328,79.0505606621039,16.84907726317063
ETTh2,dct,8,2161,7,15127,0.39502806510792565,0.15051182187972179,0.09765730947720765,61.89844844603625,75.2783870051039,13.379938559067636
ETTh2,dct,16,2161,7,15127,0.39502806510792565,0.10005574543513704,0.07411063404814805,74.67123116738534,81.23914714062144,6.56791597323611
ETTh2,dct,32,2161,7,15127,0.39502806510792565,0.0772816893792394,0.06125289838554837,80.43640535815467,84.49403883017439,4.057633472019718
ETTh2,dct,64,2161,7,15127,0.39502806510792565,0.05435851354250773,0.04894421805015636,86.23932871006103,87.60993904653728,1.3706103364762514
ETTm1,learned_a6,8,10801,7,75607,0.4083698485605089,0.26794585301797774,0.18857106769220902,34.38647491667698,53.823459700338745,19.436984783661767
ETTm1,learned_a6,16,10801,7,75607,0.4083698485605089,0.26072872823949766,0.17468384168825787,36.1537760051193,57.22410890421685,21.07033289909755
ETTm1,learned_a6,32,10801,7,75607,0.4083698485605089,0.24452915013882437,0.1453433607624649,40.12066488238981,64.40889030500274,24.28822542261293
ETTm1,learned_a6,64,10801,7,75607,0.4083698485605089,0.22633237152762073,0.11120964540408805,44.57662035396704,72.76742007371537,28.190799719748338
ETTm1,dct,8,10801,7,75607,0.4083698485605089,0.2686027310640225,0.1594942839972215,34.22562120811837,60.94366796191395,26.718046753795587
ETTm1,dct,16,10801,7,75607,0.4083698485605089,0.16129567799293656,0.0751011311349636,60.502549695698924,81.60953082121691,21.106981125517976
ETTm1,dct,32,10801,7,75607,0.4083698485605089,0.06559546997712945,0.04289872465159023,83.93723968398953,89.4951292797921,5.557889595802566
ETTm1,dct,64,10801,7,75607,0.4083698485605089,0.036827115508965634,0.033292180992932095,90.9819210113626,91.84754185200352,0.8656208406409232
Weather,learned_a6,8,9820,21,206220,0.30304582122762896,0.25587967790919436,0.23271787581395137,15.564030260297294,23.20703355313772,7.643003292840428
Weather,learned_a6,16,9820,21,206220,0.30304582122762896,0.24306170509176184,0.21428225686814653,19.793744686157805,29.290476271840365,9.49673158568256
Weather,learned_a6,32,9820,21,206220,0.30304582122762896,0.20984351845950697,0.16807764319104856,30.755184938885616,44.53721799885859,13.78203305997297
Weather,learned_a6,64,9820,21,206220,0.30304582122762896,0.1821467525105441,0.11543559716934042,39.894649669586784,61.9082036169598,22.01355394737302
Weather,dct,8,9820,21,206220,0.30304582122762896,0.08099198387821363,0.05156597209921173,73.27401395930235,82.98410059233959,9.710086633037232
Weather,dct,16,9820,21,206220,0.30304582122762896,0.058176904633233745,0.0392191642859025,80.80260457063524,87.05833852879842,6.255733958163174
Weather,dct,32,9820,21,206220,0.30304582122762896,0.04213559865615084,0.03183168855092628,86.09596446984128,89.49608068444003,3.400116214598752
Weather,dct,64,9820,21,206220,0.30304582122762896,0.030068213803806296,0.026730201110752076,90.0779975509971,91.17948533245934,1.1014877814622344
