dataset,basis,segment_start,segment_end,rank,effective_rank,base_mse,oracle_mse,relative_mse_reduction_pct
ETTh2,learned_a6,0,96,8,8,0.24416221930773754,0.14117031968179902,42.181751098899305
ETTh2,learned_a6,96,192,8,8,0.3282245757519157,0.12155211800608211,62.96678342027755
ETTh2,learned_a6,192,336,8,8,0.35192851333547304,0.12303014297434886,65.04115514588288
ETTh2,learned_a6,336,720,8,8,0.465607730811645,0.15954519849162305,65.73398852001348
ETTh2,learned_a6,0,96,16,16,0.24416221930773754,0.13142099699291993,46.17472049298531
ETTh2,learned_a6,96,192,16,16,0.3282245757519157,0.10787369300936427,67.13418160043591
ETTh2,learned_a6,192,336,16,16,0.35192851333547304,0.1047910721355322,70.22376188210674
ETTh2,learned_a6,336,720,16,16,0.465607730811645,0.15214902595666016,67.3224871736054
ETTh2,learned_a6,0,96,32,32,0.24416221930773754,0.10467809022195797,57.127646316966164
ETTh2,learned_a6,96,192,32,32,0.3282245757519157,0.0766968712755372,76.63280663861455
ETTh2,learned_a6,192,336,32,32,0.35192851333547304,0.08156740517449858,76.82273470784531
ETTh2,learned_a6,336,720,32,32,0.465607730811645,0.13608966525403668,70.77160531316655
ETTh2,learned_a6,0,96,64,64,0.24416221930773754,0.054332691294117115,77.74729790376078
ETTh2,learned_a6,96,192,64,64,0.3282245757519157,0.029588821559033387,90.98519009697868
ETTh2,learned_a6,192,336,64,64,0.35192851333547304,0.052327689444121056,85.13115946526331
ETTh2,learned_a6,336,720,64,64,0.465607730811645,0.11456454737163499,75.39462088141735
ETTh2,dct,0,96,8,7,0.24416221930773754,0.058741642408882896,75.94155124595832
ETTh2,dct,96,192,8,8,0.3282245757519157,0.05845848392824497,82.1894860266557
ETTh2,dct,192,336,8,8,0.35192851333547304,0.0710791945422468,79.80294524345882
ETTh2,dct,336,720,8,8,0.465607730811645,0.12715272573213987,72.69101921686568
ETTh2,dct,0,96,16,7,0.24416221930773754,0.058741642408882896,75.94155124595832
ETTh2,dct,96,192,16,11,0.3282245757519157,0.05025052238635016,84.69020113096852
ETTh2,dct,192,336,16,16,0.35192851333547304,0.053829461938553605,84.704432889403
ETTh2,dct,336,720,16,16,0.465607730811645,0.09152334941451179,80.34324961594415
