dataset,basis,segment_start,segment_end,rank,effective_rank,base_mse,oracle_mse,relative_mse_reduction_pct
ETTh2,dct,0,96,32,7,0.24416221930773754,0.058741642408882896,75.94155124595832
ETTh2,dct,96,192,32,11,0.3282245757519157,0.05025052238635016,84.69020113096852
ETTh2,dct,192,336,32,23,0.35192851333547304,0.044717338351397413,87.29363019563834
ETTh2,dct,336,720,32,32,0.465607730811645,0.07083214139232104,84.78716380657022
ETTh2,dct,0,96,64,7,0.24416221930773754,0.058741642408882896,75.94155124595832
ETTh2,dct,96,192,64,11,0.3282245757519157,0.05025052238635016,84.69020113096852
ETTh2,dct,192,336,64,23,0.35192851333547304,0.044717338351397413,87.29363019563834
ETTh2,dct,336,720,64,64,0.465607730811645,0.04775336576346103,89.74386321287716
ETTm1,learned_a6,0,96,8,8,0.27276552768514106,0.11691954396350115,57.13551307023525
ETTm1,learned_a6,96,192,8,8,0.3455267681703362,0.10489041325826966,69.64333217547959
ETTm1,learned_a6,192,336,8,8,0.3973090603853243,0.16081665368183035,59.523537287102215
ETTm1,learned_a6,336,720,8,8,0.46212949444258816,0.23781201748676276,48.53996112634899
ETTm1,learned_a6,0,96,16,16,0.27276552768514106,0.10078978371111968,63.04892903202071
ETTm1,learned_a6,96,192,16,16,0.3455267681703362,0.08857272318029205,74.365886715721
ETTm1,learned_a6,192,336,16,16,0.3973090603853243,0.14139039052642016,64.41299617247722
ETTm1,learned_a6,336,720,16,16,0.46212949444258816,0.22717017999522293,50.84274370558597
ETTm1,learned_a6,0,96,32,32,0.27276552768514106,0.0585323655202852,78.54114263740456
ETTm1,learned_a6,96,192,32,32,0.3455267681703362,0.05417856975835327,84.3200079561869
ETTm1,learned_a6,192,336,32,32,0.3973090603853243,0.11032784755105238,72.2312278899322
ETTm1,learned_a6,336,720,32,32,0.46212949444258816,0.20296812477831738,56.0798158916185
ETTm1,learned_a6,0,96,64,64,0.27276552768514106,0.02172707185493034,92.03452428929717
ETTm1,learned_a6,96,192,64,64,0.3455267681703362,0.019494786527550684,94.35795188002909
ETTm1,learned_a6,192,336,64,64,0.3973090603853243,0.06537538589183323,83.5454580803091
ETTm1,learned_a6,336,720,64,64,0.46212949444258816,0.17369685082760727,62.41381411132023
ETTm1,dct,0,96,8,7,0.27276552768514106,0.04987984854891917,81.71328724262528
ETTm1,dct,96,192,8,8,0.3455267681703362,0.045133649938811735,86.93772694433852
ETTm1,dct,192,336,8,8,0.3973090603853243,0.07273807805760654,81.6923183208904
ETTm1,dct,336,720,8,8,0.46212949444258816,0.248021628601255,46.33070782456463
ETTm1,dct,0,96,16,7,0.27276552768514106,0.04987984854891917,81.71328724262528
ETTm1,dct,96,192,16,11,0.3455267681703362,0.035539772842675815,89.71432140239983
ETTm1,dct,192,336,16,16,0.3973090603853243,0.03647873936321261,90.8185483291435
ETTm1,dct,336,720,16,16,0.46212949444258816,0.10578018826895311,77.11027113806203
ETTm1,dct,0,96,32,7,0.27276552768514106,0.04987984854891917,81.71328724262528
ETTm1,dct,96,192,32,11,0.3455267681703362,0.035539772842675815,89.71432140239983
ETTm1,dct,192,336,32,23,0.3973090603853243,0.03036930403683371,92.35625182889599
ETTm1,dct,336,720,32,32,0.46212949444258816,0.047691714360020204,89.68001070402462
ETTm1,dct,0,96,64,7,0.27276552768514106,0.04987984854891917,81.71328724262528
ETTm1,dct,96,192,64,11,0.3455267681703362,0.035539772842675815,89.71432140239983
ETTm1,dct,192,336,64,23,0.3973090603853243,0.03036930403683371,92.35625182889599
ETTm1,dct,336,720,64,64,0.46212949444258816,0.02967944500003619,93.57767782473287
Weather,learned_a6,0,96,8,8,0.1413681845355211,0.13745967523808827,2.7647729298318713
Weather,learned_a6,96,192,8,8,0.2234324742130218,0.21196515120314785,5.132343921922886
Weather,learned_a6,192,336,8,8,0.2973167133465344,0.28281047606743004,4.879052077437945
Weather,learned_a6,336,720,8,8,0.36551698260971816,0.24293588201556346,33.53636258401734
Weather,learned_a6,0,96,16,16,0.1413681845355211,0.13168958919956458,6.846374499153746
Weather,learned_a6,96,192,16,16,0.2234324742130218,0.20146960211368886,9.829758264411195
Weather,learned_a6,192,336,16,16,0.2973167133465344,0.2604975502878554,12.383818805290247
Weather,learned_a6,336,720,16,16,0.36551698260971816,0.2208028524415156,39.59162967886543
Weather,learned_a6,0,96,32,32,0.1413681845355211,0.11975807848855939,15.286399919447089
Weather,learned_a6,96,192,32,32,0.2234324742130218,0.17495984358852237,21.694532451126737
Weather,learned_a6,192,336,32,32,0.2973167133465344,0.21492076448647984,27.713191072450343
Weather,learned_a6,336,720,32,32,0.36551698260971816,0.16087081378151566,55.98814242968132
Weather,learned_a6,0,96,64,64,0.1413681845355211,0.0832056375049247,41.14260024042546
Weather,learned_a6,96,192,64,64,0.2234324742130218,0.10517654112584528,52.92692277776534
Weather,learned_a6,192,336,64,64,0.2973167133465344,0.1260865833269693,57.59182795081877
Weather,learned_a6,336,720,64,64,0.36551698260971816,0.12206373128720731,66.60518194922253
Weather,dct,0,96,8,7,0.1413681845355211,0.03623012423178579,74.37179776282522
Weather,dct,96,192,8,8,0.2234324742130218,0.03352011534670147,84.99765288606025
Weather,dct,192,336,8,8,0.2973167133465344,0.04077085736812334,86.28706172982503
Weather,dct,336,720,8,8,0.36551698260971816,0.06395956627835397,82.50161570559719
Weather,dct,0,96,16,7,0.1413681845355211,0.03623012423178579,74.37179776282522
Weather,dct,96,192,16,11,0.2234324742130218,0.028533290574157853,87.22956872108301
Weather,dct,192,336,16,16,0.2973167133465344,0.028998118335023578,90.24672444121057
Weather,dct,336,720,16,16,0.36551698260971816,0.046470784958947374,87.28628568031087
Weather,dct,0,96,32,7,0.1413681845355211,0.03623012423178579,74.37179776282522
Weather,dct,96,192,32,11,0.2234324742130218,0.028533290574157853,87.22956872108301
Weather,dct,192,336,32,23,0.2973167133465344,0.024736506157017613,91.68008219968911
Weather,dct,336,720,32,32,0.36551698260971816,0.0342173725226193,90.63863673903356
Weather,dct,0,96,64,7,0.1413681845355211,0.03623012423178579,74.37179776282522
Weather,dct,96,192,64,11,0.2234324742130218,0.028533290574157853,87.22956872108301
Weather,dct,192,336,64,23,0.2973167133465344,0.024736506157017613,91.68008219968911
Weather,dct,336,720,64,64,0.36551698260971816,0.02465208357229261,93.25555726678371
