dataset,horizon,scope,residual_base_mae_ratio,residual_energy,residual_second_diff_smoothness,error_process_state_norm,segment_state_cosine,base_prediction_mse,final_prediction_mse,residual_gain_mse_pct,prediction_decomposition_max_abs
ETTh2,96,all,0.0007875245646573603,1.1580596947169397e-05,3.090625614277087e-05,2.4326510429382324,0.8334343433380127,0.31749147176742554,0.31762751936912537,0.042850789012405244,9.5367431640625e-07
ETTh2,96,1-96,0.0007875245646573603,1.1580596947169397e-05,3.090625614277087e-05,2.4326510429382324,0.8334343433380127,0.31749147176742554,0.31762751936912537,0.042850789012405244,9.5367431640625e-07
ETTh2,192,all,0.0011878891382366419,2.6348285246058367e-05,5.823372703162022e-05,2.940121650695801,0.8926317691802979,0.39399975538253784,0.3943183422088623,0.08085965053818978,4.76837158203125e-07
ETTh2,192,1-96,0.0007792975520715117,1.1713163075910416e-05,3.1094925361685455e-05,2.4403271675109863,0.8377777338027954,0.3155159652233124,0.31564801931381226,0.04185337797597555,4.76837158203125e-07
ETTh2,192,97-192,0.001604451215825975,4.098340650671162e-05,8.58246858115308e-05,3.4399161338806152,0.9576007127761841,0.4724835157394409,0.47298863530158997,0.10690734053599993,4.76837158203125e-07
ETTh2,336,all,0.0014198231510818005,3.961582842748612e-05,8.394104952458292e-05,3.4975502490997314,0.9438520073890686,0.3924531042575836,0.3926992416381836,0.06271765388758954,9.5367431640625e-07
ETTh2,336,1-96,0.0007730785291641951,1.1889788765984122e-05,3.1436269637197256e-05,2.450063467025757,0.8437343239784241,0.2791760563850403,0.27927571535110474,0.035697533074485754,9.5367431640625e-07
ETTh2,336,97-192,0.0015996552538126707,4.1994739149231464e-05,8.756974420975894e-05,3.4585158824920654,0.9581857919692993,0.4072815179824829,0.40769118070602417,0.10058465814251072,4.76837158203125e-07
ETTh2,336,193-336,0.0017305979272350669,5.651391256833449e-05,0.0001173333585029468,4.221898078918457,0.9938452839851379,0.45808565616607666,0.45832037925720215,0.05123999997938,4.76837158203125e-07
ETTh2,720,all,0.001725927460938692,6.050301089999266e-05,0.0001221224811160937,4.253132343292236,0.9758173823356628,0.4224013686180115,0.4226839244365692,0.0668927324931623,9.5367431640625e-07
ETTh2,720,1-96,0.0007440570625476539,1.2447739209164865e-05,3.2617321267025545e-05,2.4634010791778564,0.8583908677101135,0.2560310661792755,0.2561163604259491,0.03331402198416544,9.5367431640625e-07
ETTh2,720,97-192,0.0015568245435133576,4.4881955545861274e-05,9.311926260124892e-05,3.517573595046997,0.9612094163894653,0.3607426881790161,0.36109858751296997,0.09865739337626689,4.76837158203125e-07
ETTh2,720,193-336,0.0017078870441764593,6.132936687208712e-05,0.00012584199430420995,4.29755163192749,0.9944366812705994,0.38093551993370056,0.3811967372894287,0.06857259065076171,4.76837158203125e-07
ETTh2,720,337-720,0.002010793425142765,7.611221371917054e-05,0.00015088828513398767,4.8677978515625,0.9959018230438232,0.4949582815170288,0.49527981877326965,0.06496249628447082,4.76837158203125e-07
ETTm1,96,all,0.003142615780234337,2.2913467546459287e-05,0.00011695374269038439,2.1925690174102783,0.7250208258628845,0.29759112000465393,0.29757294058799744,-0.00610885756809898,9.5367431640625e-07
ETTm1,96,1-96,0.003142615780234337,2.2913467546459287e-05,0.00011695374269038439,2.1925690174102783,0.7250208258628845,0.29759112000465393,0.29757294058799744,-0.00610885756809898,9.5367431640625e-07
ETTm1,192,all,0.004959585145115852,6.434622628148645e-05,0.00023572079953737557,2.644106388092041,0.7873390913009644,0.3258570730686188,0.3258083760738373,-0.014944280731044035,9.5367431640625e-07
ETTm1,192,1-96,0.0031485194340348244,2.29656452575e-05,0.00011721072951331735,2.193881034851074,0.7254830002784729,0.29724422097206116,0.2972261905670166,-0.006065855876191684,9.5367431640625e-07
ETTm1,192,97-192,0.006857036147266626,0.00010572679457254708,0.000357730605173856,3.094331741333008,0.8958815336227417,0.35446983575820923,0.35439053177833557,-0.022372561181061013,9.5367431640625e-07
ETTm1,336,all,0.005965144373476505,8.47308401716873e-05,0.00030018563847988844,3.001893997192383,0.8513163328170776,0.3556869924068451,0.3556285500526428,-0.01643083847587823,9.5367431640625e-07
ETTm1,336,1-96,0.003156578866764903,2.3034936020849273e-05,0.00011753693979699165,2.1956946849823,0.7261477708816528,0.2941427230834961,0.2941249907016754,-0.006028496178556164,9.5367431640625e-07
ETTm1,336,97-192,0.0068665677681565285,0.00010572744940873235,0.0003578045580070466,3.097276210784912,0.8960791230201721,0.3511672019958496,0.35108813643455505,-0.02251507596522373,4.76837158203125e-07
ETTm1,336,193-336,0.007342941127717495,0.00011186370102223009,0.00038999589742161334,3.4757726192474365,0.9231299757957458,0.3997296690940857,0.39965784549713135,-0.01796804278174635,9.5367431640625e-07
ETTm1,720,all,0.005930490326136351,8.053684723563492e-05,0.00028239688253961504,3.2583422660827637,0.9007357954978943,0.409023255109787,0.4089679419994354,-0.013523219196076575,9.5367431640625e-07
ETTm1,720,1-96,0.0031469850800931454,2.3105336367734708e-05,0.00011790880671469495,2.197690486907959,0.726893961429596,0.281908243894577,0.28188854455947876,-0.006987853858408943,9.5367431640625e-07
ETTm1,720,97-192,0.006838101893663406,0.00010561557428445667,0.00035762679181061685,3.099327564239502,0.8961459398269653,0.34595879912376404,0.34587255120277405,-0.024930113703758305,4.76837158203125e-07
ETTm1,720,193-336,0.007313242647796869,0.00011180111323483288,0.00038992418558336794,3.477760076522827,0.9231225252151489,0.3970491290092468,0.39696699380874634,-0.020686407675851726,7.152557373046875e-07
ETTm1,720,337-720,0.005920687690377235,7.690094207646325e-05,0.0002674252027645707,3.4809772968292236,0.9375826120376587,0.4610583484172821,0.46101197600364685,-0.010057819101272347,4.76837158203125e-07
Weather,96,all,0.0025330784264951944,3.770688999793492e-05,0.00017840003420133144,2.5508382320404053,0.7904263734817505,0.14917738735675812,0.14918281137943268,0.003635954329683777,9.5367431640625e-07
Weather,96,1-96,0.0025330784264951944,3.770688999793492e-05,0.00017840003420133144,2.5508382320404053,0.7904263734817505,0.14917738735675812,0.14918281137943268,0.003635954329683777,9.5367431640625e-07
Weather,192,all,0.00296718068420887,5.1323491788934916e-05,0.00023176307149697095,2.7471983432769775,0.6807704567909241,0.19328859448432922,0.19328615069389343,-0.0012643226271591423,9.5367431640625e-07
Weather,192,1-96,0.002540546702221036,3.772449417738244e-05,0.00017848730203695595,2.5510542392730713,0.7905527353286743,0.15016020834445953,0.150165393948555,0.0034533803279890307,9.5367431640625e-07
Weather,192,97-192,0.0034064690116792917,6.492248212452978e-05,0.0002895459474530071,2.943342447280884,0.6180973649024963,0.2364169806241989,0.23640689253807068,-0.004267073837738167,4.76837158203125e-07
Weather,336,all,0.003035253146663308,5.2416504331631586e-05,0.0002525902818888426,2.876300096511841,0.7193215489387512,0.2455575168132782,0.24555152654647827,-0.002439456090630454,9.5367431640625e-07
Weather,336,1-96,0.0025490038096904755,3.773421121877618e-05,0.000178556379978545,2.5519585609436035,0.7907814979553223,0.1514107584953308,0.15141645073890686,0.0037594703524268525,9.5367431640625e-07
Weather,336,97-192,0.0034230060409754515,6.494831905001774e-05,0.0002896746445912868,2.944772481918335,0.6180440783500671,0.23785758018493652,0.23784787952899933,-0.004078346769365027,4.76837158203125e-07
Weather,336,193-336,0.003111880272626877,5.3850151743972674e-05,0.00027775022317655385,3.046879291534424,0.7186789512634277,0.3134552538394928,0.3134439289569855,-0.003612918708029156,4.76837158203125e-07
Weather,720,all,0.003062529256567359,5.165572656551376e-05,0.0002813501632772386,3.0917608737945557,0.7943447828292847,0.321563720703125,0.3215521275997162,-0.0036052277238907138,4.76837158203125e-07
Weather,720,1-96,0.0025756494142115116,3.764837674680166e-05,0.00017814463353715837,2.5500659942626953,0.7903742790222168,0.14854632318019867,0.14854933321475983,0.002026326533499656,4.76837158203125e-07
