dataset,horizon,candidate_mse,candidate_mae,r3_mse,r3_mae,relative_mse_vs_r3_pct,relative_mae_vs_r3_pct,candidate_wins_mse_vs_r3,candidate_wins_mae_vs_r3
ETTh2,96,0.31762751936912537,0.3633808493614197,0.30479592084884644,0.35886070132255554,4.209898375458354,1.2595829028381855,False,False
ETTh2,192,0.3943183422088623,0.4089395999908447,0.3690433204174042,0.4003613591194153,6.848795356293391,2.1426245755327367,False,False
ETTh2,336,0.3926992416381836,0.4185689389705658,0.3829101622104645,0.41559359431266785,2.5564950721622903,0.7159264961286826,False,False
ETTh2,720,0.4226839244365692,0.44564658403396606,0.41047340631484985,0.43929871916770935,2.9747403690151275,1.4449996299291001,False,False
ETTm1,96,0.29757294058799744,0.35027390718460083,0.2986849546432495,0.35228273272514343,-0.37230333766904433,-0.5702310541884859,True,True
ETTm1,192,0.3258083760738373,0.3699788451194763,0.32966214418411255,0.3730504512786865,-1.1690053523776722,-0.8233755377273555,True,True
ETTm1,336,0.3556285500526428,0.38859373331069946,0.36072883009910583,0.3924419581890106,-1.4138820135506713,-0.9805844655524143,True,True
ETTm1,720,0.4089679419994354,0.4190102219581604,0.41729286313056946,0.4242476224899292,-1.9949828685493665,-1.2345149988184367,True,True
Weather,96,0.14918281137943268,0.19883133471012115,0.14802636206150055,0.19702932238578796,0.7812455172354182,0.9145909362692883,False,False
Weather,192,0.19328615069389343,0.24121513962745667,0.19240911304950714,0.23990498483181,0.4558191815793089,0.546114036173595,False,False
Weather,336,0.24555152654647827,0.2820034325122833,0.24479345977306366,0.28043317794799805,0.30967607309335676,0.5599389400980481,False,False
Weather,720,0.3215521275997162,0.3350255787372589,0.3208470046520233,0.3337559103965759,0.21976921631468027,0.38041823414431963,False,False
