dataset,segment,candidate_mse,r3_mse,relative_mse_vs_r3_pct,candidate_wins_mse_vs_r3,is_focus_region
ETTh2,1-96,0.2561163604259491,0.2497519701719284,2.548284303679149,False,False
ETTh2,97-192,0.36109858751296997,0.33811911940574646,6.79626403487934,False,False
ETTh2,193-336,0.3811967372894287,0.36967068910598755,3.1179232011376845,False,True
ETTh2,337-720,0.49527981877326965,0.4840433597564697,2.3213744781982237,False,True
ETTm1,1-96,0.28188854455947876,0.2841739356517792,-0.8042226276166575,True,False
ETTm1,97-192,0.34587255120277405,0.3520488142967224,-1.75437690545458,True,False
ETTm1,193-336,0.39696699380874634,0.40565091371536255,-2.1407371740100545,True,False
ETTm1,337-720,0.46101197600364685,0.4712492525577545,-2.172369823091236,True,True
Weather,1-96,0.14854933321475983,0.14746259152889252,0.736960929955166,False,True
Weather,97-192,0.2332002818584442,0.2326873242855072,0.22044929800628665,False,False
Weather,193-336,0.3131227493286133,0.3130928874015808,0.009537721307029123,False,False
Weather,337-720,0.39005178213119507,0.3891408443450928,0.23408948182639389,False,False
