segment_a,segment_b,cosine
0,1,0.054586198180913925
0,2,-0.003994222264736891
0,3,0.03575531765818596
0,4,0.040529392659664154
0,5,0.10221255570650101
0,6,0.06600598990917206
0,7,0.02537621185183525
0,8,0.09679561853408813
0,9,0.1228388324379921
0,10,0.11059501767158508
0,11,-0.008083156310021877
0,12,-0.004895201418548822
0,13,-0.10435944050550461
0,14,-0.13055145740509033
1,2,0.1354294866323471
1,3,0.036132022738456726
1,4,0.04695836454629898
1,5,-0.027510324493050575
1,6,-0.029291078448295593
1,7,-0.10033532977104187
1,8,0.056540511548519135
1,9,-0.15679368376731873
1,10,0.14985522627830505
1,11,0.008295278064906597
1,12,0.10593713819980621
1,13,-0.17083096504211426
1,14,0.06841039657592773
2,3,-0.033010903745889664
2,4,0.05644120275974274
2,5,0.07149109244346619
2,6,0.04163559153676033
2,7,-0.00887681171298027
2,8,0.12525251507759094
2,9,-0.005320694297552109
2,10,0.19643819332122803
2,11,0.08722623437643051
2,12,0.003878544317558408
2,13,0.07188720256090164
2,14,0.09616269916296005
3,4,-0.05127125233411789
3,5,0.04108436033129692
3,6,0.0005069627659395337
3,7,-0.0533476397395134
3,8,0.10356153547763824
3,9,0.008088077418506145
3,10,0.053755927830934525
3,11,0.054317280650138855
3,12,0.00795096717774868
3,13,-0.05562173202633858
3,14,0.11937781423330307
4,5,-0.09885503351688385
4,6,0.10310187190771103
4,7,0.15159717202186584
4,8,-0.01490167248994112
4,9,0.13004091382026672
4,10,0.09456761926412582
4,11,-0.00938351545482874
4,12,-0.004087268840521574
4,13,0.010332523845136166
4,14,0.0770125538110733
5,6,0.02280815877020359
5,7,0.03501641005277634
5,8,0.09997288882732391
5,9,0.0751795694231987
5,10,0.04693743959069252
5,11,0.15624335408210754
5,12,0.24309644103050232
5,13,0.09839216619729996
5,14,-0.044696878641843796
6,7,0.04890855401754379
6,8,0.07507525384426117
6,9,0.12039602547883987
6,10,0.059417396783828735
6,11,0.08537740260362625
6,12,0.15432383120059967
6,13,0.0755452886223793
6,14,0.2686692774295807
7,8,0.12559936940670013
7,9,0.25387564301490784
7,10,0.08565331995487213
7,11,0.09877822548151016
7,12,-0.13962943851947784
7,13,-0.05346693843603134
7,14,0.004251041915267706
8,9,0.20625898241996765
8,10,0.06606382876634598
8,11,0.03819022700190544
8,12,0.2091837227344513
8,13,0.09389909356832504
8,14,0.08845102787017822
9,10,0.15838658809661865
9,11,0.10852526873350143
9,12,0.09653845429420471
9,13,0.03958457335829735
9,14,0.022369511425495148
10,11,0.006517407484352589
10,12,-0.01329014915972948
10,13,0.028789013624191284
10,14,0.048808448016643524
11,12,0.14964887499809265
11,13,0.17474207282066345
11,14,0.043943583965301514
12,13,0.17948272824287415
12,14,-0.03637610748410225
13,14,0.045112572610378265
