dataset,trial_id,profile_id,validation_mean_mse_4h,test_mean_mse_4h,test_mean_mae_4h,trainable_parameters,complete
ETTh1,ETTh1__h2_lr5e4,h2_lr5e4,1.1590294929361709,,,4702249,True
ETTh1,ETTh1__h2_capacity128,h2_capacity128,1.141997665114006,,,9306729,True
ETTh1,ETTh1__h2_lookback336,h2_lookback336,1.1060443441300387,,,4701225,True
ETTh2,ETTh2__h2_lr5e4,h2_lr5e4,0.4197374176019655,,,2570133,True
ETTh2,ETTh2__h2_patch48,h2_patch48,0.41392516164859344,,,9645141,True
ETTh2,ETTh2__h2_lookback336,h2_lookback336,0.39331021705043634,,,2568085,True
ETTm1,ETTm1__h2_table5_capacity,h2_table5_capacity,0.6012380249348805,,,791381,True
ETTm1,ETTm1__h2_dropout5,h2_dropout5,0.5998322994638112,,,1408725,True
ETTm1,ETTm1__h2_lookback336,h2_lookback336,0.6052928430358565,,,1310421,True
ETTm2,ETTm2__h2_dropout5,h2_dropout5,0.18348483807030355,,,4644685,True
ETTm2,ETTm2__h2_hybrid,h2_hybrid,0.18275839605184813,,,4644685,True
ETTm2,ETTm2__h2_lookback336,h2_lookback336,0.18186685068542988,,,9015629,True
Weather,Weather__h2_table5_ff,h2_table5_ff,0.4892320744886381,,,19181781,True
Weather,Weather__h2_capacity128,h2_capacity128,0.4825102906910673,,,5032277,True
Weather,Weather__h2_lookback336,h2_lookback336,0.5056219329819127,,,2568085,True
ECL,ECL__h2_dropout3,h2_dropout3,0.13168569385219137,,,5706565,True
ECL,ECL__h2_intermediate_capacity,h2_intermediate_capacity,0.13308425998418696,,,1853509,True
ECL,ECL__h2_lookback336,h2_lookback336,0.1355710560752962,,,5509957,True
Solar,Solar__h2_dropout1,h2_dropout1,0.13060739479176212,,,1487685,True
Solar,Solar__h2_ff512,h2_ff512,0.13169045680268837,,,1750341,True
Solar,Solar__h2_lookback336,h2_lookback336,0.13792264045530048,,,1389381,True
Exchange,Exchange__h2_lr5e5,h2_lr5e5,0.7114293999851234,,,5313669,True
Exchange,Exchange__h2_dropout3,h2_dropout3,0.8338059814671787,,,5313669,True
Exchange,Exchange__h2_lookback336,h2_lookback336,0.7142016496495108,,,5312645,True
