dataset,correction_parameters,ordered_ccsf_parameters,independent_ccsf_parameters,relative_gap,threshold,pass
Weather,2881,1974454,1982022,0.003832958377353942,0.005,True
ETTm1,2881,1974454,1982022,0.003832958377353942,0.005,True
ETTm2,2881,6766774,6772030,0.000776736447825803,0.005,True
ETTh1,2881,3571894,3563098,0.0024625590793007856,0.005,True
ETTh2,2881,1974454,1982022,0.003832958377353942,0.005,True
