dataset,horizon,candidate_mse,candidate_mae,uniform_mse,uniform_mae,relative_mse_vs_uniform_pct,relative_mae_vs_uniform_pct,candidate_wins_mse_vs_uniform,candidate_wins_mae_vs_uniform
ETTh2,96,0.3085342347621918,0.3665304183959961,0.3089098036289215,0.36455273628234863,-0.12157881113442626,0.5424954792043302,True,False
ETTh2,192,0.3629058301448822,0.4008690118789673,0.3691662549972534,0.4034823477268219,-1.6958280361832667,-0.647695212089916,True,True
ETTh2,336,0.3776182532310486,0.41629549860954285,0.38080111145973206,0.417312890291214,-0.8358321792923729,-0.2437958916057359,True,True
ETTh2,720,0.41316670179367065,0.4453102648258209,0.41340693831443787,0.444231241941452,-0.058111390618342806,0.2428966678825084,True,False
ETTm1,96,0.3146989941596985,0.3643660843372345,0.30681994557380676,0.35803118348121643,2.5679714436936285,1.7693712582302012,False,False
ETTm1,192,0.342502236366272,0.38169386982917786,0.3365926444530487,0.3774348795413971,1.7557103551166797,1.1284040025542064,False,False
ETTm1,336,0.36961618065834045,0.39827150106430054,0.3652816712856293,0.39549145102500916,1.1866210963872525,0.7029355582999885,False,False
ETTm1,720,0.4216441512107849,0.42759886384010315,0.4194723963737488,0.42629995942115784,0.517734863082886,0.3046925973694714,False,False
Weather,96,0.1516939103603363,0.2027682214975357,0.15020199120044708,0.19952069222927094,0.993275220897849,1.6276653974982347,False,False
Weather,192,0.1957843005657196,0.24375785887241364,0.19452537596225739,0.241441011428833,0.6471775711701877,0.9595915084474216,False,False
Weather,336,0.2484484314918518,0.2835198938846588,0.24724797904491425,0.2818574905395508,0.4855256862259294,0.5898027907385917,False,False
Weather,720,0.32431384921073914,0.336311399936676,0.32365867495536804,0.3355359435081482,0.20242752815491372,0.23110979420570832,False,False
