dataset,horizon,candidate_mse,candidate_mae,r3_mse,r3_mae,relative_mse_vs_r3_pct,relative_mae_vs_r3_pct,candidate_wins_mse_vs_r3,candidate_wins_mae_vs_r3,is_specialist_gap
ETTh2,96,0.3085342347621918,0.3665304183959961,0.30479592084884644,0.35886070132255554,1.2264973569640514,2.137240730226053,False,False,False
ETTh2,192,0.3629058301448822,0.4008690118789673,0.3690433204174042,0.4003613591194153,-1.6630812517024252,0.12679864027551613,True,False,False
ETTh2,336,0.3776182532310486,0.41629549860954285,0.3829101622104645,0.41559359431266785,-1.3820236446237866,0.1688919912338438,True,False,False
ETTh2,720,0.41316670179367065,0.4453102648258209,0.41047340631484985,0.43929871916770935,0.6561437202474707,1.3684414262579603,False,False,True
ETTm1,96,0.3146989941596985,0.3643660843372345,0.2986849546432495,0.35228273272514343,5.361515291446861,3.4300152944250817,False,False,True
ETTm1,192,0.342502236366272,0.38169386982917786,0.32966214418411255,0.3730504512786865,3.894924670206712,2.316957001623976,False,False,False
ETTm1,336,0.36961618065834045,0.39827150106430054,0.36072883009910583,0.3924419581890106,2.463720617171883,1.4854535183218776,False,False,False
ETTm1,720,0.4216441512107849,0.42759886384010315,0.41729286313056946,0.4242476224899292,1.0427420319560898,0.7899257821423644,False,False,True
Weather,96,0.1516939103603363,0.2027682214975357,0.14802636206150055,0.19702932238578796,2.4776318540558284,2.912713215604956,False,False,True
Weather,192,0.1957843005657196,0.24375785887241364,0.19240911304950714,0.23990498483181,1.754172379217822,1.6059999934160407,False,False,False
Weather,336,0.2484484314918518,0.2835198938846588,0.24479345977306366,0.28043317794799805,1.4930838929179346,1.1006957020018415,False,False,False
Weather,720,0.32431384921073914,0.336311399936676,0.3208470046520233,0.3337559103965759,1.0805288840005867,0.7656761904421661,False,False,False
