dataset,horizon,candidate_mse,candidate_mae,fixed_mse,fixed_mae,relative_mse_vs_fixed_pct,relative_mae_vs_fixed_pct,candidate_wins_mse_vs_fixed,candidate_wins_mae_vs_fixed
ETTh2,96,0.3085342347621918,0.3665304183959961,0.3074484169483185,0.36609065532684326,0.353170728491925,0.12012409023667292,False,False
ETTh2,192,0.3629058301448822,0.4008690118789673,0.37734004855155945,0.4069473147392273,-3.8252548230922723,-1.493633853845433,True,True
ETTh2,336,0.3776182532310486,0.41629549860954285,0.3841150403022766,0.4212876260280609,-1.6913649270581588,-1.1849689167432453,True,True
ETTh2,720,0.41316670179367065,0.4453102648258209,0.4074031412601471,0.4438471794128418,1.4147069449921723,0.32963719965837246,False,False
ETTm1,96,0.3146989941596985,0.3643660843372345,0.29047533869743347,0.3442326486110687,8.339315678532344,5.84878738475314,False,False
ETTm1,192,0.342502236366272,0.38169386982917786,0.3377011716365814,0.3733891248703003,1.4216902791374553,2.2241528758402573,False,False
ETTm1,336,0.36961618065834045,0.39827150106430054,0.361540287733078,0.3907651901245117,2.233746334578579,1.9209262056830267,False,False
ETTm1,720,0.4216441512107849,0.42759886384010315,0.412788063287735,0.42070141434669495,2.1454321746888327,1.639511838608687,False,False
Weather,96,0.1516939103603363,0.2027682214975357,0.14708691835403442,0.1950538456439972,3.1321561821106236,3.9549980817186414,False,False
Weather,192,0.1957843005657196,0.24375785887241364,0.19520847499370575,0.24188493192195892,0.29497980148269765,0.7743049290308779,False,False
Weather,336,0.2484484314918518,0.2835198938846588,0.25078684091567993,0.28711846470832825,-0.932429076138952,-1.2533400898911418,True,True
Weather,720,0.32431384921073914,0.336311399936676,0.32312721014022827,0.33546921610832214,0.36723588520939376,0.25104653062471005,False,False
