dataset,segment,candidate_mse,r3_mse,relative_mse_vs_r3_pct,candidate_wins_mse_vs_r3,is_stability_region
ETTh2,1-96,0.25138571858406067,0.2497519701719284,0.6541483580720486,False,False
ETTh2,97-192,0.33292335271835327,0.33811911940574646,-1.5366675201700764,True,False
ETTh2,193-336,0.36705005168914795,0.36967068910598755,-0.7089113348903497,True,True
ETTh2,337-720,0.4909665584564209,0.4840433597564697,1.4302848206479535,False,True
ETTm1,1-96,0.3020605444908142,0.2841739356517792,6.294246795720526,False,False
ETTm1,97-192,0.36254608631134033,0.3520488142967224,2.9817660472988727,False,False
ETTm1,193-336,0.41038045287132263,0.40565091371536255,1.1659135961613387,False,False
ETTm1,337-720,0.47053855657577515,0.4712492525577545,-0.15081105765621938,True,True
Weather,1-96,0.1505371630191803,0.14746259152889252,2.0849840345341875,False,False
Weather,97-192,0.2346375584602356,0.2326873242855072,0.8381351157467742,False,False
Weather,193-336,0.31583070755004883,0.3130928874015808,0.8744434187533789,False,False
Weather,337-720,0.3933582305908203,0.3891408443450928,1.0837685909905526,False,True
