dataset,short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
ETTh2,96,720,1.3200152132648597e-14,6.307490707513352e-08,0.0
ETTh2,192,720,1.225953305615101e-14,6.041342004436956e-08,0.0
ETTh2,336,720,8.42424749208058e-15,4.434370382000452e-08,0.0
ETTm1,96,720,5.2042527595328944e-14,1.3069806925614103e-07,0.0
ETTm1,192,720,4.9947452586667634e-14,1.2771553770107857e-07,0.0
ETTm1,336,720,3.200823327632711e-14,9.481291840529593e-08,0.0
Weather,96,720,1.0320535726482567e-14,5.706770167535069e-08,0.0
Weather,192,720,0.0,0.0,0.0
Weather,336,720,0.0,0.0,0.0
