epoch,train_loss,train_prediction_loss,train_future_local_alignment_loss,train_future_relation_alignment_loss,train_future_reconstruction_loss,train_future_raw_reconstruction_loss,train_future_normalized_reconstruction_loss,train_future_alignment_confidence_mean,train_error_energy_loss,train_error_smoothness_loss,val_mean_mse,epoch_elapsed_sec,elapsed_sec,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.5022163042407631,0.5022163042407631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5287123173475266,173.62170117010828,173.621706712991,286,277,295,271,0.4131273627281189,0.28295883536338806,0.4761514663696289,0.33079349994659424,0.5571736693382263,0.38428425788879395,0.6683967709541321,0.4482322037220001
2,0.45433429660947056,0.45433429660947056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5571651831269264,173.36302231997252,346.989297252032,283,252,273,321,0.43945422768592834,0.29647427797317505,0.5033578872680664,0.3449815511703491,0.5894749760627747,0.3989180326461792,0.6963736414909363,0.46088674664497375
3,0.4122638611586565,0.4122638611586565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5682922601699829,173.2005049989093,520.190481571015,269,308,274,278,0.4414321184158325,0.3005310297012329,0.5120941400527954,0.3531852066516876,0.605855405330658,0.4098351001739502,0.7137873768806458,0.4714052081108093
4,0.38552457271053053,0.38552457271053053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5852305889129639,172.94800356798805,693.1391396970721,261,307,286,275,0.4472770094871521,0.3037117123603821,0.5286757946014404,0.3590950667858124,0.6291647553443909,0.41779476404190063,0.7358047962188721,0.4802708625793457
5,0.3649199910798466,0.3649199910798466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6014841720461845,172.07479520700872,865.2155332290567,282,288,287,272,0.4607596695423126,0.3139433264732361,0.5470411777496338,0.3714880049228668,0.6487856507301331,0.4300571382045746,0.7493501901626587,0.4894534945487976
6,0.35157347934450905,0.35157347934450905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6117974370718002,171.2552756810328,1036.471466536983,260,302,282,285,0.4644140601158142,0.314016193151474,0.5534629225730896,0.37374523282051086,0.6597312092781067,0.4341430962085724,0.7695815563201904,0.4989943504333496
7,0.34065320004236394,0.34065320004236394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61468356102705,169.8309168430278,1206.3030412839726,267,287,289,286,0.4632151424884796,0.313332736492157,0.5549845099449158,0.37467777729034424,0.6680465340614319,0.4382716715335846,0.7724880576133728,0.5019649863243103
8,0.33274024138944774,0.33274024138944774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6176083534955978,155.95703691092785,1362.2607881100848,287,284,269,289,0.46223294734954834,0.3130786716938019,0.562235414981842,0.37728017568588257,0.6748034954071045,0.43955451250076294,0.7711615562438965,0.4982578456401825
9,0.32431068404043956,0.32431068404043956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6123379394412041,155.36870384705253,1517.6302153220167,276,303,279,271,0.46276578307151794,0.31182995438575745,0.55950927734375,0.3747750222682953,0.6664733290672302,0.43629562854766846,0.7606033682823181,0.4947390556335449
10,0.31483442939494544,0.31483442939494544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6184438616037369,154.98515763599426,1672.6161578759784,311,285,277,256,0.4703648090362549,0.3152151107788086,0.563493013381958,0.37725698947906494,0.672743022441864,0.4393940269947052,0.7671746015548706,0.4975900948047638
11,0.31211628195350416,0.31211628195350416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6209972202777863,155.33846645604353,1827.9554303600453,294,282,281,272,0.47274863719940186,0.3179173469543457,0.5657857656478882,0.37972745299339294,0.675441563129425,0.44163379073143005,0.7700129151344299,0.5002667903900146
