short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,1.0190885475444035e-14,5.6319940711091476e-08,0.0
192,720,0.0,0.0,0.0
336,720,0.0,0.0,0.0
