system,dataset,main_ii_mse,main_i_h720_mse,mse_delta,main_ii_mae,main_i_h720_mae,mae_delta,mse_tolerance,mae_tolerance,numeric_tolerance_rule,exact_required,pass,reference_role
ISCF-BSCA-MAIN-v1,ETTh1,0.45045415910275827,0.45045415910275827,0.0,0.46662598434351565,0.46662598434351565,0.0,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
ISCF-BSCA-MAIN-v1,ETTh2,0.39405488596768706,0.39405488596768706,0.0,0.42976343582293,0.42976343582293,0.0,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
ISCF-BSCA-MAIN-v1,ETTm1,0.4073109251765397,0.4073109251765397,0.0,0.4056298297188275,0.4056298297188275,0.0,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
ISCF-BSCA-MAIN-v1,ETTm2,0.3440692155815435,0.3440692155815435,0.0,0.3718412308467188,0.3718412308467188,0.0,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
ISCF-BSCA-MAIN-v1,Weather,0.30416474674338456,0.30416474674338456,0.0,0.3147720183854933,0.3147720183854933,0.0,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
ISCF-BSCA-MAIN-v1,ECL,0.19666098558669823,0.19666098558669823,0.0,0.28365932758789697,0.28365932758789697,0.0,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
ISCF-BSCA-MAIN-v1,Solar,0.20700046588501658,0.20700046588501658,0.0,0.22124526147340637,0.22124526147340637,0.0,5.960464477539063e-08,5.960464477539063e-08,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
TimeAlign,ETTh1,0.4589570351474607,0.4589570479260551,-1.277859434933859e-08,0.46131452034960285,0.4613145207779275,-4.2832465352304894e-10,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
TimeAlign,ETTh2,0.40597445770895824,0.4059744637666477,-6.0576894611585885e-09,0.43642709509069244,0.43642706974513,2.534556242661523e-08,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
TimeAlign,ETTm1,0.4062431097581435,0.40624309921533697,1.054280651668904e-08,0.405439138169616,0.40543912779539826,1.037421776262093e-08,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
TimeAlign,ETTm2,0.3429375012622404,0.3429375028444661,-1.582225739316101e-09,0.3713850704641027,0.37138505656686094,1.3897241746274602e-08,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
TimeAlign,Weather,0.3073086361568076,0.30730863438608746,1.770720126081926e-09,0.317576510436919,0.317576495397629,1.5039289980034454e-08,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
TimeAlign,ECL,0.1901254733898172,0.19012547761408818,-4.22427098856204e-09,0.2778937604756498,0.27789375096973445,9.505915332663761e-09,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
TimeAlign,Solar,0.20081911921345938,0.20081911921345938,0.0,0.22318663704726432,0.22318663704726432,0.0,5.960464477539063e-08,5.960464477539063e-08,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
QDF,ETTh1,0.4989433100957877,0.4989432990550995,1.104068819701709e-08,0.4928002053705171,0.49280017614364624,2.9226870867926635e-08,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
QDF,ETTh2,0.40693315863609314,0.40693315863609314,0.0,0.43962326645851135,0.43962332606315613,-5.960464477539063e-08,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
