epoch,train_loss,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.33729693050863163,0.6183503866195679,273,257,272,254,0.38525235652923584,0.4174222946166992,0.506714940071106,0.47827062010765076,0.6453657150268555,0.5389248728752136,0.9360685348510742,0.642060399055481
2,0.2799921522594311,0.6642981916666031,265,233,261,297,0.4111260771751404,0.4311763346195221,0.5476210713386536,0.49653786420822144,0.7024535536766052,0.5623924732208252,0.9959920644760132,0.6647692322731018
3,0.2408180172752702,0.7268580496311188,245,286,251,274,0.457101047039032,0.4541284143924713,0.6085781455039978,0.5234041213989258,0.7768311500549316,0.5900424718856812,1.0649218559265137,0.6871246695518494
4,0.21034208251953576,0.7457032427191734,245,296,270,245,0.4920995533466339,0.4695330560207367,0.6270895600318909,0.533632218837738,0.7855552434921265,0.597245991230011,1.0780686140060425,0.695366621017456
5,0.1906303810237935,0.7580821588635445,267,257,267,265,0.49796947836875916,0.47347041964530945,0.6372876763343811,0.538718044757843,0.7990021705627441,0.6026480197906494,1.0980693101882935,0.7033133506774902
6,0.17417753010875348,0.7791480422019958,234,303,268,251,0.5178530812263489,0.48113906383514404,0.6650330424308777,0.5479946136474609,0.821882963180542,0.6099210977554321,1.1118230819702148,0.7081001996994019
7,0.16376144863016,0.7727889269590378,265,256,263,272,0.5062238574028015,0.478308767080307,0.6570925116539001,0.5473341941833496,0.8173791766166687,0.6102308630943298,1.1104601621627808,0.7088419198989868
8,0.15346982126180647,0.7900029867887497,263,268,257,268,0.523228108882904,0.48639270663261414,0.6819663047790527,0.5578242540359497,0.8353463411331177,0.618449330329895,1.1194711923599243,0.7138366103172302
9,0.14487128457139162,0.7998523414134979,264,273,257,262,0.5212615728378296,0.4853690266609192,0.6858677864074707,0.5589956641197205,0.8479218482971191,0.621392548084259,1.1443581581115723,0.7212596535682678
10,0.13671309941899823,0.7909431308507919,267,276,268,245,0.5107585191726685,0.48177048563957214,0.6756123304367065,0.5553420186042786,0.8402208685874939,0.6187279224395752,1.1371808052062988,0.7181060314178467
11,0.13047403959331638,0.7946348488330841,286,267,254,249,0.5207465291023254,0.4851774275302887,0.6868541836738586,0.5591315031051636,0.836426854133606,0.6185944676399231,1.1345118284225464,0.7185707092285156
