short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,5.1126193800462086e-14,1.2882729549801297e-07,0.0
192,720,4.9077668334450084e-14,1.2592637688157993e-07,0.0
336,720,3.221386577086614e-14,9.426687341829165e-08,0.0
