dataset,seed_count,mean_full_vs_rank256_improvement,std_full_vs_rank256_improvement,positive_seeds_full_vs_rank256_improvement,mean_dense_vs_full_improvement,std_dense_vs_full_improvement,positive_seeds_dense_vs_full_improvement,mean_true_vs_dense_improvement,std_true_vs_dense_improvement,positive_seeds_true_vs_dense_improvement,mean_true_vs_random_median_improvement,std_true_vs_random_median_improvement,positive_seeds_true_vs_random_median_improvement,mean_true_vs_random_group_median_improvement,std_true_vs_random_group_median_improvement,positive_seeds_true_vs_random_group_median_improvement,mean_true_vs_random_basis_median_improvement,std_true_vs_random_basis_median_improvement,positive_seeds_true_vs_random_basis_median_improvement,mean_true_vs_dense_mae_improvement,std_true_vs_dense_mae_improvement,positive_seeds_true_vs_dense_mae_improvement,mean_random_controls_beaten,mean_random_group_controls_beaten,mean_random_basis_controls_beaten
ETTh2,3,0.0012877951584160344,0.017079868112925167,2,-0.20678588386945285,0.024688283704138607,0,0.1250110389642262,0.017255214643842467,3,0.01998557258108087,0.013770586019037545,3,-0.010147774575171195,0.007991636555153905,0,0.05107703160089568,0.032526132880427994,3,0.07113772057077246,0.01108826506193231,3,3.0,0.0,3.0
ETTm1,3,-0.008357440306370095,0.0027610967451642695,0,0.011713686370124139,0.0036128498913665322,3,-0.008040333812634878,0.003295525288887294,0,0.005037718884688556,0.0027197553891646926,3,-0.0012628897348523117,0.0031312552804893218,1,0.0060566675825275305,0.0033599883056168647,3,-0.0031696657066501263,0.0018389860235172902,0,4.333333333333333,1.3333333333333333,3.0
Weather,3,-0.009914582062699155,0.0007240033332405775,0,0.001597027842025506,0.0028421127922244826,2,0.004104442825612512,0.0032518826781806538,3,0.008816594535472665,0.0005835901303324746,3,0.004775040156420219,0.0021864104939719954,3,0.01227796885736058,0.0011794701591005426,3,0.009451371909660347,0.005227546233021559,3,6.0,3.0,3.0
