dataset,arm,epochs_ran,best_epoch,last_epoch,best_h720_val_mse,last_h720_val_mse,last_over_best_fraction,stop_triggered,all_finite
ETTh1,pcsd_mcca,8,3,8,1.418093768383066,1.4908791981637477,0.05132624612240777,1,True
ETTh1,siff_equal,9,4,9,1.416766534311076,1.4840035427568687,0.0474580721787643,1,True
ETTh1,siff_pcc,9,4,9,1.4220317565318612,1.484875443039669,0.04419288543954525,1,True
ETTh1,siff_mcca,7,2,7,1.421221778003706,1.4529612330512869,0.022332513854497194,1,True
ETTh1,siff_const_mcca,9,4,9,1.4293255866401726,1.5169886335937512,0.06133175518087719,1,True
ETTh1,siff_permuted_mcca,9,4,9,1.4153658829836382,1.5169151895369093,0.07174774224400671,1,True
ETTh1,pcsd_q1_wide_mcca,8,3,8,1.4172409855036272,1.5405090665858654,0.08697750230419277,1,True
ETTh1,independent_scope_matched_mcca,8,3,8,1.4077147901472118,1.4712894539866181,0.04516160822090809,1,True
ETTh1,dense_siff_matched,6,1,6,1.4606081560254096,1.6490576847559877,0.12902127648210926,1,True
ETTh1,pcsd_pointwise_mcca,8,3,8,1.4248510772155392,1.494065834975077,0.04857683646125199,1,True
ETTh1,pcsd_uniform_balanced_ot,8,3,8,1.4204736127207676,1.4840302161872387,0.04474324823587206,1,True
ETTh2,pcsd_mcca,9,4,9,0.6448194561526179,0.6738997287737827,0.045098317589042924,1,True
ETTh2,siff_equal,8,3,8,0.6234160875798099,0.6734083335743182,0.08019081796330485,1,True
ETTh2,siff_pcc,8,3,8,0.6224291059498985,0.7111964899011785,0.1426144489432426,1,True
ETTh2,siff_mcca,8,3,8,0.6240660653760036,0.7381569493561984,0.18281859936007616,1,True
ETTh2,siff_const_mcca,8,3,8,0.6246790744364261,0.6647605435353601,0.06416329718599068,1,True
ETTh2,siff_permuted_mcca,8,3,8,0.6273950846451852,0.6802285481037365,0.0842108342121144,1,True
ETTh2,pcsd_q1_wide_mcca,7,2,7,0.6355581337896486,0.6951187177250783,0.09371382532749162,1,True
ETTh2,independent_scope_matched_mcca,9,4,9,0.6400120559769372,0.6874743046135539,0.07415836653915608,1,True
ETTh2,dense_siff_matched,6,1,6,0.6987692805317541,0.8220938362284667,0.1764882331445139,1,True
ETTh2,pcsd_pointwise_mcca,9,4,9,0.6470707086846232,0.6867104536129369,0.06126029875296646,1,True
ETTh2,pcsd_uniform_balanced_ot,9,4,9,0.6456744496503638,0.6751891899284803,0.04571148865205821,1,True
ETTm1,pcsd_mcca,9,4,9,0.9457805005419585,0.971003837350549,0.02666933479188538,1,True
ETTm1,siff_equal,8,3,8,0.9488942664323582,0.981875637313351,0.03475768802460566,1,True
ETTm1,siff_pcc,8,3,8,0.9469309467822313,0.9861318049072806,0.04139780018623096,1,True
ETTm1,siff_mcca,8,3,8,0.9474290366905431,0.9883065326656733,0.043145707374474096,1,True
ETTm1,siff_const_mcca,8,3,8,0.9492695892333156,0.9687390451733436,0.02050993328012618,1,True
ETTm1,siff_permuted_mcca,8,3,8,0.951320355044057,0.9738844823143963,0.023718747476284552,1,True
ETTm1,pcsd_q1_wide_mcca,7,2,7,0.9531334302077691,0.9759087407444086,0.023895196427718313,1,True
