effect,omitted_dataset,datasets_included,macro_gain_percent,dataset_wins
architecture_main_effect,none,5,-1.5014923547006167,2
mcca_main_effect,none,5,-0.024975410813933285,2
joint_over_a6,none,5,-0.5620656071321541,4
architecture_main_effect,ETTh1,4,-2.047895323538191,1
mcca_main_effect,ETTh1,4,-0.07478940589717015,1
joint_over_a6,ETTh1,4,-0.7233274372495604,3
architecture_main_effect,ETTh2,4,-2.5295478850411843,1
mcca_main_effect,ETTh2,4,-0.0007004743396363255,2
joint_over_a6,ETTh2,4,-1.6737609946544887,3
architecture_main_effect,ETTm1,4,-1.7152640920257087,2
mcca_main_effect,ETTm1,4,-0.0462501658744105,1
joint_over_a6,ETTm1,4,-1.3352092432649567,3
architecture_main_effect,ETTm2,4,0.5278850002675639,2
mcca_main_effect,ETTm2,4,0.025109887907610873,2
joint_over_a6,ETTm2,4,1.8276513016168838,4
architecture_main_effect,Weather,4,-1.7426394731655637,2
mcca_main_effect,Weather,4,-0.02824689586606033,2
joint_over_a6,Weather,4,-0.9056816621086485,3
