effect,candidate,reference,dataset,horizon_bin,start_horizon,end_horizon,mse_gain_percent,mae_gain_percent
joint_over_a6,siff_mcca,a6,ETTh1,h1_48,1,48,6.460844509952501,2.4434171365577906
joint_over_a6,siff_mcca,a6,ETTh1,h49_96,49,96,2.0799983328633087,-0.0459724195102762
joint_over_a6,siff_mcca,a6,ETTh1,h97_192,97,192,0.7503544645385385,-0.43856233154799806
joint_over_a6,siff_mcca,a6,ETTh1,h193_336,193,336,-0.020432274827664187,-0.6439321777270912
joint_over_a6,siff_mcca,a6,ETTh1,h337_720,337,720,-0.46904534284912813,-0.7949894803674029
joint_over_a6,siff_mcca,a6,ETTh2,h1_48,1,48,18.525751704204897,9.72900546174602
joint_over_a6,siff_mcca,a6,ETTh2,h49_96,49,96,10.871688484622922,5.6064127299900735
joint_over_a6,siff_mcca,a6,ETTh2,h97_192,97,192,6.284199650628397,2.979006405708229
joint_over_a6,siff_mcca,a6,ETTh2,h193_336,193,336,3.2745723751161693,1.202821616453853
joint_over_a6,siff_mcca,a6,ETTh2,h337_720,337,720,2.789254280551634,1.3068130214688334
joint_over_a6,siff_mcca,a6,ETTm1,h1_48,1,48,13.969929772365752,7.99480634073263
joint_over_a6,siff_mcca,a6,ETTm1,h49_96,49,96,6.711199322552385,3.9525656702798617
joint_over_a6,siff_mcca,a6,ETTm1,h97_192,97,192,5.003336886628884,3.1138490082347703
joint_over_a6,siff_mcca,a6,ETTm1,h193_336,193,336,3.216313935093018,2.028302324372222
joint_over_a6,siff_mcca,a6,ETTm1,h337_720,337,720,1.3108434055710938,1.0696118860561987
joint_over_a6,siff_mcca,a6,ETTm2,h1_48,1,48,-124.64146529045964,-62.02266231024467
joint_over_a6,siff_mcca,a6,ETTm2,h49_96,49,96,-51.74575065617395,-28.86606602459083
joint_over_a6,siff_mcca,a6,ETTm2,h97_192,97,192,-25.64216148019185,-15.673517016425386
joint_over_a6,siff_mcca,a6,ETTm2,h193_336,193,336,-10.728263824629991,-7.242364725549177
joint_over_a6,siff_mcca,a6,ETTm2,h337_720,337,720,-1.42268973410149,-2.295072601321957
joint_over_a6,siff_mcca,a6,Weather,h1_48,1,48,4.563408682089342,7.417520069896089
joint_over_a6,siff_mcca,a6,Weather,h49_96,49,96,1.436846365256128,3.770055107721748
joint_over_a6,siff_mcca,a6,Weather,h97_192,97,192,1.5496114977002096,2.305450711282586
joint_over_a6,siff_mcca,a6,Weather,h193_336,193,336,1.2302335401936038,1.1697851829978068
joint_over_a6,siff_mcca,a6,Weather,h337_720,337,720,0.236291787727394,-0.17047713384004126
joint_over_a6,siff_mcca,a6,macro,h1_48,1,48,-16.224306124369427,-6.887582660262428
joint_over_a6,siff_mcca,a6,macro,h49_96,49,96,-6.129203630175842,-3.1166009872218843
joint_over_a6,siff_mcca,a6,macro,h97_192,97,192,-2.410931796139164,-1.5427546445495597
joint_over_a6,siff_mcca,a6,macro,h193_336,193,336,-0.6055152498109728,-0.6970775558904774
joint_over_a6,siff_mcca,a6,macro,h337_720,337,720,0.48893087937990076,-0.1768228616008738
architecture_mcca,siff_mcca,pcsd_mcca,ETTh1,h1_48,1,48,1.4280577966591435,0.09856008272847161
architecture_mcca,siff_mcca,pcsd_mcca,ETTh1,h49_96,49,96,2.7304983628730795,1.742532578967404
architecture_mcca,siff_mcca,pcsd_mcca,ETTh1,h97_192,97,192,2.3580225751265504,1.581244103415358
architecture_mcca,siff_mcca,pcsd_mcca,ETTh1,h193_336,193,336,1.4617392231169757,1.1035718916439285
architecture_mcca,siff_mcca,pcsd_mcca,ETTh1,h337_720,337,720,0.3383232009096959,0.4640906247231458
architecture_mcca,siff_mcca,pcsd_mcca,ETTh2,h1_48,1,48,-0.8417856691805392,1.0222181678967601
architecture_mcca,siff_mcca,pcsd_mcca,ETTh2,h49_96,49,96,-0.013958921550250025,0.9359336205019275
architecture_mcca,siff_mcca,pcsd_mcca,ETTh2,h97_192,97,192,0.6507091386009911,0.9652083000141531
architecture_mcca,siff_mcca,pcsd_mcca,ETTh2,h193_336,193,336,1.792122710138233,1.254382091060413
architecture_mcca,siff_mcca,pcsd_mcca,ETTh2,h337_720,337,720,2.9692691864194765,1.8165262428488371
architecture_mcca,siff_mcca,pcsd_mcca,ETTm1,h1_48,1,48,0.49841631431132294,0.7319151941884483
architecture_mcca,siff_mcca,pcsd_mcca,ETTm1,h49_96,49,96,-2.345123334207355,-0.8578432100862399
architecture_mcca,siff_mcca,pcsd_mcca,ETTm1,h97_192,97,192,0.2820528396276112,0.31197133925103815
architecture_mcca,siff_mcca,pcsd_mcca,ETTm1,h193_336,193,336,-0.4443323679005573,-0.22148160089550117
architecture_mcca,siff_mcca,pcsd_mcca,ETTm1,h337_720,337,720,-0.39765838595122727,-0.3873737933261401
architecture_mcca,siff_mcca,pcsd_mcca,ETTm2,h1_48,1,48,-113.09417765586657,-57.166422628494004
architecture_mcca,siff_mcca,pcsd_mcca,ETTm2,h49_96,49,96,-46.5519713180383,-26.65371998735797
architecture_mcca,siff_mcca,pcsd_mcca,ETTm2,h97_192,97,192,-21.870591016820896,-14.58633342109723
architecture_mcca,siff_mcca,pcsd_mcca,ETTm2,h193_336,193,336,-9.507927353502943,-7.641898027487581
architecture_mcca,siff_mcca,pcsd_mcca,ETTm2,h337_720,337,720,-1.8451711992512054,-3.4010173243312236
architecture_mcca,siff_mcca,pcsd_mcca,Weather,h1_48,1,48,-0.6156518245382658,-1.4098361252318448
architecture_mcca,siff_mcca,pcsd_mcca,Weather,h49_96,49,96,-0.23653103342931026,-0.6313177559374772
architecture_mcca,siff_mcca,pcsd_mcca,Weather,h97_192,97,192,-0.08102074657310165,-0.5468467225582918
architecture_mcca,siff_mcca,pcsd_mcca,Weather,h193_336,193,336,-0.4249601222357624,-0.9300214772281601
architecture_mcca,siff_mcca,pcsd_mcca,Weather,h337_720,337,720,-0.3197091304956601,-0.650449517015117
architecture_mcca,siff_mcca,pcsd_mcca,macro,h1_48,1,48,-22.525028207722983,-11.344713061782434
architecture_mcca,siff_mcca,pcsd_mcca,macro,h49_96,49,96,-9.283417248870427,-5.092882950782471
architecture_mcca,siff_mcca,pcsd_mcca,macro,h97_192,97,192,-3.732165442007769,-2.4549512801949946
architecture_mcca,siff_mcca,pcsd_mcca,macro,h193_336,193,336,-1.4246715820768108,-1.2870894245813802
architecture_mcca,siff_mcca,pcsd_mcca,macro,h337_720,337,720,0.14901073432621592,-0.43164475342009956
ordered_over_constant,siff_mcca,siff_const_mcca,ETTh1,h1_48,1,48,3.4851146764236174,1.8228207907690752
ordered_over_constant,siff_mcca,siff_const_mcca,ETTh1,h49_96,49,96,1.0686596728409103,0.09614922519525226
ordered_over_constant,siff_mcca,siff_const_mcca,ETTh1,h97_192,97,192,2.078330544075524,0.5042982517454719
ordered_over_constant,siff_mcca,siff_const_mcca,ETTh1,h193_336,193,336,2.769671171857513,1.1677741727968094
ordered_over_constant,siff_mcca,siff_const_mcca,ETTh1,h337_720,337,720,1.4516638269554294,0.6093089188535461
ordered_over_constant,siff_mcca,siff_const_mcca,ETTh2,h1_48,1,48,6.077123609521862,3.8948742421543447
ordered_over_constant,siff_mcca,siff_const_mcca,ETTh2,h49_96,49,96,2.1872400277585413,1.4333125214260445
ordered_over_constant,siff_mcca,siff_const_mcca,ETTh2,h97_192,97,192,1.5377313843239704,0.9580458033880523
ordered_over_constant,siff_mcca,siff_const_mcca,ETTh2,h193_336,193,336,1.0237699583847237,0.6721009320998728
ordered_over_constant,siff_mcca,siff_const_mcca,ETTh2,h337_720,337,720,0.3454828572954982,0.32221433614045836
ordered_over_constant,siff_mcca,siff_const_mcca,ETTm1,h1_48,1,48,2.1868089077242803,1.9520228713588272
ordered_over_constant,siff_mcca,siff_const_mcca,ETTm1,h49_96,49,96,1.0298821937635427,0.9997605051476177
ordered_over_constant,siff_mcca,siff_const_mcca,ETTm1,h97_192,97,192,1.0505868617067815,0.8691976686243885
ordered_over_constant,siff_mcca,siff_const_mcca,ETTm1,h193_336,193,336,0.6677746743762536,0.5590040276182706
ordered_over_constant,siff_mcca,siff_const_mcca,ETTm1,h337_720,337,720,0.30746215479809935,0.3029762690700877
ordered_over_constant,siff_mcca,siff_const_mcca,ETTm2,h1_48,1,48,-92.8239077907363,-45.926464492749616
ordered_over_constant,siff_mcca,siff_const_mcca,ETTm2,h49_96,49,96,-43.36293566235374,-24.400619951859937
ordered_over_constant,siff_mcca,siff_const_mcca,ETTm2,h97_192,97,192,-20.337626518936048,-13.328992275846364
