epoch,train_loss,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.529885633458053,0.37579282373189926,55,66,65,62,0.2185899317264557,0.3220456540584564,0.29050201177597046,0.36534813046455383,0.37288475036621094,0.4167517125606537,0.62119460105896,0.5496391654014587
2,0.445483609853733,0.4083467051386833,66,64,52,66,0.23640868067741394,0.33635616302490234,0.315830796957016,0.3815361261367798,0.40675994753837585,0.43352603912353516,0.6743873953819275,0.5674418210983276
3,0.40175813754960416,0.4424184486269951,67,53,65,63,0.26196983456611633,0.35352107882499695,0.3411412537097931,0.39863237738609314,0.4451792538166046,0.4541171193122864,0.7213834524154663,0.5849246978759766
4,0.3577174185625007,0.4574701488018036,67,58,74,49,0.2655313014984131,0.3555283844470978,0.3511801064014435,0.40563875436782837,0.4620877802371979,0.46498650312423706,0.7510814070701599,0.5977047085762024
5,0.33883312915361696,0.44566622376441956,66,63,63,56,0.26066336035728455,0.35305339097976685,0.349519819021225,0.40687957406044006,0.4541223645210266,0.4637542963027954,0.7183593511581421,0.5850404500961304
6,0.3486989291925584,0.47810301184654236,64,47,53,84,0.28308987617492676,0.36182671785354614,0.38044846057891846,0.41553711891174316,0.5053365230560303,0.4773009717464447,0.743537187576294,0.5945786237716675
7,0.32221616510181655,0.4530702009797096,56,58,58,76,0.2682095766067505,0.35876888036727905,0.3511083722114563,0.4064813554286957,0.4562726318836212,0.46215155720710754,0.7366902232170105,0.5940595269203186
8,0.2954495048691188,0.4417571946978569,64,53,65,66,0.26109030842781067,0.3542511463165283,0.345624715089798,0.40493690967559814,0.44416847825050354,0.4586292505264282,0.7161452770233154,0.5883824229240417
9,0.2826117674910253,0.4488641619682312,60,56,67,65,0.26180362701416016,0.3557809293270111,0.3421899676322937,0.40274932980537415,0.4445682764053345,0.4573168158531189,0.7468947768211365,0.5964879989624023
10,0.26597955056856715,0.4420209378004074,65,65,53,65,0.26265329122543335,0.35508084297180176,0.3431110382080078,0.40291258692741394,0.4384382963180542,0.45467543601989746,0.7238811254501343,0.5885965824127197
11,0.26905619722580715,0.4492957144975662,57,57,60,74,0.26582303643226624,0.3573998808860779,0.350058913230896,0.4064895808696747,0.44755640625953674,0.46026939153671265,0.7337445020675659,0.5961369872093201
