short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,9.029972611123392e-15,4.9940044988261434e-08,0.0
192,720,8.884144030792303e-15,4.9400657786691227e-08,0.0
336,720,6.442560548903468e-15,3.716647967166864e-08,0.0
