meta_type,dataset,horizon,matrix,src_region,dst_region,is_diag_block,block_mean,block_abs_mean,block_abs_max,block_fro
all,ETTh2,96,covariance,1-96,1-96,True,0.12341812998056412,0.12393959611654282,1.7258288860321045,19.6441593170166
all,ETTh2,96,precision,1-96,1-96,True,0.0009803477441892028,0.016135819256305695,0.7477463483810425,7.242608547210693
all,ETTh2,192,covariance,1-96,1-96,True,0.012599024921655655,0.012600724585354328,1.014547348022461,9.917228698730469
all,ETTh2,192,covariance,1-96,97-192,False,0.0016230002511292696,0.0016250262269750237,0.005797171965241432,0.17145799100399017
all,ETTh2,192,covariance,97-192,1-96,False,0.0016230004839599133,0.0016250264598056674,0.005797171965241432,0.17145799100399017
all,ETTh2,192,covariance,97-192,97-192,True,0.014129862189292908,0.014129860326647758,1.0166677236557007,9.943554878234863
all,ETTh2,192,precision,1-96,1-96,True,0.008752883411943913,0.011853198520839214,0.9914854168891907,9.68982219696045
all,ETTh2,192,precision,1-96,97-192,False,-0.0010009687393903732,0.0010094321332871914,0.004654331132769585,0.11098741739988327
all,ETTh2,192,precision,97-192,1-96,False,-0.001000968855805695,0.0010094320168718696,0.004654328338801861,0.11098750680685043
all,ETTh2,192,precision,97-192,97-192,True,0.007814348675310612,0.012750494293868542,0.9890499114990234,9.674925804138184
all,ETTh2,336,covariance,1-96,1-96,True,0.05592279136180878,0.05616684630513191,1.2630510330200195,12.919687271118164
all,ETTh2,336,covariance,1-96,97-192,False,0.021927250549197197,0.02212660014629364,0.11992115527391434,2.4912948608398438
all,ETTh2,336,covariance,1-96,193-336,False,0.014429593458771706,0.014915300533175468,0.04329491779208183,1.9461601972579956
all,ETTh2,336,covariance,97-192,1-96,False,0.021927257999777794,0.02212660014629364,0.11992115527391434,2.491293430328369
all,ETTh2,336,covariance,97-192,97-192,True,0.07265880703926086,0.07265881448984146,1.2718148231506348,13.6256742477417
all,ETTh2,336,covariance,97-192,193-336,False,0.03242334723472595,0.03242334723472595,0.12282527983188629,4.0422749519348145
all,ETTh2,336,covariance,193-336,1-96,False,0.014429599978029728,0.014915300533175468,0.04329491779208183,1.9461591243743896
all,ETTh2,336,covariance,193-336,97-192,False,0.03242334723472595,0.03242335096001625,0.12282527983188629,4.042275905609131
all,ETTh2,336,covariance,193-336,193-336,True,0.07471548765897751,0.07471546530723572,1.3214470148086548,18.25674819946289
all,ETTh2,336,precision,1-96,1-96,True,0.0025413231924176216,0.016204867511987686,0.8784888982772827,8.540666580200195
all,ETTh2,336,precision,1-96,97-192,False,-0.000720069045200944,0.002039184095337987,0.03248026221990585,0.28218087553977966
all,ETTh2,336,precision,1-96,193-336,False,-0.00013093624147586524,0.0016761799342930317,0.010190056636929512,0.25306636095046997
all,ETTh2,336,precision,97-192,1-96,False,-0.0007200692198239267,0.002039184095337987,0.03248032182455063,0.2821807861328125
all,ETTh2,336,precision,97-192,97-192,True,0.002359918784350157,0.016192400828003883,0.8746088147163391,8.54922103881836
all,ETTh2,336,precision,97-192,193-336,False,-0.0006252180901356041,0.001856122282333672,0.03221679851412773,0.3110013008117676
all,ETTh2,336,precision,193-336,1-96,False,-0.0001309362123720348,0.0016761800507083535,0.010190044529736042,0.2530660927295685
all,ETTh2,336,precision,193-336,97-192,False,-0.0006252181483432651,0.001856122282333672,0.03221678361296654,0.31100139021873474
all,ETTh2,336,precision,193-336,193-336,True,0.0009118994348682463,0.011761631816625595,0.8741867542266846,10.454195976257324
all,ETTh2,720,covariance,1-96,1-96,True,0.038797810673713684,0.03889624401926994,1.1498982906341553,11.418994903564453
all,ETTh2,720,covariance,1-96,97-192,False,0.013270322233438492,0.013389727100729942,0.0692777931690216,1.5386770963668823
all,ETTh2,720,covariance,1-96,193-336,False,0.007717015687376261,0.007978148758411407,0.024044925346970558,1.0395748615264893
all,ETTh2,720,covariance,1-96,337-720,False,0.00590873509645462,0.006295079365372658,0.022982986643910408,1.3757822513580322
all,ETTh2,720,covariance,97-192,1-96,False,0.013270316645503044,0.013389728032052517,0.0692777931690216,1.53867769241333
all,ETTh2,720,covariance,97-192,97-192,True,0.046768832951784134,0.04676884040236473,1.150179147720337,11.662333488464355
all,ETTh2,720,covariance,97-192,193-336,False,0.017505131661891937,0.01750531792640686,0.061875633895397186,2.190192937850952
all,ETTh2,720,covariance,97-192,337-720,False,0.010928337462246418,0.01093054935336113,0.024556444957852364,2.184656858444214
all,ETTh2,720,covariance,193-336,1-96,False,0.007717017084360123,0.007978148758411407,0.024044925346970558,1.039574146270752
all,ETTh2,720,covariance,193-336,97-192,False,0.017505129799246788,0.01750531978905201,0.061875633895397186,2.1901934146881104
all,ETTh2,720,covariance,193-336,193-336,True,0.03738606721162796,0.03738606348633766,1.1337131261825562,14.042587280273438
all,ETTh2,720,covariance,193-336,337-720,False,0.01701282151043415,0.0170128233730793,0.04793727397918701,4.141028881072998
all,ETTh2,720,covariance,337-720,1-96,False,0.005908734630793333,0.006295079365372658,0.022982986643910408,1.3757816553115845
all,ETTh2,720,covariance,337-720,97-192,False,0.010928343050181866,0.01093054935336113,0.024556444957852364,2.184659957885742
all,ETTh2,720,covariance,337-720,193-336,False,0.0170128233730793,0.01701282151043415,0.04793727397918701,4.14103364944458
all,ETTh2,720,covariance,337-720,337-720,True,0.030398808419704437,0.030398808419704437,1.125929355621338,24.188549041748047
all,ETTh2,720,precision,1-96,1-96,True,0.0035213688388466835,0.015956740826368332,0.929950475692749,9.01972484588623
all,ETTh2,720,precision,1-96,97-192,False,-0.000861858599819243,0.00157481012865901,0.0237058624625206,0.2334512174129486
all,ETTh2,720,precision,1-96,193-336,False,-0.00017429750005248934,0.0010665861191228032,0.006424075923860073,0.16035334765911102
all,ETTh2,720,precision,1-96,337-720,False,-4.8900459660217166e-05,0.0010085138492286205,0.006617247126996517,0.2481052726507187
all,ETTh2,720,precision,97-192,1-96,False,-0.0008618584251962602,0.001574810012243688,0.02370584011077881,0.23345132172107697
all,ETTh2,720,precision,97-192,97-192,True,0.003371529746800661,0.016008278355002403,0.9268549680709839,9.029215812683105
all,ETTh2,720,precision,97-192,193-336,False,-0.0008112364448606968,0.0013756576227024198,0.021140577271580696,0.24455811083316803
all,ETTh2,720,precision,97-192,337-720,False,-9.35336938709952e-05,0.0009417186956852674,0.0059861913323402405,0.2321195900440216
all,ETTh2,720,precision,193-336,1-96,False,-0.00017429745639674366,0.001066586235538125,0.0064240735955536366,0.16035346686840057
all,ETTh2,720,precision,193-336,97-192,False,-0.0008112362120300531,0.0013756578555330634,0.021140573546290398,0.2445581704378128
all,ETTh2,720,precision,193-336,193-336,True,0.0022478336468338966,0.010824574157595634,0.942017674446106,11.21081256866455
all,ETTh2,720,precision,193-336,337-720,False,-0.0004245649906806648,0.0010849841637536883,0.01617511361837387,0.3455313444137573
all,ETTh2,720,precision,337-720,1-96,False,-4.890047057415359e-05,0.0010085138492286205,0.006617242936044931,0.24810518324375153
all,ETTh2,720,precision,337-720,97-192,False,-9.353370114695281e-05,0.0009417188121005893,0.005986187141388655,0.23211926221847534
all,ETTh2,720,precision,337-720,193-336,False,-0.0004245650488883257,0.0010849841637536883,0.01617513783276081,0.3455311059951782
all,ETTh2,720,precision,337-720,337-720,True,0.00034434162080287933,0.004846704658120871,0.9439474940299988,18.453243255615234
all,ETTm1,96,covariance,1-96,1-96,True,0.04216563329100609,0.047952860593795776,1.3440206050872803,13.31429672241211
all,ETTm1,96,precision,1-96,1-96,True,0.0026358733884990215,0.016762593761086464,0.8567216992378235,8.254549026489258
all,ETTm1,192,covariance,1-96,1-96,True,0.013180311769247055,0.013625157065689564,1.0296794176101685,10.01738452911377
all,ETTm1,192,covariance,1-96,97-192,False,0.0019200061215087771,0.002260797191411257,0.011469952762126923,0.274486243724823
all,ETTm1,192,covariance,97-192,1-96,False,0.0019200061215087771,0.002260797191411257,0.011469952762126923,0.27448615431785583
all,ETTm1,192,covariance,97-192,97-192,True,0.014764540828764439,0.014796879142522812,1.035714030265808,10.041422843933105
all,ETTm1,192,precision,1-96,1-96,True,0.008404371328651905,0.012387732975184917,0.9849724769592285,9.611294746398926
all,ETTm1,192,precision,1-96,97-192,False,-0.001089582801796496,0.001417998573742807,0.008641312830150127,0.176915243268013
all,ETTm1,192,precision,97-192,1-96,False,-0.0010895829182118177,0.001417998573742807,0.008641317486763,0.1769152134656906
all,ETTm1,192,precision,97-192,97-192,True,0.007511769887059927,0.012945090420544147,0.9830085635185242,9.599907875061035
all,ETTm1,336,covariance,1-96,1-96,True,0.02897069603204727,0.031313128769397736,1.1971583366394043,11.631108283996582
all,ETTm1,336,covariance,1-96,97-192,False,0.00920682679861784,0.011586688458919525,0.0791325569152832,1.442611575126648
all,ETTm1,336,covariance,1-96,193-336,False,0.006152079440653324,0.009961826726794243,0.05345337465405464,1.5599530935287476
all,ETTm1,336,covariance,97-192,1-96,False,0.00920682679861784,0.011586691252887249,0.0791325569152832,1.4426147937774658
all,ETTm1,336,covariance,97-192,97-192,True,0.03517401963472366,0.03565022349357605,1.2223200798034668,11.737659454345703
