meta_type,dataset,horizon,matrix_dim,param_key,source,covariance_trace,precision_trace,covariance_diag_mean,covariance_diag_std,covariance_diag_min,covariance_diag_max,covariance_offdiag_abs_mean,covariance_offdiag_abs_max,covariance_offdiag_fro_share,covariance_weighted_bandwidth,covariance_weighted_bandwidth_ratio,covariance_condition_number,precision_diag_mean,precision_diag_std,precision_diag_min,precision_diag_max,precision_offdiag_abs_mean,precision_offdiag_abs_max,precision_offdiag_fro_share,precision_weighted_bandwidth,precision_weighted_bandwidth_ratio,precision_condition_number
all,ETTh2,96,96,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_96_TQNet_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,150.2120819091797,69.74291229248047,1.5647093057632446,0.04742984101176262,1.4534424543380737,1.7258288860321045,0.10877358913421631,0.3886454701423645,0.39036418672383,20.42019504372561,0.21494942151290114,9.96142292022705,0.7264886498451233,0.015689071267843246,0.6614499688148499,0.7477463483810425,0.008658421225845814,0.07515157759189606,0.03363498335996074,17.222426697391082,0.18128870207780087,9.961426734924316
all,ETTh2,192,192,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_192_TQNet_ETTh2_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,194.5084686279297,189.68844604492188,1.013064980506897,0.001539459452033043,1.008764624595642,1.0166677236557007,0.0022303962614387274,0.0070503405295312405,0.001195981261625204,46.86543819929587,0.24536878638374804,1.4577727317810059,0.9879606366157532,0.0012286410201340914,0.9847307801246643,0.9914854168891907,0.0015179167967289686,0.005761141888797283,0.0006332103473418812,43.470607185715,0.22759480201945023,1.4577722549438477
all,ETTh2,336,336,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_336_TQNet_ETTh2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,415.9952697753906,290.5997619628906,1.2380812168121338,0.021406397223472595,1.1677014827728271,1.3214470148086548,0.03586725518107414,0.17821602523326874,0.3024340060376202,70.57544335705508,0.21067296524494053,12.87044906616211,0.8648802638053894,0.007114256266504526,0.8308070302009583,0.8784888982772827,0.003439143765717745,0.05292056128382683,0.017420102676005165,60.50777571082793,0.18062022600247143,12.870409965515137
all,ETTh2,720,720,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_720_TQNet_ETTh2_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,798.3649291992188,670.7222900390625,1.1088402271270752,0.014101652428507805,1.0886415243148804,1.150179147720337,0.018064651638269424,0.07488875836133957,0.20434823160599505,170.32167624776136,0.23688689325140663,14.23401165008545,0.9315587282180786,0.01019223965704441,0.8999654650688171,0.9439474940299988,0.0017835897160694003,0.028752977028489113,0.007884402810565997,142.4936529511394,0.19818310563440808,14.234013557434082
all,ETTm1,96,96,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_96_TQNet_ETTm1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,121.88373565673828,79.97950744628906,1.2696223258972168,0.03066006302833557,1.2227667570114136,1.3440206050872803,0.03509318083524704,0.17347374558448792,0.12655219222970387,16.812899908766642,0.17697789377649098,3.8149590492248535,0.8331198692321777,0.014290577732026577,0.7789350152015686,0.8567216992378235,0.008169359527528286,0.054947514086961746,0.02180164191935111,16.296520973254616,0.17154232603425912,3.8149573802948
all,ETTm1,192,192,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_192_TQNet_ETTm1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,196.3419952392578,188.1270294189453,1.022614598274231,0.0030449407640844584,1.0159378051757812,1.035714030265808,0.0029250248335301876,0.013893114402890205,0.002716503543903139,47.40094722224672,0.24817249854579435,1.5433682203292847,0.9798282980918884,0.002493633423000574,0.9692234396934509,0.9849724769592285,0.0019490839913487434,0.010545764118432999,0.001449084112604443,45.18934381713911,0.2365934231263828,1.5433677434921265
all,ETTm1,336,336,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_336_TQNet_ETTm1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,389.9073791503906,300.3124084472656,1.1604385375976562,0.014596918597817421,1.132241129875183,1.2223200798034668,0.015963701531291008,0.10252341628074646,0.10898583929809441,82.09400425665963,0.2450567291243571,5.744886875152588,0.8937869071960449,0.00682115089148283,0.8628782629966736,0.9053698182106018,0.0031674157362431288,0.03755812346935272,0.013086934291319845,69.98384621764919,0.20890700363477369,5.744886875152588
all,ETTm1,720,720,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_720_TQNet_ETTm1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,785.5453491210938,674.1010131835938,1.09103524684906,0.0075444430112838745,1.0726892948150635,1.1233737468719482,0.008527960628271103,0.061322588473558426,0.07431453797809633,180.0900805603723,0.25047299104363324,6.657037258148193,0.9362515211105347,0.003923887852579355,0.9178400635719299,0.9435219764709473,0.0017071181209757924,0.025470897555351257,0.007435184317744159,159.7840346411141,0.22223092439654255,6.657033443450928
all,Weather,96,96,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_96_TQNet_custom_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,139.39674377441406,70.23703002929688,1.4520493745803833,0.0365942046046257,1.399178147315979,1.6008572578430176,0.05208738148212433,0.19681575894355774,0.16590704537826828,17.34845397118465,0.1826153049598384,5.043719291687012,0.7316357493400574,0.014828572049736977,0.6665595173835754,0.7522615790367126,0.007211431860923767,0.05000140145421028,0.019644334130378326,16.316624667343437,0.171753943866773,5.043717861175537
all,Weather,192,192,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_192_TQNet_custom_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,201.78294372558594,184.0146942138672,1.0509527921676636,0.006332600489258766,1.038465976715088,1.068818211555481,0.007154508028179407,0.030506301671266556,0.014177846434121262,50.60617418588811,0.2649537915491524,2.4413414001464844,0.9584099650382996,0.0039161741733551025,0.9477059841156006,0.9661362171173096,0.0030748057179152966,0.016933375969529152,0.003775812461477637,41.74743971142895,0.21857298278235054,2.4413416385650635
