dataset,control_family,horizon,checkpoint_count,mean_mse_log_effect,mse_reduction,std_mse_log_effect,positive_mse_checkpoints,mean_mae_log_effect,mae_reduction
ETTh1,dct2,48,3,0.0076134228577612595,0.007584514165178802,0.008144153530393664,2,0.006609053819238649,0.00658726205711746
ETTh1,dct2,96,3,-0.003699923178921099,-0.0037067763441409607,0.0036629276702857773,0,-0.001299645081273525,-0.0013004899859279107
ETTh1,dct2,144,3,-0.010118607813777688,-0.01016997403117137,0.0011569437587808378,0,-0.005095959639693788,-0.0051089661261429775
ETTh1,dct2,192,3,-0.0070741243323555365,-0.007099205056396274,0.0015300401538387676,0,-0.0034064071872214954,-0.0034122155855680347
ETTh1,dct2,288,3,-0.005625267752689217,-0.005641119280424656,0.006297044863515856,1,-0.003097069804976838,-0.003101870680601415
ETTh1,dct2,336,3,-0.005101496499204214,-0.005114531288687774,0.007333264961639949,1,-0.0030526061789961575,-0.003057270125761624
ETTh1,dct2,512,3,-0.0023280834308867008,-0.002330795521366502,0.008381759933296163,1,-0.0009459988497866003,-0.0009464464478297074
ETTh1,dct2,720,3,-0.0017859531485660185,-0.0017875489127356925,0.00808975085436067,1,-0.00017785361663248615,-0.00017786943352460227
ETTh1,identity,48,3,0.029376084683366197,0.028948801697040838,0.023192676469371665,3,0.023722257613493534,0.023443096659917395
ETTh1,identity,96,3,0.01805212241245327,0.01789015891000556,0.013107511497287892,3,0.01459416738333096,0.014488188705777172
ETTh1,identity,144,3,0.00919185773772677,0.00914974175355332,0.007302015167472422,3,0.008395678320835058,0.008360533038538454
ETTh1,identity,192,3,0.010366268031271227,0.010312723453690054,0.002525892044684831,3,0.007032413112592254,0.007007743558205548
ETTh1,identity,288,3,0.0147451794300972,0.014637001624958512,0.003939504850330294,3,0.006292840612637356,0.006273082158475329
ETTh1,identity,336,3,0.016853927838938517,0.01671269495322525,0.004998372181783086,3,0.0061947153577608174,0.006175567667145554
ETTh1,identity,512,3,0.034082317297431934,0.033508057641808975,0.005545909647998317,3,0.016591181425486063,0.016454305796505198
ETTh1,identity,720,3,0.04650971639563012,0.04544471431189534,0.005903749092033828,3,0.025456258340727612,0.02513497975331369
ETTh1,pca_fit,48,3,0.0031099538038072533,0.003105122906729485,0.01675443420964382,2,-0.0011201959064851082,-0.0011208235602626626
ETTh1,pca_fit,96,3,-0.01433396105954743,-0.01443718489181589,0.011974420735753716,0,-0.010137103436071564,-0.010188657926248235
ETTh1,pca_fit,144,3,-0.02404336002355488,-0.02433473210582604,0.010035684483328955,0,-0.015635373605353123,-0.01575824560720629
ETTh1,pca_fit,192,3,-0.026287200470849037,-0.026635756409557843,0.008040270456318402,0,-0.016601571014089187,-0.01674014286892267
ETTh1,pca_fit,288,3,-0.028448434890422248,-0.02885695634496166,0.00807265837382537,0,-0.01813837148316359,-0.018303870858602522
ETTh1,pca_fit,336,3,-0.02944749563456472,-0.029885360574992026,0.008045745106118708,0,-0.018736740153054893,-0.01891337432705753
ETTh1,pca_fit,512,3,-0.024340059865111546,-0.024638697149503175,0.00822208948475808,0,-0.014551945401128261,-0.014658340416984661
ETTh1,pca_fit,720,3,-0.018508515466177967,-0.018680859675048067,0.008798998513406996,0,-0.009767009108316259,-0.009814862008127978
ETTh1,permuted_interval,48,3,0.03701876026259681,0.03634194329872331,0.002387199968272257,3,0.024163989961583438,0.023874378171362842
ETTh1,permuted_interval,96,3,0.019979483274953098,0.019781216020271275,0.001479716279995451,3,0.0147436376613546,0.014635482421916368
ETTh1,permuted_interval,144,3,0.010064499021998671,0.010014021437518061,0.0019481736962313242,3,0.010211772352827305,0.010159809234463801
ETTh1,permuted_interval,192,3,0.0038251482341974123,0.003817841673884992,0.0024482183680033616,3,0.006269197456234034,0.006249587039786397
ETTh1,permuted_interval,288,3,-0.004955340735746288,-0.004967638741862457,0.004725828037173644,1,-0.0004532526463253449,-0.0004533553808270252
ETTh1,permuted_interval,336,3,-0.007618924612302405,-0.007648022469610938,0.005537564939254348,0,-0.002855238004154178,-0.0028593180784546313
ETTh1,permuted_interval,512,3,-0.005490700039654628,-0.005505801559771761,0.005529071077472725,1,-0.0021192997996110114,-0.0021215471027205
ETTh1,permuted_interval,720,3,-0.002526463263201873,-0.0025296574609532385,0.004927679103428402,1,-0.0006796948694007981,-0.0006799259143022152
ETTh1,random_interval_tree,48,3,0.0032224971817114145,0.003217310510508553,0.0017675256747317536,3,0.001929419704515797,0.0019275595708362347
ETTh1,random_interval_tree,96,3,0.010376700827499299,0.010323048605515583,0.000504627077857868,3,0.005261315344381942,0.005247498866374878
ETTh1,random_interval_tree,144,3,0.009636745579611992,0.009590460944002177,0.0013438760724971807,3,0.005802378655413817,0.005785577367900752
ETTh1,random_interval_tree,192,3,0.012487219877570286,0.012409578060267767,0.0024316100036578915,3,0.007670878023743721,0.007641531923642919
ETTh1,random_interval_tree,288,3,0.004884386717047845,0.004872477497880667,0.0055151162478087505,2,0.003299033025998294,0.003293597195849096
ETTh1,random_interval_tree,336,3,0.004957441438848099,0.004945173606763498,0.006106332129876486,2,0.0031357618537604832,0.0031308504875249277
ETTh1,random_interval_tree,512,3,0.004384033958335097,0.004374438109425172,0.0066132698159580726,2,0.0028276167142952066,0.0028236227714870665
ETTh1,random_interval_tree,720,3,0.0043484799842051745,0.0043390390346694785,0.0061241897325086175,2,0.0028683875651402267,0.0028642776720561036
ETTh1,random_orthogonal,48,3,0.03777912698658074,0.03707439831583759,0.017063165507352363,3,0.026510416885790755,0.02616210057547852
ETTh1,random_orthogonal,96,3,0.024859260425130505,0.024552813609541313,0.00983057273607274,3,0.017351686512793674,0.017202012946963108
ETTh1,random_orthogonal,144,3,0.011551299947720561,0.011484839828877047,0.004401318410052001,3,0.009443376478640306,0.00939892782414431
ETTh1,random_orthogonal,192,3,0.010192994760771684,0.010141222244652526,0.0010855037141405306,3,0.00712426146781685,0.007098944075337621
ETTh1,random_orthogonal,288,3,0.01016680250326746,0.010115295269111146,0.003525754858259246,3,0.004341503202692038,0.004332092501451501
ETTh1,random_orthogonal,336,3,0.011887541041252897,0.011817163373759265,0.005352075404089568,3,0.004021809922386988,0.004013733276067799
ETTh1,random_orthogonal,512,3,0.028892067458590773,0.028478682427189206,0.007427274740451402,3,0.013970327382439848,0.013873195207714129
ETTh1,random_orthogonal,720,3,0.039190619188773194,0.03843260152179229,0.008502979705197365,3,0.021427221107216024,0.02119928909103319
ETTh2,dct2,48,3,-0.06009171491874086,-0.06193393726396468,0.006802803839826012,0,-0.021737590806914123,-0.021975573495869982
ETTh2,dct2,96,3,-0.036930668312851196,-0.03762107832425654,0.005874244749878781,0,-0.015610186714099061,-0.01573266213691915
ETTh2,dct2,144,3,-0.020066820903800794,-0.02026951308002234,0.0020809965182982493,0,-0.010350621150714312,-0.010404374128642369
ETTh2,dct2,192,3,-0.005020560823957708,-0.005033184957352388,0.0016413025618724469,0,-0.004253612979884394,-0.004262672432155723
ETTh2,dct2,288,3,0.0007984651150962497,0.0007981464266524352,0.004263195263022122,2,-0.0018381109600735335,-0.0018398013215563669
ETTh2,dct2,336,3,0.0007279346893439568,0.0007276698091637224,0.004231087838426311,2,-0.0021615077361996173,-0.002163845478092119
ETTh2,dct2,512,3,0.00044245978402522937,0.0004423619131301848,0.0023777107957255357,2,-0.0019143803017328482,-0.0019162138975825638
ETTh2,dct2,720,3,-0.001935916337279093,-0.0019377914331260016,0.0007745051810258586,0,-0.002292855887578958,-0.0022954864917874573
ETTh2,identity,48,3,0.06265136853133765,0.06072912400058561,0.020615612832367704,3,0.04150077562299209,0.04065140875164108
ETTh2,identity,96,3,0.027423159039871952,0.027050557949595322,0.0009292481712403148,3,0.028037023443902447,0.027647633698467455
ETTh2,identity,144,3,0.03696075685756204,0.03628604622905096,0.011905513304196345,3,0.030348382523881917,0.029892493830924738
ETTh2,identity,192,3,0.05429444561378385,0.05284681966001148,0.018773749406513416,3,0.03578435110422366,0.03515166047112217
ETTh2,identity,288,3,0.06513064747839388,0.06305495412682849,0.027501789983022034,3,0.036457089486535345,0.03580053269713512
ETTh2,identity,336,3,0.0648132753754584,0.06275754671537337,0.028087232780522015,3,0.03475522605811515,0.034158199769252606
ETTh2,identity,512,3,0.07849642945204711,0.0754946390836162,0.03312427474476049,3,0.04106453612173743,0.040232811703020066
ETTh2,identity,720,3,0.07682542827487192,0.07394849809528137,0.03443523023132029,3,0.04753562037439706,0.046423494224486994
ETTh2,pca_fit,48,3,-0.057825379135653915,-0.05952996351748707,0.00718523118917392,0,-0.027142878697595744,-0.027514602224108176
ETTh2,pca_fit,96,3,-0.05753112037534342,-0.059218233410817334,0.0042101103121008985,0,-0.025460993260432104,-0.025787892848864846
ETTh2,pca_fit,144,3,-0.053608782512462566,-0.05507175888191007,0.007139227757826303,0,-0.023468769672686362,-0.023746328314457665
ETTh2,pca_fit,192,3,-0.0341845736900127,-0.034775581450524395,0.008293516773521989,0,-0.015769585220920666,-0.01589458131108823
ETTh2,pca_fit,288,3,-0.009181154321523576,-0.00922343040088136,0.010656113574040501,1,-0.008872709322810078,-0.008912188484163641
ETTh2,pca_fit,336,3,-0.0045223254379436915,-0.004532566583738795,0.010231868672800236,1,-0.007426756415682169,-0.007454403170636503
ETTh2,pca_fit,512,3,0.0015687782648202229,0.0015675483754234998,0.008412512001572845,2,-0.004056050748248667,-0.0040642876547565265
ETTh2,pca_fit,720,3,0.003251605618326043,0.0032463248739607042,0.0041369815396011395,2,-0.001124297986800907,-0.0011249302467097877
ETTh2,permuted_interval,48,3,0.003536992320055337,0.0035307445310172048,0.007020918634483545,2,0.008831710547788163,0.008792825550069883
ETTh2,permuted_interval,96,3,-0.0027876263441670135,-0.002791515387377874,0.00860270416861683,1,0.005598898726524385,0.005583254104219226
ETTh2,permuted_interval,144,3,-0.004111144685816395,-0.004119607033801875,0.012423300322982892,1,0.003404933726827604,0.0033991435136139225
ETTh2,permuted_interval,192,3,0.001470658859309866,0.0014695779705075074,0.013879090275844804,1,0.004361220138008813,0.00435172382764526
ETTh2,permuted_interval,288,3,0.006038814560468719,0.006020617567668363,0.01334737820068747,1,0.0043107812841772526,0.004301503203250956
ETTh2,permuted_interval,336,3,0.006830527161294731,0.006807252134362729,0.01191931961373741,2,0.004353414326642793,0.004343951954681624
ETTh2,permuted_interval,512,3,0.007755221279553426,0.007725227138157709,0.009870360794291372,3,0.005238671247269375,0.005224973339102101
ETTh2,permuted_interval,720,3,0.00868476832150637,0.008647164659544071,0.006374061617850304,3,0.006397058019455425,0.006376640404558431
ETTh2,random_interval_tree,48,3,-0.005579694691293252,-0.005595290180247403,0.013469102631371207,1,0.000850452793607665,0.0008500912611266731
ETTh2,random_interval_tree,96,3,0.00480933534730927,0.004797789011550813,0.006414611825518612,3,0.002941849649024592,0.0029375266495896835
ETTh2,random_interval_tree,144,3,0.012902840599843661,0.012819955818087148,0.007691009850847117,3,0.005618468931804653,0.005602714853644386
ETTh2,random_interval_tree,192,3,0.017310980846926793,0.01716200668625234,0.00869472810705942,3,0.00770234086828006,0.007672753852680403
