dataset,checkpoint_seed,control_family,horizon,structure_seed_count,mse_log_effect,mse_reduction,mae_log_effect,mae_reduction
ETTh1,2021,identity,48,3,0.00858297509089382,0.008546246515453104,0.01056767703481337,0.010512035309602652
ETTh1,2021,identity,96,3,0.006563846639291752,0.006542351653583078,0.005243093214745177,0.005229372192189885
ETTh1,2021,identity,144,3,0.0023160538785360987,0.00231337389514652,0.00155244004593476,0.0015512356342262112
ETTh1,2021,identity,192,3,0.007890241589455619,0.007859195341080039,0.0022562523878075567,0.002253708963617429
ETTh1,2021,identity,288,3,0.011501240078948698,0.011435353651054414,0.002191034304286025,0.0021886357407229218
ETTh1,2021,identity,336,3,0.012948141560460013,0.012864675009471083,0.0021473121189316434,0.0021450082935693393
ETTh1,2021,identity,512,3,0.03249024873373058,0.03196811067800742,0.014467923736555623,0.01436376624717206
ETTh1,2021,identity,720,3,0.04956993093206959,0.04836139316527732,0.025603442827284755,0.025278454201915657
ETTh1,2021,dct2,48,3,0.012557398673942744,0.012478883535472551,0.00957995611006384,0.009534214514556383
ETTh1,2021,dct2,96,3,-0.000707244259932119,-0.0007074944161240548,0.0001270988225074932,0.00012709074579431157
ETTh1,2021,dct2,144,3,-0.00930426718544979,-0.009347686436340874,-0.004496318500999408,-0.004506442108331399
ETTh1,2021,dct2,192,3,-0.00860102713667367,-0.008638122246319657,-0.004473765393464588,-0.004483787621988533
ETTh1,2021,dct2,288,3,-0.011277329138374773,-0.011341157928387968,-0.006422998839061364,-0.0064436705304886654
ETTh1,2021,dct2,336,3,-0.011488392653881671,-0.011554637676657542,-0.007090476629670283,-0.007115673576671533
ETTh1,2021,dct2,512,3,-0.009672876736766116,-0.00971981021413626,-0.0054407391618066375,-0.005455566862139882
ETTh1,2021,dct2,720,3,-0.009364042453711198,-0.009408022268343919,-0.0048508537308122966,-0.004862638168927846
ETTh1,2021,pca_fit,48,3,-0.013904543948358992,-0.014001661723640257,-0.008875544346269791,-0.008915048777941248
ETTh1,2021,pca_fit,96,3,-0.025841468680859642,-0.02617825418540365,-0.017185699355269906,-0.01733422309464494
ETTh1,2021,pca_fit,144,3,-0.03405410454560658,-0.03464058397245462,-0.02199321978500279,-0.02223685346129689
ETTh1,2021,pca_fit,192,3,-0.034868650964341504,-0.035483690082722674,-0.022653119750919187,-0.02291165015072294
ETTh1,2021,pca_fit,288,3,-0.037764927558298605,-0.03848708448871685,-0.024660353974428607,-0.024966935451969707
ETTh1,2021,pca_fit,336,3,-0.038586496663595794,-0.039340623966405586,-0.02543320936880535,-0.02575939286513984
ETTh1,2021,pca_fit,512,3,-0.03336468027133276,-0.03392752346756911,-0.020818173142802144,-0.021036382921669317
ETTh1,2021,pca_fit,720,3,-0.028428013873013396,-0.028835946253669364,-0.016334265046016164,-0.0164683984818208
ETTh1,2021,permuted_interval,48,3,0.039595214362234156,0.038821568357815694,0.025280528856452735,0.024963652172855344
ETTh1,2021,permuted_interval,96,3,0.020241530752090342,0.020038046227332074,0.014133976315389077,0.01403456060307351
ETTh1,2021,permuted_interval,144,3,0.00858914581998293,0.008552364489094022,0.009185410466965638,0.009143353453061165
ETTh1,2021,permuted_interval,192,3,0.0014788185081945745,0.0014777255949109946,0.004566052929885481,0.0045556443582620565
ETTh1,2021,permuted_interval,288,3,-0.008609713014677924,-0.008646883192048316,-0.0030664134571076716,-0.0030711197120643074
ETTh1,2021,permuted_interval,336,3,-0.011662868832918533,-0.011731145262463327,-0.005882700749355453,-0.0059000378129887565
ETTh1,2021,permuted_interval,512,3,-0.00990463554340112,-0.009953848791590225,-0.005596067027436437,-0.005611754259139623
ETTh1,2021,permuted_interval,720,3,-0.007377095748990294,-0.007404373555575772,-0.004045470790372501,-0.00405366475308333
ETTh1,2021,random_interval_tree,48,3,0.005093763453038864,0.005080812239451782,0.0029712668326851628,0.0029668569880791917
ETTh1,2021,random_interval_tree,96,3,0.010929070767990897,0.010869565450628893,0.0054509745665669435,0.005436144962205014
ETTh1,2021,random_interval_tree,144,3,0.008258587190307419,0.008224578744085886,0.005251765275708988,0.005237998866313709
ETTh1,2021,random_interval_tree,192,3,0.010273321069982562,0.01022073075355423,0.006478078726255144,0.0064571412102854
ETTh1,2021,random_interval_tree,288,3,-0.0008581745863582864,-0.0008585429235270503,9.06736247836616e-05,9.06695140547864e-05
ETTh1,2021,random_interval_tree,336,3,-0.0011033216717557402,-0.0011039305550222256,-0.00045152036827201224,-0.00045162231893725036
ETTh1,2021,random_interval_tree,512,3,-0.002436956353922695,-0.002439928145610004,-0.001268156834228424,-0.0012689612851273235
ETTh1,2021,random_interval_tree,720,3,-0.0022603181812495252,-0.002262874626153266,-0.0011523588380718288,-0.0011530230586334067
ETTh1,2021,random_orthogonal,48,3,0.025889555528172143,0.025557294524216068,0.017396583752160813,0.01724613687290877
ETTh1,2021,random_orthogonal,96,3,0.017396522973560577,0.017246077142502703,0.01012528893338354,0.010074200768260488
ETTh1,2021,random_orthogonal,144,3,0.008727965879977595,0.008689987756681061,0.004405080182904889,0.00439539204808681
ETTh1,2021,random_orthogonal,192,3,0.0095777092936401,0.009531989117262385,0.0031634147115895163,0.0031584163872507842
ETTh1,2021,random_orthogonal,288,3,0.008780162318095494,0.008741729258017972,0.0007681132170816057,0.0007678182936408096
ETTh1,2021,random_orthogonal,336,3,0.010311374961356076,0.01025839498971004,0.0006279116001634251,0.0006277145049295996
ETTh1,2021,random_orthogonal,512,3,0.030392824258032174,0.02993560613281121,0.012559269195691522,0.012480730713470667
ETTh1,2021,random_orthogonal,720,3,0.044432924836605735,0.04346024199754328,0.022025057039130037,0.02178427644554415
ETTh1,2022,identity,48,3,0.02515637501430479,0.02484259014903656,0.02264311677765733,0.022388685400206998
ETTh1,2022,identity,96,3,0.015262709017687157,0.01514682419562241,0.01451544972594549,0.014410608471239317
ETTh1,2022,identity,144,3,0.008403423609523187,0.008368213542740754,0.008537236076250664,0.008500897360599557
ETTh1,2022,identity,192,3,0.010269327913678178,0.010216778402334148,0.007898790316898633,0.007867676846150973
ETTh1,2022,identity,288,3,0.019128913320865897,0.01894711669456073,0.009246809947071714,0.009204189668343687
ETTh1,2022,identity,336,3,0.022486814134117027,0.0222358702249833,0.009590054440747021,0.009544216515086745
ETTh1,2022,identity,512,3,0.04025013918585421,0.03945086188015845,0.02003754904678891,0.01983813152809355
ETTh1,2022,identity,720,3,0.05025507769284735,0.049013181963192154,0.028222457034326215,0.02782792377247323
ETTh1,2022,dct2,48,3,-0.0017864120516267155,-0.001788008636213645,0.0026600892581520284,0.002656554355801255
ETTh1,2022,dct2,96,3,-0.007784687600361444,-0.007815067061250014,-0.0023817257404925352,-0.00238456430235523
ETTh1,2022,dct2,144,3,-0.011442923627179804,-0.011508644317471228,-0.004912417973672294,-0.004924503680757253
ETTh1,2022,dct2,192,3,-0.005540966010659543,-0.00555634555554918,-0.0016245635849055416,-0.0016258839032097239
ETTh1,2022,dct2,288,3,0.0011622557878642737,0.0011615806301999987,0.0011921394578185383,0.0011914291418683165
ETTh1,2022,dct2,336,3,0.00290676654131232,0.0029025459858297298,0.002086616900298365,0.002084441428642392
ETTh1,2022,dct2,512,3,0.006802738640600062,0.006779652393658742,0.0047868658444384996,0.004775427061384008
ETTh1,2022,dct2,720,3,0.006733153950535412,0.006710537058947974,0.005049445917189337,0.0050367188956338405
ETTh1,2022,pca_fit,48,3,0.003642792647390766,0.003636165727528673,-0.0013053388873440804,-0.001306191212967045
ETTh1,2022,pca_fit,96,3,-0.015218708828007627,-0.015335103084377799,-0.009918126686165471,-0.009967474315061509
ETTh1,2022,pca_fit,144,3,-0.024093055381719537,-0.024385638052102587,-0.015058360406485808,-0.01517230875553821
ETTh1,2022,pca_fit,192,3,-0.02506485909538586,-0.025381623692275923,-0.015329317150497124,-0.015447413808030497
ETTh1,2022,pca_fit,288,3,-0.023525544460484476,-0.02380445294499811,-0.014958596521698925,-0.015071036274040717
ETTh1,2022,pca_fit,336,3,-0.023431271422807782,-0.02370794033857182,-0.01479791872952505,-0.014907950003554493
ETTh1,2022,pca_fit,512,3,-0.017274335205223295,-0.017424399374562194,-0.010157764723582603,-0.010209529940170547
ETTh1,2022,pca_fit,720,3,-0.011644812913402513,-0.011712877691251844,-0.005560266900054169,-0.005575753874653033
ETTh1,2022,permuted_interval,48,3,0.03657914201126274,0.03591820849500005,0.02511466694026165,0.024801917363396875
ETTh1,2022,permuted_interval,96,3,0.02131066971589975,0.02108520185797169,0.01715389354591565,0.01700760319145478
ETTh1,2022,permuted_interval,144,3,0.012272849090389443,0.012197844830205473,0.013148524254256388,0.013062460028025025
ETTh1,2022,permuted_interval,192,3,0.00636389934130267,0.006343692621123109,0.009201501273609075,0.0091592970074994
ETTh1,2022,permuted_interval,288,3,0.0003814925472609577,0.0003814197882318071,0.0036840301854628075,0.003677252471914083
ETTh1,2022,permuted_interval,336,3,-0.0013074872891888946,-0.0013083424233464314,0.001871532461215939,0.0018697822363770156
ETTh1,2022,permuted_interval,512,3,0.0007110777210075289,0.0007108249651580634,0.0024343852866012794,0.0024314245737320217
ETTh1,2022,permuted_interval,720,3,0.002474808086487771,0.002471748273625618,0.002844308342728493,0.0028402671301470672
ETTh1,2022,random_interval_tree,48,3,0.0015812303470365532,0.001579980860993202,0.0013010144644878764,0.0013001685120747064
ETTh1,2022,random_interval_tree,96,3,0.009939848267683132,0.009890611247101555,0.00562404272325567,0.0056082574012847886
ETTh1,2022,random_interval_tree,144,3,0.010943491746606589,0.01088382957662204,0.007044734655122752,0.007019978679147831
ETTh1,2022,random_interval_tree,192,3,0.015089734813933808,0.01497645526743363,0.009287251439414742,0.009244258119301296
