dataset,checkpoint_seed,family_count,spearman_log_mse_vs_covariance_offdiag_ratio,spearman_log_mse_vs_variance_capture_top16,spearman_log_mse_vs_variance_capture_top64,spearman_log_mse_vs_active_atoms_h48
ETTh1,2021,7,0.9642857142857142,-0.9642857142857142,-0.9642857142857142,-0.3335621924974955
ETTh1,2022,7,0.9642857142857142,-0.9642857142857142,-0.9642857142857142,-0.5929994533288809
ETTh1,2023,7,0.9642857142857142,-0.9642857142857142,-0.9642857142857142,-0.5929994533288809
ETTh2,2021,7,0.8928571428571428,-0.857142857142857,-0.857142857142857,-0.630061919161936
ETTh2,2022,7,0.8928571428571428,-0.857142857142857,-0.857142857142857,-0.630061919161936
ETTh2,2023,7,0.9642857142857142,-0.8928571428571428,-0.8928571428571428,-0.5929994533288809
ETTm1,2021,7,0.9642857142857142,-0.9642857142857142,-0.9642857142857142,-0.48181205582971576
ETTm1,2022,7,0.9285714285714285,-0.9285714285714285,-0.9285714285714285,-0.48181205582971576
ETTm1,2023,7,0.9642857142857142,-0.9642857142857142,-0.9642857142857142,-0.5188745216627708
ETTm2,2021,7,0.857142857142857,-0.8928571428571428,-0.7857142857142856,-0.4447495899966607
ETTm2,2022,7,0.8928571428571428,-0.857142857142857,-0.857142857142857,-0.48181205582971576
ETTm2,2023,7,0.857142857142857,-0.8928571428571428,-0.7857142857142856,-0.1853123291652753
Weather,2021,7,0.49999999999999994,-0.46428571428571425,-0.49999999999999994,0.07412493166611012
Weather,2022,7,0.46428571428571425,-0.49999999999999994,-0.46428571428571425,-0.07412493166611012
Weather,2023,7,0.5357142857142857,-0.5714285714285714,-0.5357142857142857,-0.22237479499833035
