dataset,control_family,mean_horizon_mse_reduction,positive_mse_checkpoints,mean_horizon_mae_reduction,h720_mse_reduction,positive_h720_checkpoints
ETTh1,dct2,-0.003521189033953931,0,-0.0013091670293716717,-0.0017875489127356925,1
ETTh1,identity,0.02214822939062211,3,0.013443753593707086,0.04544471431189534,3
ETTh1,pca_fit,-0.020494571906603642,0,-0.01317203567894798,-0.018680859675048067,0
ETTh1,permuted_interval,0.006267335573337696,3,0.006141204257921307,-0.0025296574609532385,1
ETTh1,random_interval_tree,0.006764207255184895,3,0.004090957999968947,0.0043390390346694785,2
ETTh1,random_orthogonal,0.0215787385791415,3,0.012939382344266726,0.03843260152179229,3
ETTh2,dct2,-0.015376624930829585,0,-0.007548203457638403,-0.0019377914331260016,0
ETTh2,identity,0.056656159586923605,3,0.03626158563881954,0.07394849809528137,3
ETTh2,pca_fit,-0.02685847683038456,0,-0.014266057795213616,0.0032463248739607042,2
ETTh2,permuted_interval,0.003421410025995719,1,0.005298001823065834,0.008647164659544071,3
ETTh2,random_interval_tree,0.008958222673373983,3,0.004379980712311937,0.006620202116475404,3
ETTh2,random_orthogonal,0.04382787080381234,3,0.02741762133704939,0.05632595710909449,3
ETTm1,dct2,-0.017680189319258632,0,-0.010619706797502237,-0.008100074189582251,0
ETTm1,identity,0.022099948746086118,3,0.015276678640821384,0.005020751252032718,3
ETTm1,pca_fit,-0.01404123777327837,0,-0.011491289951301331,-0.006173311215642352,0
ETTm1,permuted_interval,0.007082169640727165,3,0.004514736109457518,-0.0003336013251808989,2
ETTm1,random_interval_tree,-0.0011713851199155467,1,-0.0005512631234503296,-0.0015355833962200638,1
ETTm1,random_orthogonal,0.014252155887951035,3,0.011109591594859025,0.005910198940419331,3
ETTm2,dct2,-0.006138616413262188,0,-0.0064888576669066556,-0.0029877461391532023,1
ETTm2,identity,0.050757578056633945,3,0.03808066332096305,0.030338385170240345,3
ETTm2,pca_fit,-0.02162143658400728,0,-0.011308444398150819,-0.003462070404510076,0
ETTm2,permuted_interval,0.05739451106484572,3,0.02776751965142954,0.017541553524683895,3
ETTm2,random_interval_tree,-0.002121701045329605,1,-0.004050386554663277,-0.001558829450112098,1
ETTm2,random_orthogonal,0.05108659700346496,3,0.035103155030356104,0.027283742702954195,3
Weather,dct2,-0.0004427049295603336,2,0.0007933623813226598,0.00020183854146493818,2
Weather,identity,0.02419304702245051,3,0.029112828775801236,0.009113828172568783,3
Weather,pca_fit,0.007409500999736474,3,0.007611228822957283,-0.0005434580200622818,1
Weather,permuted_interval,0.006346088335329236,3,0.007611957136253955,0.0025156265186382365,3
Weather,random_interval_tree,0.0012346106098534149,2,0.0020070429952431246,0.0010049781635227406,2
Weather,random_orthogonal,0.015369788942860563,3,0.01895428659862919,0.007007945773479518,3
