control_family,horizon,primary_unit_count,mse_reduction,mae_reduction
identity,48,15,0.05975322886420287,0.04368166078167046
identity,96,15,0.03637202047550636,0.030073033660418802
identity,144,15,0.028932625185355332,0.025395571851538734
identity,192,15,0.030636461201929643,0.024326334807660333
identity,288,15,0.030406155346255792,0.021624073759992646
identity,336,15,0.02952547159698249,0.02043045535073662
identity,512,15,0.03322465676051367,0.022184046126842327
identity,720,15,0.033106046392682664,0.023995934272273423
dct2,48,15,-0.014764074748509604,-0.0032762215263506533
dct2,96,15,-0.012549215597464025,-0.005556515043078969
dct2,144,15,-0.011865657643859162,-0.006892256836013244
dct2,192,15,-0.00862553305478131,-0.006040634314223858
dct2,288,15,-0.006851574258612825,-0.0057802056839897364
dct2,336,15,-0.006315814177210388,-0.005632340022895699
dct2,512,15,-0.005043176702784091,-0.004476759042354006
dct2,720,15,-0.002918399648840442,-0.0025590831278781145
pca_fit,48,15,-0.01670012166014856,-0.0068430008162925215
pca_fit,96,15,-0.02239942906238923,-0.01106426216345091
pca_fit,144,15,-0.025079205797029713,-0.01285180338888292
pca_fit,192,15,-0.01968027731691757,-0.010742606571831459
pca_fit,288,15,-0.013666317970060238,-0.009459326581847671
pca_fit,336,15,-0.011493878323316942,-0.008439600757297772
pca_fit,512,15,-0.006465514065413958,-0.005345579464899108
pca_fit,720,15,-0.005095065097779905,-0.0032270909410145876
permuted_interval,48,15,0.042039546672349215,0.025990616653856935
permuted_interval,96,15,0.026891831341004813,0.017226339443843663
permuted_interval,144,15,0.01754124335125873,0.012119094432136879
permuted_interval,192,15,0.01452212779974782,0.009638578918663265
permuted_interval,288,15,0.009667535596970311,0.005734554041345041
permuted_interval,336,15,0.008262495246760593,0.0046145917947115755
permuted_interval,512,15,0.0059013625151631555,0.0034463791624630424
permuted_interval,720,15,0.005194618101889481,0.0034538538048479728
random_interval_tree,48,15,-0.0024796278435992303,-0.0008461388330260888
random_interval_tree,96,15,0.005208550606900064,0.0020008260011086243
random_interval_tree,144,15,0.0046784434586302215,0.002026988788627393
random_interval_tree,192,15,0.005774450855464797,0.0028274673614240298
random_interval_tree,288,15,0.0018901453343367347,0.0006642822846423257
random_interval_tree,336,15,0.0020987475490831242,0.0007445306977111876
random_interval_tree,512,15,0.0029652599370663113,0.0010469059778610568
random_interval_tree,720,15,0.0017792462610481952,0.0009727019219433197
random_orthogonal,48,15,0.05122182423967192,0.034554121829170725
random_orthogonal,96,15,0.030465032241403622,0.024577695193236382
random_orthogonal,144,15,0.022994932317743855,0.020445981763540177
random_orthogonal,192,15,0.024948358542289273,0.019544575244886175
random_orthogonal,288,15,0.02472472526451608,0.01697721766661986
random_orthogonal,336,15,0.024350119257065983,0.015991631391689243
random_orthogonal,512,15,0.02855461656132785,0.01787138284124079
random_orthogonal,720,15,0.027181410015398755,0.019079012635557557
