dataset,checkpoint_seed,control_family,mean_horizon_mse_log_effect,mean_horizon_mse_reduction,mean_horizon_mae_log_effect,mean_horizon_mae_reduction,h720_mse_log_effect,h720_mse_reduction
ETTh1,2021,dct2,-0.005982222611355824,-0.006000151839422596,-0.002883512165405405,-0.002887673485387099,-0.009364042453711198,-0.009408022268343919
ETTh1,2021,identity,0.016482834812923272,0.016347736179113337,0.008003646958794864,0.007971703055858814,0.04956993093206959,0.04836139316527732
ETTh1,2021,pca_fit,-0.030851610813175907,-0.03133245394713913,-0.01974419809618924,-0.01994040395710117,-0.028428013873013396,-0.028835946253669364
ETTh1,2021,permuted_interval,0.004043799537814267,0.004035634390244458,0.004321914568052609,0.004312588535561934,-0.007377095748990294,-0.007404373555575772
ETTh1,2021,random_interval_tree,0.003486996461004187,0.0034809239491709887,0.002171340373178454,0.0021689847189545475,-0.0022603181812495252,-0.002262874626153266
ETTh1,2021,random_orthogonal,0.019438630006179985,0.019250918093086322,0.00888383982901317,0.008844495120858609,0.044432924836605735,0.04346024199754328
ETTh1,2022,dct2,-0.0011187592961894297,-0.0011193853408135723,0.0008570562598532997,0.0008566890920389536,0.006733153950535412,0.006710537058947974
ETTh1,2022,identity,0.023901597486109722,0.023618216547106274,0.015086432920710748,0.0149732028194971,0.05025507769284735,0.049013181963192154
ETTh1,2022,pca_fit,-0.01707622433245504,-0.017222856503402717,-0.010885711250669153,-0.01094517618219859,-0.011644812913402513,-0.011712877691251844
ETTh1,2022,permuted_interval,0.009848306403052747,0.009799970638825206,0.00943160528625641,0.009387267199718496,0.002474808086487771,0.002471748273625618
ETTh1,2022,random_interval_tree,0.009925283433027798,0.009876190362545056,0.006128256314428589,0.006109516851319774,0.009831993562771583,0.009783817532148631
ETTh1,2022,random_orthogonal,0.022674768941147286,0.022419628423656968,0.013706417228764464,0.01361291198693626,0.04375899607743378,0.0428153850759283
ETTh1,2023,dct2,-0.0034440305794444515,-0.003449968067100073,-0.0018984765467012347,-0.001900279794260884,-0.002726970942522269,-0.0027306925098826706
ETTh1,2023,identity,0.026807120386060215,0.02645099882825197,0.01751473718306826,0.017362245754108385,0.039704140561973404,0.03892626016970169
ETTh1,2023,pca_fit,-0.012934317456776765,-0.013018327554495723,-0.008628206943514849,-0.008665537208220053,-0.01545271961211799,-0.015572730250560829
ETTh1,2023,permuted_interval,0.004969067362698288,0.004956741971155254,0.004726897187881499,0.004715742991203475,-0.0026771021271030965,-0.002680688764886918
ETTh1,2023,random_interval_tree,0.006949284692778968,0.006925194249991495,0.0039984498951115156,0.0039904667379586645,0.005473764571093464,0.005458810818684823
ETTh1,2023,random_orthogonal,0.02333149316970566,0.02306141837646214,0.01648121905213855,0.016346146831075603,0.02937993665228006,0.028952542148866334
