family,row_count,mean_covariance_offdiag_ratio,mean_mean_atom_support_fraction,mean_variance_capture_top16,mean_variance_capture_top64,mean_variance_capture_top144,mean_variance_capture_top256,mean_active_atoms_h48,mean_active_atoms_h96,mean_active_atoms_h144,mean_active_atoms_h192,mean_active_atoms_h288,mean_active_atoms_h336,mean_active_atoms_h512,mean_active_atoms_h720
balanced_interval,45,0.5513088516144841,0.014691358432173729,0.7274028179698004,0.8732296080687997,0.9365536062269673,0.9683313923324706,55.0,103.0,149.0,199.0,293.0,339.0,516.0,720.0
dct2,45,0.5234029002152805,0.9977777600288391,0.7789515241192664,0.890096815466855,0.9379466136741664,0.9630829071906297,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
identity,45,0.9804441840379441,0.0013888889225199819,0.07328314946822682,0.18696694119305748,0.34259685260278305,0.5327947998331694,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
pca_fit,45,4.5195516758728175e-08,0.9999938130378723,0.8400017170755321,0.9578599252807829,0.984518809551636,0.9921821652283699,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
permuted_interval,45,0.6262931766407172,0.014691358432173729,0.47747154284528504,0.5547701509275842,0.6490972506215602,0.7524241988468086,206.33333333333334,324.6666666666667,409.6666666666667,473.3333333333333,573.3333333333334,608.6666666666666,690.3333333333334,720.0
random_interval_tree,45,0.5570845333088392,0.015367798507213593,0.7231622533490635,0.8670642095476286,0.9343371516571082,0.9671943531911309,54.666666666666664,103.0,150.33333333333334,197.66666666666666,292.0,342.0,518.0,720.0
random_orthogonal,45,0.9922097095654495,0.9999974370002747,0.09323633627122117,0.2601707354210172,0.446556650218155,0.6253138508131442,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
