arm,dataset,region,start,end,mse_base,mse_actual,actual_gain_vs_base_percent,optimal_alpha,clipped_alpha_0_1,mse_oracle_alpha,oracle_gain_vs_base_percent,mse_clipped_alpha,clipped_gain_vs_base_percent,contribution_residual_cosine,contribution_rms,base_residual_rms,reconstruction_max_abs,all_finite
A6_CST_SPEC,Weather,H1_48,0,48,0.35911969264163596,0.13003443414279198,63.79078151179173,0.938881587269254,0.938881587269254,0.12905952549957375,64.06225329771551,0.12905952549957375,64.06225329771551,0.8003889885406689,0.5108694038897228,0.5992659615242935,0.0,True
A6_CST_SPEC,Weather,H49_96,48,96,0.13952261585149503,0.13000007715010553,6.825086129065339,0.6184021550256888,0.6184021550256888,0.12414442903662325,11.022002935524089,0.12414442903662325,11.022002935524089,0.3319940200594596,0.20053102415733096,0.37352726252777724,0.0,True
A6_CST_SPEC,Weather,H97_144,96,144,0.3526535342532459,0.3440054398841194,2.452291988917421,0.6468122938730031,0.6468122938730031,0.34033143984809106,3.494107731331053,0.34033143984809106,3.494107731331053,0.18692532550007893,0.17161845978344845,0.5938463894419549,0.0,True
A6_CST_SPEC,Weather,H145_192,144,192,0.3337022865760102,0.2657404896983562,20.36599676165952,1.2569104156541693,1.0,0.2627773385897987,21.253959244314725,0.2657404896983562,20.36599676165952,0.4610201648986161,0.2118825484625842,0.577669703702739,0.0,True
A6_CST_SPEC,Weather,H193_288,192,288,0.3606771395744013,0.3403470920213987,5.636633244067546,1.0081139055743016,1.0,0.3403457749563741,5.636998408609484,0.3403470920213987,5.636633244067546,0.23742363843159112,0.14144045970219662,0.6005640178818585,0.0,True
A6_CST_SPEC,Weather,H289_336,288,336,0.4986637348423835,0.3757129811095908,24.656044773669926,3.510019471711866,1.0,0.24704038129622008,50.459525320343566,0.3757129811095908,24.656044773669926,0.7103486842413632,0.14291109517583056,0.7061612668805785,0.0,True
A6_CST_SPEC,Weather,H337_512,336,512,0.6213173585493131,0.5942924151482757,4.349619888962508,1.2308273044347857,1.0,0.5933072832248569,4.508175240726531,0.5942924151482757,4.349619888962508,0.21232463919023958,0.1359752970917308,0.7882368670325647,0.0,True
A6_CST_SPEC,Weather,H513_720,512,720,0.43127006159846204,0.4558115451679108,-5.690514077997455,-0.17108444914546594,0.0,0.4307348633126931,0.12409817731963146,0.43127006159846204,0.0,-0.035227571207740484,0.13522183372939972,0.6567115512905662,0.0,True
A6_CST_SPEC,Weather,H1_720,0,720,0.43680111499473717,0.40536287715327013,7.197380400882403,0.904429718274964,0.904429718274964,0.4050078750949354,7.2786535584243754,0.4050078750949354,7.2786535584243754,0.26978979888840054,0.1971480879179439,0.6609093092056861,0.0,True
A6_CST_SPEC,ETTm1,H1_48,0,48,0.7093715982068511,0.43366844407575317,38.865829253387105,1.5664035099786517,1.0,0.3921976792359751,44.71195629661915,0.43366844407575317,38.865829253387105,0.6686699955629769,0.359538238670287,0.8422420069118205,0.0,True
A6_CST_SPEC,ETTm1,H49_96,48,96,0.23422268679890626,0.14232132782507856,39.23674526572669,1.1481401561488476,1.0,0.14076547467115932,39.90100762868687,0.14232132782507856,39.23674526572669,0.6316724438242248,0.2662634189147213,0.4839655843124656,0.0,True
A6_CST_SPEC,ETTm1,H97_144,96,144,1.0426951697414866,0.7552902839389186,27.563653706559677,2.614124051019352,1.0,0.5781947938660511,44.54805098891924,0.7552902839389186,27.563653706559677,0.6674432634233357,0.26071549433289837,1.0211244633939032,0.0,True
A6_CST_SPEC,ETTm1,H145_192,144,192,0.19932110797943636,0.109166906620859,45.23063426271864,1.0565809273787299,1.0,0.1089076273614447,45.36071544781875,0.109166906620859,45.23063426271864,0.6735036410281591,0.28458619389619116,0.44645392593126154,0.0,True
A6_CST_SPEC,ETTm1,H193_288,192,288,0.2500529547777568,0.15398140871076774,38.420480234827046,1.339485093875609,1.0,0.14738673647969283,41.05779049454229,0.15398140871076774,38.420480234827046,0.6407635327836807,0.2392081088103729,0.5000529519738452,0.0,True
A6_CST_SPEC,ETTm1,H289_336,288,336,0.31249822130669225,0.19245583411574138,38.41378254538568,1.5047360966327232,1.0,0.17723700109574878,43.28383683124881,0.19245583411574138,38.41378254538568,0.6579045282656809,0.2444141309099215,0.5590154034610247,0.0,True
A6_CST_SPEC,ETTm1,H337_512,336,512,0.35478194629414456,0.25070050366694135,29.33673590620386,1.4455765154117501,1.0,0.23977374840831275,32.41658688869139,0.25070050366694135,29.33673590620386,0.5693556611529511,0.23459746505877538,0.5956357496777243,0.0,True
A6_CST_SPEC,ETTm1,H513_720,512,720,0.5209121469838348,0.4941454565425852,5.138427006594693,0.7461139530606434,0.7461139530606434,0.49064031054759943,5.811313215004521,0.49064031054759943,5.811313215004521,0.24106665499410157,0.23319230877700323,0.7217424381202998,0.0,True
A6_CST_SPEC,ETTm1,H1_720,0,720,0.4370911866842689,0.3334265181640805,23.716943209625995,1.3092526152805386,1.0,0.32730099173283994,25.11837307548721,0.3334265181640805,23.716943209625995,0.5011823328439182,0.25308029267612614,0.661128721720868,0.0,True
A6_CST_SPEC,ETTh1,H1_48,0,48,0.3825299484986188,0.28604776088768724,25.222126526200583,1.4532642912739726,1.0,0.27565078986148694,27.940076079433496,0.28604776088768724,25.222126526200583,0.5285837311101571,0.22495824265776546,0.6184900552948437,0.0,True
A6_CST_SPEC,ETTh1,H49_96,48,96,0.30643899027975946,0.22758803452437074,25.731371743329,1.655406312613572,1.0,0.21293041412652683,30.514581733827406,0.22758803452437074,25.731371743329,0.5524000518992318,0.1847230603670639,0.5535693184053461,0.0,True
A6_CST_SPEC,ETTh1,H97_144,96,144,0.37126397953629403,0.2897259509685474,21.962278341568986,1.7753335452416084,1.0,0.27050904005691967,27.13835573416429,0.2897259509685474,21.962278341568986,0.5209448697718818,0.1787941125746948,0.6093143519861436,0.0,True
